date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-24,-30,-21,-30,22,5,81,0.0,1020,-21,10,299,13,"bangor,me"
2018-01-01 01:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-24,-30,-22,-30,20,6,81,0.0,1020,-22,10,298,12,"bangor,me"
2018-01-01 02:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-24,-30,-22,-30,19,7,82,0.0,1020,-22,10,298,11,"bangor,me"
2018-01-01 03:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-25,-30,-22,-30,17,8,83,0.0,1021,-22,10,298,10,"bangor,me"
2018-01-01 04:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-25,-30,-23,-30,17,15,83,0.0,1021,-23,10,295,9,"bangor,me"
2018-01-01 05:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-25,-30,-23,-30,17,22,82,0.0,1020,-23,10,293,9,"bangor,me"
2018-01-01 06:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-25,-30,-23,-30,16,28,82,0.0,1020,-23,10,291,9,"bangor,me"
2018-01-01 07:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-24,-29,-22,-29,16,29,80,0.0,1021,-22,10,298,10,"bangor,me"
2018-01-01 08:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-23,-28,-21,-28,16,30,78,0.0,1021,-20,10,305,11,"bangor,me"
2018-01-01 09:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-22,-27,-19,-27,16,30,76,0.0,1021,-19,10,312,13,"bangor,me"
2018-01-01 10:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-21,-26,-18,-26,15,45,76,0.0,1020,-18,10,309,12,"bangor,me"
2018-01-01 11:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-20,-24,-17,-24,14,60,76,0.0,1019,-17,10,307,12,"bangor,me"
2018-01-01 12:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-19,-23,-16,-23,14,76,76,0.0,1019,-16,10,304,11,"bangor,me"
2018-01-01 13:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-19,-23,-17,-23,15,84,78,0.0,1019,-17,10,306,11,"bangor,me"
2018-01-01 14:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-20,-24,-17,-24,17,92,80,0.0,1020,-17,10,308,11,"bangor,me"
2018-01-01 15:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-20,-25,-18,-25,18,100,82,0.0,1020,-18,10,310,11,"bangor,me"
2018-01-01 16:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-21,-26,-18,-26,19,100,82,0.0,1020,-18,10,308,12,"bangor,me"
2018-01-01 17:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-21,-27,-19,-27,20,100,83,0.0,1020,-19,10,305,12,"bangor,me"
2018-01-01 18:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-22,-28,-20,-28,21,100,83,0.0,1020,-20,10,303,12,"bangor,me"
2018-01-01 19:00:00,-16,-23,0.0,5.1,2,97,05:00 PM,07:23 AM,08:13 AM,05:05 PM,-22,-28,-20,-28,20,100,83,0.0,1021,-20,10,300,12,"bangor,me"
