date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,1,0,5,0,37,4,80,0.0,994,5,10,258,22,"batonrouge,la"
2018-01-01 01:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,1,0,5,0,40,7,79,0.0,994,5,10,251,24,"batonrouge,la"
2018-01-01 02:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,1,-0,5,-0,44,10,78,0.0,995,5,10,245,26,"batonrouge,la"
2018-01-01 03:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,1,-0,4,-0,47,13,78,0.0,995,4,10,238,27,"batonrouge,la"
2018-01-01 04:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,1,-0,4,-0,44,12,79,0.0,995,4,10,232,26,"batonrouge,la"
2018-01-01 05:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,1,-0,4,-0,41,11,80,0.0,995,4,10,225,24,"batonrouge,la"
2018-01-01 06:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,2,-0,4,-0,39,10,82,0.0,994,4,10,219,23,"batonrouge,la"
2018-01-01 07:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,2,-0,4,-0,37,13,83,0.0,995,4,10,219,22,"batonrouge,la"
2018-01-01 08:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,2,0,4,0,36,17,84,0.0,995,4,10,219,21,"batonrouge,la"
2018-01-01 09:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,2,0,4,0,34,21,86,0.0,995,4,10,219,20,"batonrouge,la"
2018-01-01 10:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,3,1,5,1,31,23,85,0.0,995,5,10,224,19,"batonrouge,la"
2018-01-01 11:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,3,2,6,2,27,25,84,0.0,995,6,10,229,19,"batonrouge,la"
2018-01-01 12:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,3,3,6,3,24,27,83,0.0,995,6,10,234,18,"batonrouge,la"
2018-01-01 13:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,3,3,6,3,25,23,82,0.0,995,6,10,243,18,"batonrouge,la"
2018-01-01 14:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,3,3,6,3,27,20,80,0.0,995,6,10,252,18,"batonrouge,la"
2018-01-01 15:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,3,3,6,3,28,17,79,0.0,996,6,10,261,18,"batonrouge,la"
2018-01-01 16:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,2,2,6,2,31,42,79,0.0,996,6,10,263,19,"batonrouge,la"
2018-01-01 17:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,2,2,5,2,33,67,79,0.0,997,5,9,264,19,"batonrouge,la"
2018-01-01 18:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,2,1,5,1,35,92,80,0.0,998,5,9,266,20,"batonrouge,la"
2018-01-01 19:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,2,1,5,1,40,65,78,0.0,999,5,9,277,23,"batonrouge,la"
2018-01-01 20:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,1,1,5,1,46,39,76,0.0,1001,5,10,288,27,"batonrouge,la"
2018-01-01 21:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,1,1,6,1,52,13,73,0.0,1002,5,10,300,31,"batonrouge,la"
2018-01-01 22:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,1,1,5,1,46,13,76,0.0,1004,5,10,291,27,"batonrouge,la"
2018-01-01 23:00:00,6,4,0.0,5.8,3,97,04:48 PM,08:09 AM,09:17 AM,05:01 PM,1,0,5,0,40,13,78,0.0,1006,5,10,281,23,"batonrouge,la"
2018-01-02 00:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,1,0,4,0,34,13,81,0.0,1007,4,10,272,19,"batonrouge,la"
2018-01-02 01:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,1,0,4,0,35,12,82,0.0,1008,4,10,270,19,"batonrouge,la"
2018-01-02 02:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,1,-0,4,-0,36,10,82,0.0,1008,4,10,268,20,"batonrouge,la"
2018-01-02 03:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,1,-1,4,-1,37,8,83,0.0,1009,4,10,266,21,"batonrouge,la"
2018-01-02 04:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,1,-1,4,-1,34,38,84,0.0,1009,3,10,254,19,"batonrouge,la"
2018-01-02 05:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,1,-1,3,-1,30,67,85,0.0,1009,3,10,242,17,"batonrouge,la"
2018-01-02 06:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,1,-1,3,-1,27,97,86,0.0,1009,3,10,230,15,"batonrouge,la"
2018-01-02 07:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,1,-1,3,-1,28,83,85,0.0,1008,3,10,221,16,"batonrouge,la"
2018-01-02 08:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,1,-1,3,-1,28,68,84,0.0,1008,3,10,211,17,"batonrouge,la"
2018-01-02 09:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,1,-0,4,-0,29,54,83,0.0,1007,4,10,201,17,"batonrouge,la"
2018-01-02 10:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,2,-0,4,-0,33,69,86,0.0,1006,4,10,190,20,"batonrouge,la"
2018-01-02 11:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,3,0,4,0,36,85,88,0.0,1004,4,10,180,23,"batonrouge,la"
2018-01-02 12:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,4,0,5,0,39,100,91,0.0,1003,5,10,170,26,"batonrouge,la"
2018-01-02 13:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,5,2,6,2,38,91,91,0.0,1002,6,10,195,26,"batonrouge,la"
2018-01-02 14:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,6,4,8,4,38,82,90,0.0,1001,8,10,221,26,"batonrouge,la"
2018-01-02 15:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,8,6,9,6,37,73,90,0.0,1000,9,10,247,26,"batonrouge,la"
2018-01-02 16:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,7,5,9,5,35,78,91,0.0,999,9,10,237,24,"batonrouge,la"
2018-01-02 17:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,7,5,8,5,33,83,91,0.0,998,8,10,227,21,"batonrouge,la"
2018-01-02 18:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,6,4,7,4,31,88,92,0.0,997,7,10,217,18,"batonrouge,la"
2018-01-02 19:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,6,4,8,4,42,89,91,0.0,994,8,10,213,25,"batonrouge,la"
2018-01-02 20:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,7,4,8,4,54,89,90,0.0,992,8,10,209,33,"batonrouge,la"
2018-01-02 21:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,7,5,9,5,66,90,88,0.0,989,9,10,205,40,"batonrouge,la"
2018-01-02 22:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,6,5,9,5,57,68,85,0.0,988,9,10,222,34,"batonrouge,la"
2018-01-02 23:00:00,9,3,0.0,2.0,3,100,05:54 PM,09:15 AM,09:17 AM,05:02 PM,5,4,8,4,49,45,81,0.0,986,8,10,239,29,"batonrouge,la"
2018-01-03 00:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,4,4,8,4,41,23,78,0.0,985,8,10,256,23,"batonrouge,la"
2018-01-03 01:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,3,3,7,3,49,22,76,0.0,985,7,10,256,28,"batonrouge,la"
2018-01-03 02:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,2,2,7,2,56,22,74,0.0,984,7,10,256,33,"batonrouge,la"
2018-01-03 03:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,1,1,6,1,64,22,72,0.0,984,6,10,256,37,"batonrouge,la"
2018-01-03 04:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,1,1,6,1,59,32,73,0.0,985,6,10,257,34,"batonrouge,la"
2018-01-03 05:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,1,1,6,1,53,42,74,0.0,986,6,10,258,31,"batonrouge,la"
2018-01-03 06:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,1,1,5,1,47,53,75,0.0,986,5,10,259,28,"batonrouge,la"
2018-01-03 07:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,1,1,6,1,52,60,74,0.0,988,6,10,264,31,"batonrouge,la"
2018-01-03 08:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,2,1,6,1,57,67,73,0.0,989,6,10,269,34,"batonrouge,la"
2018-01-03 09:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,2,1,7,1,62,74,72,0.0,991,7,10,274,37,"batonrouge,la"
2018-01-03 10:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,2,2,7,2,57,76,72,0.0,992,7,10,271,36,"batonrouge,la"
2018-01-03 11:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,3,3,8,3,52,78,71,0.0,993,8,10,268,34,"batonrouge,la"
2018-01-03 12:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,3,4,9,4,46,81,70,0.0,995,8,10,264,32,"batonrouge,la"
2018-01-03 13:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,3,4,8,4,50,69,69,0.0,995,8,10,265,34,"batonrouge,la"
2018-01-03 14:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,3,4,8,4,54,57,69,0.0,996,8,10,266,36,"batonrouge,la"
2018-01-03 15:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,2,3,8,3,58,45,68,0.0,996,8,10,267,37,"batonrouge,la"
2018-01-03 16:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,2,3,7,3,52,38,71,0.0,997,7,10,259,33,"batonrouge,la"
2018-01-03 17:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,3,3,7,3,46,31,74,0.0,997,7,10,250,28,"batonrouge,la"
2018-01-03 18:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,3,3,7,3,41,24,77,0.0,997,7,10,242,23,"batonrouge,la"
2018-01-03 19:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,3,3,7,3,44,24,75,0.0,997,7,10,246,26,"batonrouge,la"
2018-01-03 20:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,3,3,7,3,47,25,74,0.0,998,7,10,251,29,"batonrouge,la"
2018-01-03 21:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,2,3,7,3,50,25,73,0.0,998,7,10,255,32,"batonrouge,la"
2018-01-03 22:00:00,8,5,0.0,3.9,3,89,07:08 PM,10:09 AM,09:16 AM,05:03 PM,2,2,7,2,45,25,75,0.0,998,6,10,251,28,"batonrouge,la"
