date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,5,-0,0.0,5.8,2,97,05:30 PM,08:21 AM,09:03 AM,05:25 PM,-4,-2,-0,-2,10,43,76,0.0,1028,-0,10,55,5,"bellingham,wa"
2018-01-01 01:00:00,5,-0,0.0,5.8,2,97,05:30 PM,08:21 AM,09:03 AM,05:25 PM,-4,-2,-0,-2,10,43,74,0.0,1029,-0,10,53,5,"bellingham,wa"
2018-01-01 02:00:00,5,-0,0.0,5.8,2,97,05:30 PM,08:21 AM,09:03 AM,05:25 PM,-5,-2,-0,-2,10,44,72,0.0,1029,-0,10,51,5,"bellingham,wa"
2018-01-01 03:00:00,5,-0,0.0,5.8,2,97,05:30 PM,08:21 AM,09:03 AM,05:25 PM,-5,-2,-0,-2,10,44,71,0.0,1030,-0,10,49,5,"bellingham,wa"
2018-01-01 04:00:00,5,-0,0.0,5.8,2,97,05:30 PM,08:21 AM,09:03 AM,05:25 PM,-5,-2,-0,-2,9,37,70,0.0,1029,-0,10,46,4,"bellingham,wa"
2018-01-01 05:00:00,5,-0,0.0,5.8,2,97,05:30 PM,08:21 AM,09:03 AM,05:25 PM,-5,-1,-0,-1,9,30,70,0.0,1029,-0,10,44,4,"bellingham,wa"
2018-01-01 06:00:00,5,-0,0.0,5.8,2,97,05:30 PM,08:21 AM,09:03 AM,05:25 PM,-5,-1,0,-1,8,22,69,0.0,1029,-0,10,41,4,"bellingham,wa"
2018-01-01 07:00:00,5,-0,0.0,5.8,2,97,05:30 PM,08:21 AM,09:03 AM,05:25 PM,-5,0,1,0,7,31,67,0.0,1030,1,10,30,4,"bellingham,wa"
2018-01-01 08:00:00,5,-0,0.0,5.8,2,97,05:30 PM,08:21 AM,09:03 AM,05:25 PM,-4,1,2,1,6,39,65,0.0,1030,2,10,20,3,"bellingham,wa"
2018-01-01 09:00:00,5,-0,0.0,5.8,2,97,05:30 PM,08:21 AM,09:03 AM,05:25 PM,-4,3,3,3,5,48,62,0.0,1030,3,10,9,3,"bellingham,wa"
