date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-24,-33,-23,-33,25,40,94,0.0,1044,-23,10,301,13,"bloomington,il"
2018-01-01 01:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-25,-33,-24,-33,25,43,94,0.0,1044,-24,10,302,14,"bloomington,il"
2018-01-01 02:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-25,-34,-25,-34,26,46,94,0.0,1044,-25,10,302,14,"bloomington,il"
2018-01-01 03:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-26,-35,-25,-35,26,50,94,0.0,1044,-25,10,303,14,"bloomington,il"
2018-01-01 04:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-26,-36,-25,-36,26,48,94,0.0,1045,-25,10,301,14,"bloomington,il"
2018-01-01 05:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-26,-36,-26,-36,26,46,94,0.0,1045,-26,10,298,15,"bloomington,il"
2018-01-01 06:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-27,-37,-26,-37,26,45,94,0.0,1045,-26,10,296,15,"bloomington,il"
2018-01-01 07:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-26,-36,-26,-36,25,42,93,0.0,1046,-26,10,296,15,"bloomington,il"
2018-01-01 08:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-26,-36,-25,-36,25,39,92,0.0,1046,-25,10,295,15,"bloomington,il"
2018-01-01 09:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-26,-35,-25,-35,24,36,91,0.0,1046,-25,10,294,16,"bloomington,il"
2018-01-01 10:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-25,-34,-24,-34,23,32,91,0.0,1046,-24,10,291,16,"bloomington,il"
2018-01-01 11:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-24,-33,-22,-33,23,28,90,0.0,1046,-22,10,287,17,"bloomington,il"
2018-01-01 12:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-23,-31,-21,-31,22,23,89,0.0,1046,-21,10,283,17,"bloomington,il"
2018-01-01 13:00:00,-20,-26,0.0,8.7,2,97,05:37 PM,07:35 AM,08:19 AM,05:40 PM,-22,-30,-21,-30,22,27,89,0.0,1046,-21,10,282,17,"bloomington,il"
