date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-19,-24,-18,-24,17,46,92,0.0,1032,-18,10,289,8,"buffalo,ny"
2018-01-01 01:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-19,-23,-18,-23,15,54,93,0.0,1032,-18,7,276,7,"buffalo,ny"
2018-01-01 02:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-19,-23,-18,-23,13,61,93,0.0,1032,-19,5,264,6,"buffalo,ny"
2018-01-01 03:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-19,-22,-18,-22,11,69,94,0.0,1032,-19,2,252,5,"buffalo,ny"
2018-01-01 04:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-19,-22,-18,-22,10,79,94,0.0,1032,-18,2,244,5,"buffalo,ny"
2018-01-01 05:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-18,-21,-18,-21,10,90,94,0.0,1032,-18,2,237,5,"buffalo,ny"
2018-01-01 06:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-18,-21,-17,-21,9,100,94,0.0,1032,-18,2,230,5,"buffalo,ny"
2018-01-01 07:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-17,-21,-16,-21,14,75,91,0.0,1032,-16,4,241,8,"buffalo,ny"
2018-01-01 08:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-16,-21,-15,-21,18,50,88,0.0,1031,-15,5,253,12,"buffalo,ny"
2018-01-01 09:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-15,-21,-13,-21,22,25,85,0.0,1031,-13,7,264,16,"buffalo,ny"
2018-01-01 10:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-15,-21,-13,-21,24,46,83,0.0,1030,-13,8,267,18,"buffalo,ny"
2018-01-01 11:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-15,-20,-12,-20,27,66,82,0.0,1029,-12,9,269,20,"buffalo,ny"
2018-01-01 12:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-14,-20,-11,-20,29,87,80,0.0,1029,-11,10,272,22,"buffalo,ny"
2018-01-01 13:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-14,-20,-12,-20,31,91,81,0.0,1029,-12,8,270,23,"buffalo,ny"
2018-01-01 14:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-14,-21,-12,-21,33,96,83,0.0,1029,-12,7,267,23,"buffalo,ny"
2018-01-01 15:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-14,-21,-12,-21,36,100,84,0.0,1029,-12,5,264,24,"buffalo,ny"
2018-01-01 16:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-14,-22,-12,-22,37,100,85,0.0,1029,-12,7,270,25,"buffalo,ny"
2018-01-01 17:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-14,-22,-12,-22,39,100,86,0.0,1030,-12,8,275,26,"buffalo,ny"
2018-01-01 18:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-14,-22,-12,-22,41,100,87,0.0,1030,-12,10,280,27,"buffalo,ny"
2018-01-01 19:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-14,-22,-12,-22,39,100,88,0.0,1031,-12,7,281,26,"buffalo,ny"
2018-01-01 20:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-14,-21,-12,-21,37,100,88,0.1,1031,-12,5,282,24,"buffalo,ny"
2018-01-01 21:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-13,-21,-12,-21,34,100,89,0.1,1031,-12,2,283,23,"buffalo,ny"
2018-01-01 22:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-13,-21,-12,-21,34,100,89,0.1,1031,-12,5,281,22,"buffalo,ny"
2018-01-01 23:00:00,-11,-19,0.4,5.2,2,97,05:48 PM,07:59 AM,08:46 AM,05:52 PM,-13,-21,-12,-21,33,100,89,0.0,1031,-12,7,279,21,"buffalo,ny"
2018-01-02 00:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-13,-20,-12,-20,32,100,88,0.0,1031,-12,10,277,21,"buffalo,ny"
2018-01-02 01:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-14,-21,-12,-21,33,82,88,0.0,1031,-12,9,273,21,"buffalo,ny"
2018-01-02 02:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-14,-21,-12,-21,34,65,87,0.0,1031,-12,8,270,21,"buffalo,ny"
2018-01-02 03:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-14,-21,-13,-21,35,47,87,0.0,1031,-12,7,266,22,"buffalo,ny"
2018-01-02 04:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-14,-21,-12,-21,32,49,87,0.0,1031,-12,8,264,19,"buffalo,ny"
2018-01-02 05:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-14,-20,-12,-20,29,51,87,0.0,1031,-12,9,263,17,"buffalo,ny"
2018-01-02 06:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-13,-19,-12,-19,26,52,87,0.0,1030,-12,10,261,15,"buffalo,ny"
2018-01-02 07:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-13,-19,-11,-19,32,53,86,0.0,1030,-11,7,256,20,"buffalo,ny"
2018-01-02 08:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-12,-18,-10,-18,37,54,85,0.0,1030,-10,3,250,26,"buffalo,ny"
2018-01-02 09:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-11,-18,-9,-18,43,55,84,0.0,1029,-9,0,245,31,"buffalo,ny"
2018-01-02 10:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-11,-18,-9,-18,44,66,84,0.0,1029,-9,3,242,33,"buffalo,ny"
2018-01-02 11:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-11,-19,-9,-19,46,78,84,0.0,1028,-9,7,239,34,"buffalo,ny"
2018-01-02 12:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-11,-19,-9,-19,48,89,84,0.0,1027,-9,10,235,36,"buffalo,ny"
2018-01-02 13:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-11,-19,-9,-19,48,89,84,0.0,1027,-9,7,237,35,"buffalo,ny"
2018-01-02 14:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-12,-19,-9,-19,49,90,83,0.0,1027,-9,3,240,35,"buffalo,ny"
2018-01-02 15:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-12,-19,-10,-19,49,90,83,0.0,1026,-9,0,242,34,"buffalo,ny"
2018-01-02 16:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-12,-20,-10,-20,47,83,83,0.0,1026,-10,3,239,31,"buffalo,ny"
2018-01-02 17:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-13,-20,-11,-20,44,75,83,0.0,1026,-11,7,235,28,"buffalo,ny"
2018-01-02 18:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-13,-20,-11,-20,41,68,83,0.0,1026,-11,10,232,25,"buffalo,ny"
2018-01-02 19:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-13,-20,-11,-20,41,63,83,0.0,1026,-11,10,232,25,"buffalo,ny"
2018-01-02 20:00:00,-9,-12,0.1,5.2,1,100,06:55 PM,09:03 AM,08:46 AM,05:53 PM,-13,-20,-11,-20,41,58,83,0.0,1026,-11,10,233,25,"buffalo,ny"
