date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,2,-1,0.0,10.0,1,97,06:18 PM,07:38 AM,08:22 AM,06:24 PM,-5,-4,2,-4,31,100,60,0.0,1025,2,10,22,27,"charleston,sc"
2018-01-01 01:00:00,2,-1,0.0,10.0,1,97,06:18 PM,07:38 AM,08:22 AM,06:24 PM,-6,-5,1,-5,33,100,59,0.0,1026,1,7,21,28,"charleston,sc"
2018-01-01 02:00:00,2,-1,0.0,10.0,1,97,06:18 PM,07:38 AM,08:22 AM,06:24 PM,-6,-5,1,-5,35,100,58,0.1,1026,1,3,21,30,"charleston,sc"
2018-01-01 03:00:00,2,-1,0.0,10.0,1,97,06:18 PM,07:38 AM,08:22 AM,06:24 PM,-7,-6,1,-6,36,100,57,0.1,1026,1,0,20,31,"charleston,sc"
2018-01-01 04:00:00,2,-1,0.0,10.0,1,97,06:18 PM,07:38 AM,08:22 AM,06:24 PM,-7,-6,1,-6,35,92,55,0.1,1027,1,3,20,31,"charleston,sc"
2018-01-01 05:00:00,2,-1,0.0,10.0,1,97,06:18 PM,07:38 AM,08:22 AM,06:24 PM,-8,-6,1,-6,34,85,54,0.0,1027,1,7,19,30,"charleston,sc"
2018-01-01 06:00:00,2,-1,0.0,10.0,1,97,06:18 PM,07:38 AM,08:22 AM,06:24 PM,-8,-6,1,-6,34,77,52,0.0,1028,0,10,19,29,"charleston,sc"
2018-01-01 07:00:00,2,-1,0.0,10.0,1,97,06:18 PM,07:38 AM,08:22 AM,06:24 PM,-9,-6,0,-6,35,55,51,0.0,1029,0,10,19,30,"charleston,sc"
2018-01-01 08:00:00,2,-1,0.0,10.0,1,97,06:18 PM,07:38 AM,08:22 AM,06:24 PM,-9,-6,0,-6,36,32,50,0.0,1029,0,9,19,31,"charleston,sc"
2018-01-01 09:00:00,2,-1,0.0,10.0,1,97,06:18 PM,07:38 AM,08:22 AM,06:24 PM,-9,-7,0,-7,37,9,49,0.0,1030,0,9,19,32,"charleston,sc"
