date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-8,-13,0.0,8.2,1,97,06:12 PM,07:58 AM,08:43 AM,06:17 PM,-14,-16,-12,-16,11,92,83,0.0,1035,-12,10,352,8,"charleston,wv"
2018-01-01 01:00:00,-8,-13,0.0,8.2,1,97,06:12 PM,07:58 AM,08:43 AM,06:17 PM,-14,-16,-12,-16,10,91,84,0.0,1036,-12,10,347,7,"charleston,wv"
2018-01-01 02:00:00,-8,-13,0.0,8.2,1,97,06:12 PM,07:58 AM,08:43 AM,06:17 PM,-14,-16,-12,-16,9,90,85,0.0,1036,-12,10,343,7,"charleston,wv"
2018-01-01 03:00:00,-8,-13,0.0,8.2,1,97,06:12 PM,07:58 AM,08:43 AM,06:17 PM,-14,-16,-12,-16,9,89,86,0.0,1036,-12,10,338,6,"charleston,wv"
2018-01-01 04:00:00,-8,-13,0.0,8.2,1,97,06:12 PM,07:58 AM,08:43 AM,06:17 PM,-14,-16,-12,-16,8,83,87,0.0,1037,-12,10,329,6,"charleston,wv"
2018-01-01 05:00:00,-8,-13,0.0,8.2,1,97,06:12 PM,07:58 AM,08:43 AM,06:17 PM,-14,-16,-13,-16,7,78,88,0.0,1037,-13,10,320,5,"charleston,wv"
2018-01-01 06:00:00,-8,-13,0.0,8.2,1,97,06:12 PM,07:58 AM,08:43 AM,06:17 PM,-14,-16,-13,-16,6,72,88,0.0,1038,-13,10,311,5,"charleston,wv"
2018-01-01 07:00:00,-8,-13,0.0,8.2,1,97,06:12 PM,07:58 AM,08:43 AM,06:17 PM,-15,-16,-12,-16,8,72,82,0.0,1038,-12,10,301,6,"charleston,wv"
2018-01-01 08:00:00,-8,-13,0.0,8.2,1,97,06:12 PM,07:58 AM,08:43 AM,06:17 PM,-15,-16,-12,-16,9,72,76,0.0,1038,-12,10,291,7,"charleston,wv"
2018-01-01 09:00:00,-8,-13,0.0,8.2,1,97,06:12 PM,07:58 AM,08:43 AM,06:17 PM,-15,-16,-11,-16,10,72,70,0.0,1038,-11,10,281,8,"charleston,wv"
