date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-17,-13,-10,-13,7,20,55,0.0,1032,-10,10,352,5,"charlottesville,va"
2018-01-01 01:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-17,-13,-10,-13,8,16,56,0.0,1033,-10,10,346,5,"charlottesville,va"
2018-01-01 02:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-17,-14,-10,-14,9,12,56,0.0,1033,-10,10,340,6,"charlottesville,va"
2018-01-01 03:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-17,-14,-11,-14,10,8,57,0.0,1033,-11,10,334,6,"charlottesville,va"
2018-01-01 04:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-17,-14,-11,-14,9,7,57,0.0,1033,-11,10,322,6,"charlottesville,va"
2018-01-01 05:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-18,-14,-11,-14,9,7,58,0.0,1034,-11,10,310,5,"charlottesville,va"
2018-01-01 06:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-18,-14,-11,-14,8,6,58,0.0,1034,-11,10,298,5,"charlottesville,va"
2018-01-01 07:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-18,-14,-10,-14,10,8,51,0.0,1034,-10,10,308,8,"charlottesville,va"
2018-01-01 08:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-19,-13,-9,-13,12,10,44,0.0,1034,-9,10,318,10,"charlottesville,va"
2018-01-01 09:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-20,-13,-8,-13,15,12,37,0.0,1035,-8,10,328,13,"charlottesville,va"
2018-01-01 10:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-20,-12,-7,-12,14,30,34,0.0,1034,-7,10,325,12,"charlottesville,va"
2018-01-01 11:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-20,-11,-6,-11,14,47,32,0.0,1034,-6,10,321,12,"charlottesville,va"
2018-01-01 12:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-20,-10,-5,-10,14,65,29,0.0,1033,-5,10,318,12,"charlottesville,va"
2018-01-01 13:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-20,-10,-5,-10,14,50,29,0.0,1033,-5,10,316,12,"charlottesville,va"
2018-01-01 14:00:00,-5,-11,0.0,9.8,2,97,06:00 PM,07:44 AM,08:30 AM,06:05 PM,-20,-10,-5,-10,15,35,29,0.0,1033,-5,10,314,12,"charlottesville,va"
