date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-19,-14,-8,-14,22,3,39,0.0,1033,-8,10,6,16,"chattanooga,tn"
2018-01-01 01:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-19,-15,-8,-15,23,12,42,0.0,1034,-8,10,6,16,"chattanooga,tn"
2018-01-01 02:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-18,-15,-8,-15,23,22,45,0.0,1034,-8,10,7,17,"chattanooga,tn"
2018-01-01 03:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-18,-16,-9,-16,24,32,48,0.0,1035,-9,10,7,17,"chattanooga,tn"
2018-01-01 04:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-16,-9,-16,24,31,52,0.0,1035,-9,10,6,17,"chattanooga,tn"
2018-01-01 05:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-17,-10,-17,23,30,57,0.0,1036,-10,10,4,17,"chattanooga,tn"
2018-01-01 06:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-18,-11,-18,23,29,61,0.0,1037,-11,10,3,17,"chattanooga,tn"
2018-01-01 07:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-17,-10,-17,22,26,58,0.0,1037,-10,10,6,17,"chattanooga,tn"
2018-01-01 08:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-16,-9,-16,22,24,55,0.0,1037,-9,10,9,17,"chattanooga,tn"
2018-01-01 09:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-15,-9,-15,21,21,52,0.0,1038,-9,10,12,18,"chattanooga,tn"
2018-01-01 10:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-14,-8,-14,20,14,48,0.0,1038,-8,10,9,17,"chattanooga,tn"
2018-01-01 11:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-13,-7,-13,19,7,43,0.0,1038,-7,10,6,16,"chattanooga,tn"
2018-01-01 12:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-12,-6,-12,18,0,39,0.0,1038,-6,10,3,16,"chattanooga,tn"
2018-01-01 13:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-11,-5,-11,18,0,38,0.0,1038,-5,10,4,16,"chattanooga,tn"
2018-01-01 14:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-11,-5,-11,19,0,36,0.0,1037,-5,10,5,16,"chattanooga,tn"
2018-01-01 15:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-18,-10,-4,-10,19,0,34,0.0,1037,-4,10,7,17,"chattanooga,tn"
2018-01-01 16:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-11,-6,-11,19,0,40,0.0,1038,-6,10,123,15,"chattanooga,tn"
2018-01-01 17:00:00,-4,-11,0.0,9.9,2,97,06:35 PM,08:05 AM,08:49 AM,06:40 PM,-17,-12,-7,-12,19,0,45,0.0,1038,-7,10,239,13,"chattanooga,tn"
