date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-19,-26,-17,-26,22,3,88,0.0,1040,-18,10,296,16,"chicago,il"
2018-01-01 01:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-19,-27,-18,-27,23,9,89,0.0,1040,-18,10,296,16,"chicago,il"
2018-01-01 02:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-20,-28,-19,-28,23,15,90,0.0,1041,-19,10,296,17,"chicago,il"
2018-01-01 03:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-20,-29,-19,-29,24,21,91,0.0,1041,-19,10,296,17,"chicago,il"
2018-01-01 04:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-21,-29,-20,-29,22,25,91,0.0,1041,-20,10,293,16,"chicago,il"
2018-01-01 05:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-22,-30,-21,-30,21,29,91,0.0,1041,-21,10,290,15,"chicago,il"
2018-01-01 06:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-22,-30,-21,-30,19,33,92,0.0,1042,-21,10,288,14,"chicago,il"
2018-01-01 07:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-22,-30,-21,-30,20,33,91,0.0,1042,-21,10,286,15,"chicago,il"
2018-01-01 08:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-22,-30,-21,-30,21,33,91,0.0,1042,-21,10,284,16,"chicago,il"
2018-01-01 09:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-22,-30,-21,-30,22,33,91,0.0,1042,-21,10,283,17,"chicago,il"
2018-01-01 10:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-21,-29,-20,-29,20,28,90,0.0,1042,-20,10,279,16,"chicago,il"
2018-01-01 11:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-20,-28,-19,-28,18,22,88,0.0,1042,-19,10,275,15,"chicago,il"
2018-01-01 12:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-20,-26,-18,-26,16,16,87,0.0,1042,-18,10,271,14,"chicago,il"
2018-01-01 13:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-19,-26,-18,-26,16,16,87,0.0,1042,-18,10,273,14,"chicago,il"
2018-01-01 14:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-19,-25,-17,-25,17,15,87,0.0,1042,-17,10,275,15,"chicago,il"
2018-01-01 15:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-18,-25,-17,-25,18,14,87,0.0,1042,-17,10,277,15,"chicago,il"
2018-01-01 16:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-19,-26,-18,-26,19,22,88,0.0,1042,-18,10,271,15,"chicago,il"
2018-01-01 17:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-20,-27,-19,-27,20,29,90,0.0,1042,-19,10,265,15,"chicago,il"
2018-01-01 18:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-20,-28,-20,-28,20,37,92,0.0,1043,-20,10,259,14,"chicago,il"
2018-01-01 19:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-20,-28,-20,-28,20,38,93,0.0,1043,-20,10,262,14,"chicago,il"
2018-01-01 20:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-21,-28,-20,-28,20,39,93,0.0,1043,-20,10,266,14,"chicago,il"
2018-01-01 21:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-21,-28,-20,-28,20,40,93,0.0,1043,-20,10,269,14,"chicago,il"
2018-01-01 22:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-21,-29,-20,-29,20,32,93,0.0,1042,-20,10,265,14,"chicago,il"
2018-01-01 23:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-21,-29,-20,-29,20,25,93,0.0,1042,-21,10,261,13,"chicago,il"
2018-01-02 00:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-22,-29,-21,-29,20,17,92,0.0,1042,-21,10,256,13,"chicago,il"
2018-01-02 01:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-21,-29,-20,-29,20,15,91,0.0,1041,-21,10,256,13,"chicago,il"
2018-01-02 02:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-21,-28,-20,-28,20,12,91,0.0,1041,-20,10,255,14,"chicago,il"
2018-01-02 03:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-21,-28,-19,-28,19,9,90,0.0,1041,-20,10,255,14,"chicago,il"
2018-01-02 04:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-22,-29,-20,-29,20,8,88,0.0,1041,-21,10,250,13,"chicago,il"
2018-01-02 05:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-23,-30,-21,-30,20,8,86,0.0,1041,-22,10,245,13,"chicago,il"
2018-01-02 06:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-24,-31,-22,-31,20,7,84,0.0,1040,-22,10,241,13,"chicago,il"
2018-01-02 07:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-23,-30,-21,-30,20,7,84,0.0,1040,-21,10,241,14,"chicago,il"
2018-01-02 08:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-22,-29,-20,-29,20,8,84,0.0,1039,-20,10,242,14,"chicago,il"
2018-01-02 09:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-21,-28,-19,-28,20,9,84,0.0,1039,-19,10,242,15,"chicago,il"
2018-01-02 10:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-20,-27,-18,-27,20,7,83,0.0,1038,-18,10,241,16,"chicago,il"
2018-01-02 11:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-19,-26,-17,-26,20,5,83,0.0,1037,-17,10,240,16,"chicago,il"
2018-01-02 12:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-18,-25,-16,-25,20,4,83,0.0,1036,-16,10,239,17,"chicago,il"
2018-01-02 13:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-18,-25,-16,-25,22,3,82,0.0,1035,-16,10,237,18,"chicago,il"
2018-01-02 14:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-18,-24,-15,-24,24,3,81,0.0,1034,-15,10,235,19,"chicago,il"
2018-01-02 15:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-17,-24,-15,-24,26,2,80,0.0,1033,-15,10,233,20,"chicago,il"
2018-01-02 16:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-18,-25,-16,-25,28,4,82,0.0,1032,-16,10,225,21,"chicago,il"
2018-01-02 17:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-18,-26,-16,-26,31,5,83,0.0,1031,-16,10,218,21,"chicago,il"
2018-01-02 18:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-19,-27,-17,-27,33,7,84,0.0,1030,-17,10,210,22,"chicago,il"
2018-01-02 19:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-19,-27,-16,-27,35,9,83,0.0,1029,-16,10,214,23,"chicago,il"
2018-01-02 20:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-18,-26,-16,-26,36,12,82,0.0,1028,-16,10,219,23,"chicago,il"
2018-01-02 21:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-18,-26,-16,-26,38,14,81,0.0,1027,-15,10,223,24,"chicago,il"
2018-01-02 22:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-17,-25,-15,-25,37,13,80,0.0,1026,-15,10,219,24,"chicago,il"
2018-01-02 23:00:00,-15,-22,0.0,8.7,2,100,06:34 PM,08:36 AM,08:18 AM,05:32 PM,-17,-24,-14,-24,37,12,80,0.0,1024,-14,10,215,23,"chicago,il"
2018-01-03 00:00:00,-8,-13,0.0,3.4,2,89,07:46 PM,09:32 AM,08:18 AM,05:33 PM,-16,-23,-13,-23,37,11,79,0.0,1023,-13,10,211,22,"chicago,il"
2018-01-03 01:00:00,-8,-13,0.0,3.4,2,89,07:46 PM,09:32 AM,08:18 AM,05:33 PM,-16,-21,-13,-21,35,21,78,0.0,1022,-13,10,216,22,"chicago,il"
2018-01-03 02:00:00,-8,-13,0.0,3.4,2,89,07:46 PM,09:32 AM,08:18 AM,05:33 PM,-15,-20,-12,-20,33,31,76,0.0,1021,-12,10,221,21,"chicago,il"
2018-01-03 03:00:00,-8,-13,0.0,3.4,2,89,07:46 PM,09:32 AM,08:18 AM,05:33 PM,-15,-19,-11,-19,31,41,75,0.0,1021,-11,10,227,21,"chicago,il"
2018-01-03 04:00:00,-8,-13,0.0,3.4,2,89,07:46 PM,09:32 AM,08:18 AM,05:33 PM,-14,-19,-11,-19,29,61,78,0.0,1020,-11,10,230,19,"chicago,il"
2018-01-03 05:00:00,-8,-13,0.0,3.4,2,89,07:46 PM,09:32 AM,08:18 AM,05:33 PM,-13,-18,-11,-18,26,80,82,0.0,1020,-11,10,234,17,"chicago,il"
2018-01-03 06:00:00,-8,-13,0.0,3.4,2,89,07:46 PM,09:32 AM,08:18 AM,05:33 PM,-13,-18,-11,-18,23,100,85,0.0,1020,-11,10,238,15,"chicago,il"
2018-01-03 07:00:00,-8,-13,0.0,3.4,2,89,07:46 PM,09:32 AM,08:18 AM,05:33 PM,-12,-17,-10,-17,22,100,86,0.0,1020,-10,10,247,15,"chicago,il"
2018-01-03 08:00:00,-8,-13,0.0,3.4,2,89,07:46 PM,09:32 AM,08:18 AM,05:33 PM,-11,-17,-10,-17,21,100,88,0.0,1020,-10,10,257,15,"chicago,il"
2018-01-03 09:00:00,-8,-13,0.0,3.4,2,89,07:46 PM,09:32 AM,08:18 AM,05:33 PM,-11,-16,-10,-16,20,100,90,0.0,1020,-10,10,267,14,"chicago,il"
2018-01-03 10:00:00,-8,-13,0.0,3.4,2,89,07:46 PM,09:32 AM,08:18 AM,05:33 PM,-11,-16,-9,-16,21,100,86,0.0,1020,-9,10,276,15,"chicago,il"
2018-01-03 11:00:00,-8,-13,0.0,3.4,2,89,07:46 PM,09:32 AM,08:18 AM,05:33 PM,-11,-16,-9,-16,22,100,82,0.0,1020,-9,10,286,16,"chicago,il"
