date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-16,-21,-15,-21,15,64,94,0.0,1038,-15,10,325,9,"cincinnati,oh"
2018-01-01 01:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-16,-21,-15,-21,15,67,94,0.0,1038,-15,7,318,9,"cincinnati,oh"
2018-01-01 02:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-16,-22,-16,-22,15,70,94,0.0,1039,-16,5,311,9,"cincinnati,oh"
2018-01-01 03:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-17,-22,-16,-22,15,73,95,0.0,1039,-16,2,304,9,"cincinnati,oh"
2018-01-01 04:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-17,-22,-16,-22,14,72,94,0.0,1039,-16,5,301,9,"cincinnati,oh"
2018-01-01 05:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-17,-22,-16,-22,13,70,94,0.0,1040,-16,7,298,9,"cincinnati,oh"
2018-01-01 06:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-17,-22,-16,-22,12,69,94,0.0,1040,-16,10,295,8,"cincinnati,oh"
2018-01-01 07:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-17,-22,-16,-22,14,47,90,0.0,1040,-16,10,294,9,"cincinnati,oh"
2018-01-01 08:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-18,-22,-16,-22,15,26,86,0.0,1041,-16,10,293,11,"cincinnati,oh"
2018-01-01 09:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-18,-23,-16,-23,16,5,82,0.0,1041,-16,10,293,12,"cincinnati,oh"
2018-01-01 10:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-18,-21,-14,-21,16,3,76,0.0,1041,-14,10,294,12,"cincinnati,oh"
2018-01-01 11:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-18,-20,-13,-20,16,2,70,0.0,1041,-13,10,294,13,"cincinnati,oh"
2018-01-01 12:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-18,-19,-12,-19,16,0,64,0.0,1041,-12,10,295,14,"cincinnati,oh"
2018-01-01 13:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-18,-20,-13,-20,17,0,66,0.0,1041,-13,10,297,14,"cincinnati,oh"
2018-01-01 14:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-18,-20,-13,-20,18,1,69,0.0,1041,-13,10,299,14,"cincinnati,oh"
2018-01-01 15:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-17,-21,-13,-21,19,1,71,0.0,1041,-13,10,301,15,"cincinnati,oh"
2018-01-01 16:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-18,-21,-14,-21,18,2,76,0.0,1041,-14,10,299,13,"cincinnati,oh"
2018-01-01 17:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-18,-22,-15,-22,17,2,81,0.0,1042,-15,10,297,12,"cincinnati,oh"
2018-01-01 18:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-18,-22,-16,-22,16,2,86,0.0,1042,-16,10,295,10,"cincinnati,oh"
2018-01-01 19:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-18,-23,-16,-23,16,6,87,0.0,1043,-16,10,297,10,"cincinnati,oh"
2018-01-01 20:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-19,-24,-17,-24,16,10,88,0.0,1043,-17,10,299,10,"cincinnati,oh"
2018-01-01 21:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-19,-24,-17,-24,16,13,88,0.0,1043,-17,10,301,10,"cincinnati,oh"
2018-01-01 22:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-19,-24,-18,-24,15,17,89,0.0,1043,-18,10,301,9,"cincinnati,oh"
2018-01-01 23:00:00,-12,-17,0.0,9.7,1,97,06:21 PM,08:12 AM,08:57 AM,06:26 PM,-20,-25,-18,-25,14,20,89,0.0,1043,-18,10,301,9,"cincinnati,oh"
2018-01-02 00:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-20,-25,-19,-25,13,24,89,0.0,1043,-19,10,302,8,"cincinnati,oh"
2018-01-02 01:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-20,-25,-19,-25,11,21,89,0.0,1043,-19,10,294,7,"cincinnati,oh"
2018-01-02 02:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-21,-24,-19,-24,10,17,89,0.0,1043,-19,10,286,6,"cincinnati,oh"
2018-01-02 03:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-21,-24,-19,-24,8,14,89,0.0,1043,-19,10,279,5,"cincinnati,oh"
2018-01-02 04:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-21,-24,-20,-24,8,14,89,0.0,1043,-20,10,273,5,"cincinnati,oh"
2018-01-02 05:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-21,-24,-20,-24,7,13,89,0.0,1043,-20,10,266,5,"cincinnati,oh"
2018-01-02 06:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-22,-24,-20,-24,7,13,89,0.0,1043,-20,10,260,4,"cincinnati,oh"
2018-01-02 07:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-21,-24,-19,-24,8,9,84,0.0,1043,-19,10,256,6,"cincinnati,oh"
2018-01-02 08:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-21,-23,-18,-23,9,6,79,0.0,1043,-18,10,253,7,"cincinnati,oh"
2018-01-02 09:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-21,-23,-17,-23,11,3,75,0.0,1042,-17,10,249,8,"cincinnati,oh"
2018-01-02 10:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-20,-21,-15,-21,10,3,69,0.0,1042,-15,10,246,8,"cincinnati,oh"
2018-01-02 11:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-19,-18,-13,-18,9,3,63,0.0,1041,-13,10,243,7,"cincinnati,oh"
2018-01-02 12:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-18,-16,-12,-16,9,3,57,0.0,1040,-11,10,240,7,"cincinnati,oh"
2018-01-02 13:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-17,-15,-11,-15,9,4,58,0.0,1039,-11,10,245,7,"cincinnati,oh"
2018-01-02 14:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-17,-14,-10,-14,10,4,58,0.0,1037,-10,10,249,8,"cincinnati,oh"
2018-01-02 15:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-16,-14,-9,-14,10,5,59,0.0,1036,-9,10,254,8,"cincinnati,oh"
2018-01-02 16:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-16,-13,-10,-13,8,4,61,0.0,1035,-10,10,243,6,"cincinnati,oh"
2018-01-02 17:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-17,-13,-11,-13,5,4,64,0.0,1035,-12,10,231,3,"cincinnati,oh"
2018-01-02 18:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-17,-12,-12,-12,2,3,67,0.0,1034,-13,10,219,1,"cincinnati,oh"
2018-01-02 19:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-17,-14,-13,-14,6,2,66,0.0,1033,-13,10,218,3,"cincinnati,oh"
2018-01-02 20:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-18,-15,-13,-15,9,1,65,0.0,1033,-13,10,216,4,"cincinnati,oh"
2018-01-02 21:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-18,-17,-13,-17,13,0,65,0.0,1032,-13,10,214,6,"cincinnati,oh"
2018-01-02 22:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-18,-17,-13,-17,14,0,66,0.0,1031,-13,10,207,7,"cincinnati,oh"
2018-01-02 23:00:00,-9,-20,0.0,9.7,2,100,07:28 PM,09:16 AM,08:57 AM,06:26 PM,-18,-18,-13,-18,16,0,67,0.0,1030,-13,10,200,8,"cincinnati,oh"
2018-01-03 00:00:00,-4,-14,0.0,9.7,2,89,08:38 PM,10:12 AM,08:57 AM,06:27 PM,-18,-18,-13,-18,17,0,68,0.0,1030,-13,10,193,8,"cincinnati,oh"
2018-01-03 01:00:00,-4,-14,0.0,9.7,2,89,08:38 PM,10:12 AM,08:57 AM,06:27 PM,-18,-19,-13,-19,17,1,68,0.0,1029,-13,10,198,8,"cincinnati,oh"
2018-01-03 02:00:00,-4,-14,0.0,9.7,2,89,08:38 PM,10:12 AM,08:57 AM,06:27 PM,-18,-19,-14,-19,17,1,69,0.0,1028,-13,10,203,8,"cincinnati,oh"
