date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-16,-21,-15,-21,15,43,93,0.0,1037,-15,10,311,8,"columbus,oh"
2018-01-01 01:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-16,-21,-16,-21,15,50,94,0.0,1037,-16,7,304,9,"columbus,oh"
2018-01-01 02:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-17,-22,-16,-22,16,57,94,0.0,1037,-16,5,297,9,"columbus,oh"
2018-01-01 03:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-17,-22,-16,-22,16,64,95,0.0,1038,-16,2,289,9,"columbus,oh"
2018-01-01 04:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-17,-22,-16,-22,14,70,95,0.0,1038,-16,2,285,8,"columbus,oh"
2018-01-01 05:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-17,-21,-16,-21,12,76,95,0.0,1038,-16,2,281,7,"columbus,oh"
2018-01-01 06:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-17,-21,-16,-21,10,82,95,0.0,1038,-17,2,277,6,"columbus,oh"
2018-01-01 07:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-17,-22,-16,-22,13,71,93,0.0,1039,-16,5,279,9,"columbus,oh"
2018-01-01 08:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-17,-22,-16,-22,16,61,92,0.0,1039,-16,7,282,11,"columbus,oh"
2018-01-01 09:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-16,-23,-15,-23,19,50,90,0.0,1039,-15,10,284,14,"columbus,oh"
2018-01-01 10:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-16,-22,-14,-22,18,52,86,0.0,1039,-14,10,283,14,"columbus,oh"
2018-01-01 11:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-16,-21,-13,-21,18,53,83,0.0,1039,-13,10,282,14,"columbus,oh"
2018-01-01 12:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-15,-20,-13,-20,17,55,80,0.0,1039,-13,10,281,14,"columbus,oh"
2018-01-01 13:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-16,-20,-13,-20,19,54,80,0.0,1039,-13,10,284,15,"columbus,oh"
2018-01-01 14:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-16,-21,-13,-21,20,53,80,0.0,1039,-13,10,286,16,"columbus,oh"
2018-01-01 15:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-16,-21,-13,-21,22,52,80,0.0,1039,-13,10,288,17,"columbus,oh"
2018-01-01 16:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-16,-22,-14,-22,21,50,84,0.0,1040,-14,10,281,15,"columbus,oh"
2018-01-01 17:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-17,-22,-15,-22,20,48,88,0.0,1041,-15,10,274,13,"columbus,oh"
2018-01-01 18:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-17,-23,-16,-23,19,46,92,0.0,1041,-16,10,267,11,"columbus,oh"
2018-01-01 19:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-18,-24,-17,-24,20,45,92,0.0,1042,-17,10,272,12,"columbus,oh"
2018-01-01 20:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-18,-25,-17,-25,20,45,92,0.0,1042,-17,10,277,12,"columbus,oh"
2018-01-01 21:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-19,-26,-18,-26,21,44,92,0.0,1042,-18,10,282,13,"columbus,oh"
2018-01-01 22:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-19,-25,-18,-25,18,43,92,0.0,1042,-18,10,281,11,"columbus,oh"
2018-01-01 23:00:00,-13,-18,0.0,9.6,2,97,06:13 PM,08:08 AM,08:54 AM,06:17 PM,-19,-25,-18,-25,15,42,93,0.0,1042,-18,10,280,9,"columbus,oh"
2018-01-02 00:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-19,-25,-19,-25,13,40,93,0.0,1043,-19,10,279,8,"columbus,oh"
2018-01-02 01:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-20,-25,-19,-25,13,35,92,0.0,1043,-19,10,271,8,"columbus,oh"
2018-01-02 02:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-20,-25,-19,-25,13,31,92,0.0,1042,-19,10,264,8,"columbus,oh"
2018-01-02 03:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-20,-25,-19,-25,13,26,92,0.0,1042,-20,10,256,8,"columbus,oh"
2018-01-02 04:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-20,-25,-19,-25,12,28,92,0.0,1042,-20,10,243,7,"columbus,oh"
2018-01-02 05:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-20,-25,-19,-25,11,31,93,0.0,1042,-20,10,231,6,"columbus,oh"
2018-01-02 06:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-20,-24,-19,-24,10,33,93,0.0,1042,-20,10,219,6,"columbus,oh"
2018-01-02 07:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-20,-24,-19,-24,12,25,90,0.0,1042,-19,10,224,8,"columbus,oh"
2018-01-02 08:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-20,-25,-18,-25,14,18,87,0.0,1042,-18,10,228,10,"columbus,oh"
2018-01-02 09:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-20,-25,-18,-25,16,10,84,0.0,1041,-18,10,233,12,"columbus,oh"
2018-01-02 10:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-19,-23,-16,-23,15,9,81,0.0,1041,-16,10,227,11,"columbus,oh"
2018-01-02 11:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-18,-21,-15,-21,14,9,78,0.0,1040,-15,10,222,11,"columbus,oh"
2018-01-02 12:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-17,-20,-14,-20,12,8,75,0.0,1039,-14,10,216,10,"columbus,oh"
2018-01-02 13:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-17,-19,-13,-19,14,7,76,0.0,1038,-13,10,222,11,"columbus,oh"
2018-01-02 14:00:00,-12,-20,0.0,9.6,2,100,07:20 PM,09:12 AM,08:54 AM,06:18 PM,-16,-19,-13,-19,15,5,78,0.0,1037,-13,10,228,11,"columbus,oh"
