date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-9,-5,-9,16,91,27,0.0,1030,-5,10,40,11,"concord,nc"
2018-01-01 01:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-10,-5,-10,18,67,30,0.0,1031,-5,10,41,12,"concord,nc"
2018-01-01 02:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-11,-6,-11,19,44,32,0.0,1031,-5,10,41,13,"concord,nc"
2018-01-01 03:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-19,-12,-6,-12,21,20,34,0.0,1031,-6,10,42,14,"concord,nc"
2018-01-01 04:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-19,-12,-7,-12,20,15,35,0.0,1032,-6,10,43,13,"concord,nc"
2018-01-01 05:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-19,-12,-7,-12,18,11,36,0.0,1032,-7,10,44,12,"concord,nc"
2018-01-01 06:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-13,-8,-13,17,6,37,0.0,1033,-8,10,45,12,"concord,nc"
2018-01-01 07:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-12,-7,-12,17,6,35,0.0,1034,-7,10,40,13,"concord,nc"
2018-01-01 08:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-12,-6,-12,18,6,33,0.0,1034,-6,10,34,14,"concord,nc"
2018-01-01 09:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-11,-5,-11,18,6,31,0.0,1034,-5,10,28,15,"concord,nc"
2018-01-01 10:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-10,-4,-10,16,32,29,0.0,1034,-4,10,20,14,"concord,nc"
2018-01-01 11:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-8,-4,-8,15,58,27,0.0,1034,-4,10,11,13,"concord,nc"
2018-01-01 12:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-7,-3,-7,13,84,25,0.0,1034,-3,10,3,12,"concord,nc"
2018-01-01 13:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-7,-3,-7,15,58,25,0.0,1033,-3,10,2,13,"concord,nc"
2018-01-01 14:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-7,-2,-7,17,32,24,0.0,1033,-2,10,2,14,"concord,nc"
2018-01-01 15:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-7,-2,-7,18,5,24,0.0,1033,-2,10,2,15,"concord,nc"
2018-01-01 16:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-20,-8,-4,-8,17,3,27,0.0,1033,-4,10,113,12,"concord,nc"
2018-01-01 17:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-19,-9,-5,-9,15,2,31,0.0,1034,-5,10,224,10,"concord,nc"
2018-01-01 18:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-19,-9,-6,-9,13,0,35,0.0,1035,-6,10,335,7,"concord,nc"
2018-01-01 19:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-19,-10,-6,-10,17,0,36,0.0,1035,-6,10,225,10,"concord,nc"
2018-01-01 20:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-18,-11,-6,-11,20,0,37,0.0,1035,-6,10,115,12,"concord,nc"
2018-01-01 21:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-18,-12,-6,-12,24,0,38,0.0,1036,-6,10,5,15,"concord,nc"
2018-01-01 22:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-19,-13,-7,-13,21,0,39,0.0,1036,-7,10,123,13,"concord,nc"
2018-01-01 23:00:00,-2,-8,0.0,9.9,1,97,06:15 PM,07:47 AM,08:31 AM,06:20 PM,-19,-13,-8,-13,19,0,40,0.0,1036,-8,10,240,12,"concord,nc"
2018-01-02 00:00:00,-0,-10,0.0,9.9,2,100,07:21 PM,08:50 AM,08:31 AM,06:21 PM,-19,-13,-8,-13,16,0,41,0.0,1036,-8,10,357,10,"concord,nc"
2018-01-02 01:00:00,-0,-10,0.0,9.9,2,100,07:21 PM,08:50 AM,08:31 AM,06:21 PM,-19,-14,-8,-14,17,0,40,0.0,1036,-8,10,240,11,"concord,nc"
2018-01-02 02:00:00,-0,-10,0.0,9.9,2,100,07:21 PM,08:50 AM,08:31 AM,06:21 PM,-20,-14,-9,-14,19,0,40,0.0,1036,-9,10,122,12,"concord,nc"
2018-01-02 03:00:00,-0,-10,0.0,9.9,2,100,07:21 PM,08:50 AM,08:31 AM,06:21 PM,-20,-14,-9,-14,20,0,39,0.0,1037,-9,10,5,12,"concord,nc"
2018-01-02 04:00:00,-0,-10,0.0,9.9,2,100,07:21 PM,08:50 AM,08:31 AM,06:21 PM,-20,-14,-9,-14,17,1,40,0.0,1037,-9,10,6,11,"concord,nc"
2018-01-02 05:00:00,-0,-10,0.0,9.9,2,100,07:21 PM,08:50 AM,08:31 AM,06:21 PM,-21,-14,-10,-14,15,2,40,0.0,1037,-10,10,8,9,"concord,nc"
2018-01-02 06:00:00,-0,-10,0.0,9.9,2,100,07:21 PM,08:50 AM,08:31 AM,06:21 PM,-21,-14,-10,-14,12,3,40,0.0,1038,-10,10,9,8,"concord,nc"
2018-01-02 07:00:00,-0,-10,0.0,9.9,2,100,07:21 PM,08:50 AM,08:31 AM,06:21 PM,-22,-13,-9,-13,13,3,35,0.0,1038,-9,10,13,9,"concord,nc"
