date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,3,-10,0.0,8.7,2,97,05:46 PM,07:40 AM,08:21 AM,05:47 PM,-14,-10,-8,-10,5,11,66,0.0,1037,-9,10,62,4,"denver,co"
2018-01-01 01:00:00,3,-10,0.0,8.7,2,97,05:46 PM,07:40 AM,08:21 AM,05:47 PM,-14,-10,-8,-10,5,10,66,0.0,1036,-9,10,66,4,"denver,co"
2018-01-01 02:00:00,3,-10,0.0,8.7,2,97,05:46 PM,07:40 AM,08:21 AM,05:47 PM,-13,-11,-8,-11,6,8,67,0.0,1036,-10,10,71,4,"denver,co"
2018-01-01 03:00:00,3,-10,0.0,8.7,2,97,05:46 PM,07:40 AM,08:21 AM,05:47 PM,-13,-11,-9,-11,7,7,68,0.0,1036,-10,10,75,5,"denver,co"
2018-01-01 04:00:00,3,-10,0.0,8.7,2,97,05:46 PM,07:40 AM,08:21 AM,05:47 PM,-13,-11,-8,-11,8,8,67,0.0,1035,-9,10,109,5,"denver,co"
2018-01-01 05:00:00,3,-10,0.0,8.7,2,97,05:46 PM,07:40 AM,08:21 AM,05:47 PM,-13,-11,-8,-11,9,9,66,0.0,1035,-9,10,144,5,"denver,co"
2018-01-01 06:00:00,3,-10,0.0,8.7,2,97,05:46 PM,07:40 AM,08:21 AM,05:47 PM,-13,-10,-8,-10,11,10,65,0.0,1035,-9,10,178,5,"denver,co"
2018-01-01 07:00:00,3,-10,0.0,8.7,2,97,05:46 PM,07:40 AM,08:21 AM,05:47 PM,-13,-9,-7,-9,9,10,64,0.0,1034,-8,10,165,4,"denver,co"
2018-01-01 08:00:00,3,-10,0.0,8.7,2,97,05:46 PM,07:40 AM,08:21 AM,05:47 PM,-12,-7,-6,-7,7,10,62,0.0,1033,-7,10,152,3,"denver,co"
2018-01-01 09:00:00,3,-10,0.0,8.7,2,97,05:46 PM,07:40 AM,08:21 AM,05:47 PM,-12,-6,-6,-6,5,10,60,0.0,1032,-7,10,138,2,"denver,co"
2018-01-01 10:00:00,3,-10,0.0,8.7,2,97,05:46 PM,07:40 AM,08:21 AM,05:47 PM,-12,-4,-4,-4,4,14,54,0.0,1031,-5,10,101,3,"denver,co"
2018-01-01 11:00:00,3,-10,0.0,8.7,2,97,05:46 PM,07:40 AM,08:21 AM,05:47 PM,-12,-3,-2,-3,4,17,48,0.0,1029,-3,10,63,3,"denver,co"
