date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-26,-34,-24,-34,20,91,88,0.0,1043,-24,10,307,13,"duluth,mn"
2018-01-01 01:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-26,-34,-25,-34,19,90,88,0.0,1043,-25,10,304,13,"duluth,mn"
2018-01-01 02:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-26,-34,-25,-34,18,89,89,0.0,1044,-25,10,302,12,"duluth,mn"
2018-01-01 03:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-26,-34,-25,-34,17,87,89,0.0,1044,-25,10,300,12,"duluth,mn"
2018-01-01 04:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-26,-34,-25,-34,17,75,89,0.0,1044,-25,10,301,11,"duluth,mn"
2018-01-01 05:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-26,-34,-25,-34,17,62,90,0.0,1044,-25,10,302,11,"duluth,mn"
2018-01-01 06:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-27,-34,-26,-34,17,50,90,0.0,1044,-25,10,303,11,"duluth,mn"
2018-01-01 07:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-26,-34,-25,-34,17,45,89,0.0,1044,-25,10,299,11,"duluth,mn"
2018-01-01 08:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-26,-33,-25,-33,17,39,89,0.0,1044,-25,10,294,11,"duluth,mn"
2018-01-01 09:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-26,-33,-24,-33,17,34,88,0.0,1044,-24,10,289,12,"duluth,mn"
2018-01-01 10:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-24,-31,-22,-31,16,25,83,0.0,1043,-22,10,288,12,"duluth,mn"
2018-01-01 11:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-23,-28,-20,-28,15,15,78,0.0,1043,-20,10,288,12,"duluth,mn"
2018-01-01 12:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-22,-26,-18,-26,14,6,73,0.0,1042,-18,10,288,12,"duluth,mn"
2018-01-01 13:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-21,-25,-18,-25,14,6,73,0.0,1042,-17,10,283,12,"duluth,mn"
2018-01-01 14:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-21,-24,-17,-24,15,5,72,0.0,1041,-17,10,278,12,"duluth,mn"
2018-01-01 15:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-20,-24,-16,-24,16,5,72,0.0,1041,-16,10,273,13,"duluth,mn"
2018-01-01 16:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-20,-24,-17,-24,17,33,76,0.0,1041,-17,10,270,12,"duluth,mn"
2018-01-01 17:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-20,-25,-18,-25,18,62,80,0.0,1041,-18,10,267,12,"duluth,mn"
2018-01-01 18:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-20,-26,-18,-26,19,91,84,0.0,1040,-18,10,265,11,"duluth,mn"
2018-01-01 19:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-20,-26,-19,-26,20,67,85,0.0,1040,-19,10,262,12,"duluth,mn"
2018-01-01 20:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-21,-27,-19,-27,21,43,85,0.0,1039,-19,10,259,13,"duluth,mn"
2018-01-01 21:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-21,-27,-19,-27,21,20,85,0.0,1039,-19,10,256,13,"duluth,mn"
2018-01-01 22:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-21,-28,-19,-28,24,20,84,0.0,1038,-19,10,256,15,"duluth,mn"
2018-01-01 23:00:00,-16,-25,0.0,8.7,1,97,05:31 PM,08:07 AM,08:53 AM,05:31 PM,-21,-28,-19,-28,26,20,82,0.0,1037,-19,10,257,17,"duluth,mn"
2018-01-02 00:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-21,-28,-19,-28,29,20,81,0.0,1037,-19,10,258,19,"duluth,mn"
2018-01-02 01:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-21,-28,-19,-28,29,46,79,0.0,1036,-19,10,256,19,"duluth,mn"
2018-01-02 02:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-21,-28,-18,-28,29,72,78,0.0,1035,-18,10,255,19,"duluth,mn"
2018-01-02 03:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-21,-28,-18,-28,28,98,76,0.0,1034,-18,10,254,19,"duluth,mn"
2018-01-02 04:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-22,-29,-19,-29,30,98,75,0.0,1032,-19,10,252,19,"duluth,mn"
2018-01-02 05:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-23,-29,-19,-29,31,98,74,0.0,1031,-19,10,251,20,"duluth,mn"
2018-01-02 06:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-23,-30,-20,-30,33,98,72,0.0,1030,-20,10,250,21,"duluth,mn"
2018-01-02 07:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-23,-30,-19,-30,32,98,72,0.0,1029,-20,10,244,21,"duluth,mn"
2018-01-02 08:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-23,-30,-19,-30,32,99,72,0.0,1027,-19,10,239,21,"duluth,mn"
2018-01-02 09:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-23,-30,-19,-30,31,100,72,0.0,1025,-19,10,234,21,"duluth,mn"
2018-01-02 10:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-21,-28,-18,-28,32,100,75,0.0,1023,-18,10,233,22,"duluth,mn"
2018-01-02 11:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-20,-27,-17,-27,32,100,79,0.0,1021,-17,10,232,24,"duluth,mn"
2018-01-02 12:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-18,-26,-16,-26,33,100,83,0.0,1019,-16,10,232,25,"duluth,mn"
2018-01-02 13:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-17,-24,-15,-24,31,100,82,0.0,1018,-15,10,236,24,"duluth,mn"
2018-01-02 14:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-16,-23,-14,-23,29,99,82,0.0,1017,-14,10,240,22,"duluth,mn"
2018-01-02 15:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-15,-21,-13,-21,27,99,81,0.0,1016,-12,10,244,21,"duluth,mn"
2018-01-02 16:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-15,-21,-13,-21,23,99,84,0.0,1016,-13,10,255,17,"duluth,mn"
2018-01-02 17:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-15,-20,-13,-20,20,100,86,0.0,1016,-13,10,265,14,"duluth,mn"
2018-01-02 18:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-15,-20,-13,-20,17,100,89,0.0,1016,-13,10,276,11,"duluth,mn"
2018-01-02 19:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-15,-20,-14,-20,17,100,88,0.0,1016,-14,10,292,11,"duluth,mn"
2018-01-02 20:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-16,-21,-14,-21,17,100,88,0.0,1016,-14,10,307,12,"duluth,mn"
2018-01-02 21:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-17,-22,-15,-22,18,100,87,0.0,1017,-15,10,323,12,"duluth,mn"
2018-01-02 22:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-17,-23,-16,-23,19,100,87,0.0,1018,-16,10,326,12,"duluth,mn"
2018-01-02 23:00:00,-12,-20,0.0,3.3,2,100,06:38 PM,09:10 AM,08:53 AM,05:32 PM,-18,-24,-17,-24,19,100,86,0.0,1019,-17,10,329,13,"duluth,mn"
2018-01-03 00:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-19,-25,-17,-25,20,100,85,0.0,1020,-17,10,332,13,"duluth,mn"
2018-01-03 01:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-20,-26,-18,-26,21,96,85,0.0,1020,-18,10,332,14,"duluth,mn"
2018-01-03 02:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-20,-27,-18,-27,22,91,85,0.0,1021,-18,10,332,15,"duluth,mn"
2018-01-03 03:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-20,-27,-18,-27,23,87,85,0.0,1022,-18,10,332,15,"duluth,mn"
2018-01-03 04:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-20,-27,-19,-27,22,89,86,0.0,1023,-19,10,333,14,"duluth,mn"
2018-01-03 05:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-21,-27,-19,-27,20,91,87,0.0,1024,-19,10,333,13,"duluth,mn"
2018-01-03 06:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-21,-28,-19,-28,19,93,87,0.0,1025,-19,10,334,13,"duluth,mn"
2018-01-03 07:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-21,-28,-20,-28,19,94,86,0.0,1025,-20,10,333,13,"duluth,mn"
2018-01-03 08:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-22,-28,-20,-28,20,94,86,0.0,1026,-20,10,333,14,"duluth,mn"
2018-01-03 09:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-22,-29,-20,-29,20,95,85,0.0,1027,-20,10,333,14,"duluth,mn"
2018-01-03 10:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-21,-27,-19,-27,18,88,81,0.0,1027,-19,10,332,14,"duluth,mn"
2018-01-03 11:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-21,-26,-18,-26,17,80,77,0.0,1027,-18,10,330,13,"duluth,mn"
2018-01-03 12:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-21,-25,-17,-25,15,73,73,0.0,1028,-17,10,329,13,"duluth,mn"
2018-01-03 13:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-21,-25,-17,-25,15,66,73,0.0,1027,-17,10,328,13,"duluth,mn"
2018-01-03 14:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-21,-25,-17,-25,15,60,74,0.0,1027,-17,10,326,13,"duluth,mn"
2018-01-03 15:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-20,-25,-17,-25,15,53,74,0.0,1027,-17,10,324,13,"duluth,mn"
2018-01-03 16:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-21,-25,-18,-25,15,53,79,0.0,1028,-18,10,328,12,"duluth,mn"
2018-01-03 17:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-21,-26,-19,-26,15,52,83,0.0,1029,-19,10,331,10,"duluth,mn"
2018-01-03 18:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-21,-27,-20,-27,15,51,88,0.0,1030,-20,10,335,9,"duluth,mn"
2018-01-03 19:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-22,-27,-20,-27,15,49,89,0.0,1030,-20,10,336,9,"duluth,mn"
2018-01-03 20:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-22,-28,-21,-28,15,47,89,0.0,1031,-21,10,336,9,"duluth,mn"
2018-01-03 21:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-22,-29,-21,-29,15,45,90,0.0,1031,-21,10,337,10,"duluth,mn"
2018-01-03 22:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-23,-29,-22,-29,15,44,90,0.0,1032,-22,10,338,10,"duluth,mn"
2018-01-03 23:00:00,-17,-21,0.0,5.1,1,89,07:51 PM,10:04 AM,08:53 AM,05:33 PM,-23,-29,-22,-29,15,43,90,0.0,1032,-22,10,340,9,"duluth,mn"
2018-01-04 00:00:00,-16,-24,0.0,8.7,2,81,09:06 PM,10:48 AM,08:53 AM,05:34 PM,-24,-30,-22,-30,15,42,90,0.0,1033,-22,10,341,9,"duluth,mn"
2018-01-04 01:00:00,-16,-24,0.0,8.7,2,81,09:06 PM,10:48 AM,08:53 AM,05:34 PM,-24,-30,-23,-30,14,37,91,0.0,1033,-23,10,336,9,"duluth,mn"
2018-01-04 02:00:00,-16,-24,0.0,8.7,2,81,09:06 PM,10:48 AM,08:53 AM,05:34 PM,-24,-29,-23,-29,13,32,91,0.0,1033,-23,10,331,8,"duluth,mn"
2018-01-04 03:00:00,-16,-24,0.0,8.7,2,81,09:06 PM,10:48 AM,08:53 AM,05:34 PM,-24,-29,-23,-29,11,28,92,0.0,1033,-23,10,326,7,"duluth,mn"
