date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-18,-11,-6,-11,19,13,37,0.0,1030,-6,10,31,14,"durham,nc"
2018-01-01 01:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-18,-12,-6,-12,21,10,37,0.0,1031,-6,10,29,15,"durham,nc"
2018-01-01 02:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-19,-13,-6,-13,23,8,36,0.0,1031,-6,10,28,16,"durham,nc"
2018-01-01 03:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-19,-13,-7,-13,25,5,36,0.0,1031,-7,10,27,17,"durham,nc"
2018-01-01 04:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-20,-13,-7,-13,22,5,36,0.0,1032,-7,10,29,16,"durham,nc"
2018-01-01 05:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-20,-13,-7,-13,20,5,36,0.0,1032,-7,10,31,14,"durham,nc"
2018-01-01 06:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-20,-13,-8,-13,17,5,35,0.0,1033,-8,10,33,13,"durham,nc"
2018-01-01 07:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-20,-13,-7,-13,18,5,33,0.0,1033,-7,10,28,14,"durham,nc"
2018-01-01 08:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-20,-12,-6,-12,20,5,31,0.0,1034,-6,10,24,16,"durham,nc"
2018-01-01 09:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-20,-11,-5,-11,21,5,30,0.0,1034,-5,10,19,18,"durham,nc"
2018-01-01 10:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-20,-10,-4,-10,19,14,28,0.0,1034,-4,10,132,16,"durham,nc"
2018-01-01 11:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-20,-9,-4,-9,17,23,26,0.0,1034,-4,10,244,15,"durham,nc"
2018-01-01 12:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-20,-8,-3,-8,15,32,24,0.0,1033,-3,10,357,13,"durham,nc"
2018-01-01 13:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-20,-8,-3,-8,16,23,24,0.0,1033,-3,10,354,14,"durham,nc"
2018-01-01 14:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-20,-8,-3,-8,17,13,24,0.0,1033,-3,10,352,14,"durham,nc"
2018-01-01 15:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-20,-8,-3,-8,19,3,24,0.0,1033,-3,10,349,15,"durham,nc"
2018-01-01 16:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-19,-8,-3,-8,15,2,28,0.0,1033,-4,10,341,12,"durham,nc"
2018-01-01 17:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-19,-7,-4,-7,12,1,31,0.0,1034,-5,10,333,9,"durham,nc"
2018-01-01 18:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-18,-7,-4,-7,9,0,34,0.0,1034,-6,10,325,6,"durham,nc"
2018-01-01 19:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-18,-9,-5,-9,14,0,35,0.0,1034,-6,10,331,9,"durham,nc"
2018-01-01 20:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-18,-10,-5,-10,19,0,35,0.0,1035,-6,10,337,13,"durham,nc"
2018-01-01 21:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-18,-12,-6,-12,24,0,35,0.0,1035,-6,10,343,16,"durham,nc"
2018-01-01 22:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-19,-12,-6,-12,23,0,36,0.0,1035,-6,10,342,16,"durham,nc"
2018-01-01 23:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:41 AM,08:26 AM,06:12 PM,-19,-13,-7,-13,23,0,37,0.0,1035,-7,10,340,16,"durham,nc"
2018-01-02 00:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-19,-14,-7,-14,23,0,37,0.0,1035,-7,10,339,15,"durham,nc"
2018-01-02 01:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-20,-14,-8,-14,23,0,37,0.0,1036,-8,10,344,16,"durham,nc"
2018-01-02 02:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-20,-14,-8,-14,23,0,37,0.0,1036,-8,10,349,16,"durham,nc"
2018-01-02 03:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-20,-14,-8,-14,23,0,37,0.0,1036,-8,10,354,16,"durham,nc"
2018-01-02 04:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-20,-15,-8,-15,21,0,38,0.0,1037,-8,10,354,14,"durham,nc"
2018-01-02 05:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-20,-15,-9,-15,18,0,39,0.0,1037,-9,10,354,12,"durham,nc"
2018-01-02 06:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-20,-15,-9,-15,16,0,40,0.0,1037,-9,10,354,11,"durham,nc"
2018-01-02 07:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-20,-13,-8,-13,14,0,37,0.0,1037,-8,10,242,10,"durham,nc"
2018-01-02 08:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-21,-12,-7,-12,12,0,33,0.0,1037,-7,10,130,10,"durham,nc"
2018-01-02 09:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-21,-10,-6,-10,10,0,30,0.0,1037,-6,10,19,9,"durham,nc"
2018-01-02 10:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-20,-7,-4,-7,8,0,27,0.0,1037,-5,10,129,7,"durham,nc"
2018-01-02 11:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-19,-3,-1,-3,6,0,24,0.0,1036,-3,10,239,5,"durham,nc"
2018-01-02 12:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-19,0,1,0,4,0,21,0.0,1035,-1,10,349,4,"durham,nc"
2018-01-02 13:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-19,0,1,0,4,0,21,0.0,1034,-1,10,344,4,"durham,nc"
2018-01-02 14:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-19,-0,1,-0,4,0,21,0.0,1033,-1,10,340,4,"durham,nc"
2018-01-02 15:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-19,-0,1,-0,5,0,21,0.0,1033,-2,10,335,4,"durham,nc"
2018-01-02 16:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-19,-1,-1,-1,4,0,24,0.0,1033,-3,10,305,3,"durham,nc"
2018-01-02 17:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-18,-2,-2,-2,3,0,27,0.0,1032,-4,10,275,2,"durham,nc"
2018-01-02 18:00:00,-1,-9,0.0,9.9,2,100,07:13 PM,08:44 AM,08:26 AM,06:13 PM,-18,-3,-3,-3,2,0,30,0.0,1032,-5,10,245,1,"durham,nc"
