date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-12,-14,1.5,3.4,1,97,05:55 PM,08:02 AM,08:49 AM,05:59 PM,-15,-20,-14,-20,17,100,92,0.0,1033,-14,10,330,10,"erie,pa"
2018-01-01 01:00:00,-12,-14,1.5,3.4,1,97,05:55 PM,08:02 AM,08:49 AM,05:59 PM,-14,-20,-13,-20,17,100,91,0.0,1033,-13,7,322,11,"erie,pa"
2018-01-01 02:00:00,-12,-14,1.5,3.4,1,97,05:55 PM,08:02 AM,08:49 AM,05:59 PM,-14,-19,-13,-19,18,100,91,0.2,1033,-13,5,314,11,"erie,pa"
2018-01-01 03:00:00,-12,-14,1.5,3.4,1,97,05:55 PM,08:02 AM,08:49 AM,05:59 PM,-14,-19,-13,-19,18,100,90,0.2,1033,-13,2,306,12,"erie,pa"
2018-01-01 04:00:00,-12,-14,1.5,3.4,1,97,05:55 PM,08:02 AM,08:49 AM,05:59 PM,-14,-20,-13,-20,20,100,90,0.1,1033,-13,5,302,13,"erie,pa"
2018-01-01 05:00:00,-12,-14,1.5,3.4,1,97,05:55 PM,08:02 AM,08:49 AM,05:59 PM,-14,-20,-13,-20,22,100,91,0.0,1033,-13,7,299,14,"erie,pa"
2018-01-01 06:00:00,-12,-14,1.5,3.4,1,97,05:55 PM,08:02 AM,08:49 AM,05:59 PM,-14,-20,-13,-20,23,100,91,0.0,1033,-13,10,295,15,"erie,pa"
2018-01-01 07:00:00,-12,-14,1.5,3.4,1,97,05:55 PM,08:02 AM,08:49 AM,05:59 PM,-14,-20,-13,-20,25,100,91,0.0,1033,-12,7,292,17,"erie,pa"
2018-01-01 08:00:00,-12,-14,1.5,3.4,1,97,05:55 PM,08:02 AM,08:49 AM,05:59 PM,-13,-21,-12,-21,28,100,90,0.2,1033,-12,5,288,20,"erie,pa"
2018-01-01 09:00:00,-12,-14,1.5,3.4,1,97,05:55 PM,08:02 AM,08:49 AM,05:59 PM,-13,-21,-12,-21,30,100,90,0.3,1033,-12,2,285,22,"erie,pa"
