date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-20,-28,-18,-28,32,68,82,0.0,1034,-18,10,282,23,"escanaba,mi"
2018-01-01 01:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-19,-27,-17,-27,31,63,83,0.0,1034,-17,10,283,23,"escanaba,mi"
2018-01-01 02:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-19,-27,-17,-27,31,58,83,0.0,1034,-17,10,284,22,"escanaba,mi"
2018-01-01 03:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-18,-26,-16,-26,31,53,84,0.0,1034,-16,10,285,22,"escanaba,mi"
2018-01-01 04:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-18,-26,-16,-26,29,58,84,0.0,1034,-16,10,288,20,"escanaba,mi"
2018-01-01 05:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-18,-26,-16,-26,27,62,85,0.0,1034,-16,10,291,18,"escanaba,mi"
2018-01-01 06:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-18,-25,-17,-25,25,66,85,0.0,1034,-17,10,294,17,"escanaba,mi"
2018-01-01 07:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-18,-25,-16,-25,26,61,82,0.0,1034,-16,10,297,18,"escanaba,mi"
2018-01-01 08:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-18,-24,-16,-24,27,57,79,0.0,1035,-15,10,300,18,"escanaba,mi"
2018-01-01 09:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-18,-24,-15,-24,27,53,77,0.0,1035,-15,10,304,19,"escanaba,mi"
2018-01-01 10:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-18,-22,-14,-22,25,65,74,0.0,1035,-14,10,299,18,"escanaba,mi"
2018-01-01 11:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-17,-21,-13,-21,22,77,72,0.0,1034,-13,10,295,17,"escanaba,mi"
2018-01-01 12:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-16,-20,-12,-20,20,89,70,0.0,1034,-12,10,291,16,"escanaba,mi"
2018-01-01 13:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-16,-19,-12,-19,21,70,70,0.0,1034,-12,10,286,16,"escanaba,mi"
2018-01-01 14:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-16,-19,-11,-19,21,51,70,0.0,1034,-11,10,281,17,"escanaba,mi"
2018-01-01 15:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-15,-18,-11,-18,22,32,70,0.0,1034,-11,10,277,17,"escanaba,mi"
2018-01-01 16:00:00,-11,-18,0.0,6.9,1,97,06:13 PM,08:42 AM,09:30 AM,06:15 PM,-15,-19,-12,-19,22,25,75,0.0,1034,-12,10,274,16,"escanaba,mi"
