date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-4,-2,-0,-2,12,48,76,0.0,1028,-0,10,77,6,"everett,wa"
2018-01-01 01:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-4,-2,-0,-2,11,44,74,0.0,1028,-0,10,80,5,"everett,wa"
2018-01-01 02:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-5,-2,-1,-2,11,40,73,0.0,1029,-1,10,83,5,"everett,wa"
2018-01-01 03:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-5,-2,-1,-2,10,35,72,0.0,1030,-1,10,86,5,"everett,wa"
2018-01-01 04:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-5,-2,-1,-2,10,32,70,0.0,1030,-1,10,81,5,"everett,wa"
2018-01-01 05:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-6,-2,-1,-2,10,29,69,0.0,1030,-1,10,76,5,"everett,wa"
2018-01-01 06:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-6,-2,-1,-2,10,26,68,0.0,1029,-1,10,71,5,"everett,wa"
2018-01-01 07:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-5,-1,1,-1,8,27,66,0.0,1030,1,10,72,4,"everett,wa"
2018-01-01 08:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-4,1,2,1,7,29,63,0.0,1031,2,10,74,4,"everett,wa"
2018-01-01 09:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-4,3,3,3,6,31,60,0.0,1031,3,10,75,4,"everett,wa"
2018-01-01 10:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-3,4,4,4,5,29,59,0.0,1031,4,10,165,3,"everett,wa"
2018-01-01 11:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-2,5,5,5,5,27,57,0.0,1030,5,10,255,3,"everett,wa"
2018-01-01 12:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-2,7,7,7,4,25,55,0.0,1030,7,10,344,3,"everett,wa"
2018-01-01 13:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-1,5,5,5,4,22,65,0.0,1031,5,10,250,3,"everett,wa"
2018-01-01 14:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,-0,4,4,4,3,18,74,0.0,1031,4,10,155,2,"everett,wa"
2018-01-01 15:00:00,7,-1,0.0,8.7,2,97,05:32 PM,08:17 AM,08:59 AM,05:27 PM,0,3,3,3,3,14,84,0.0,1032,3,10,61,1,"everett,wa"
