date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-12,-13,-10,-13,14,97,84,0.0,1009,-10,10,64,6,"fairbanks,ak"
2018-01-01 01:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-13,-14,-11,-14,13,82,83,0.0,1009,-11,10,69,6,"fairbanks,ak"
2018-01-01 02:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-14,-15,-12,-15,13,68,82,0.0,1009,-12,10,73,6,"fairbanks,ak"
2018-01-01 03:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-15,-16,-13,-16,12,54,82,0.0,1009,-13,10,78,6,"fairbanks,ak"
2018-01-01 04:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-15,-17,-13,-17,12,47,83,0.0,1009,-13,10,67,6,"fairbanks,ak"
2018-01-01 05:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-15,-17,-13,-17,13,40,84,0.0,1009,-13,10,55,6,"fairbanks,ak"
2018-01-01 06:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-15,-17,-13,-17,13,33,85,0.0,1008,-13,10,44,6,"fairbanks,ak"
2018-01-01 07:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-16,-18,-14,-18,13,26,85,0.0,1009,-14,10,49,6,"fairbanks,ak"
2018-01-01 08:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-16,-18,-14,-18,12,19,86,0.0,1009,-14,10,54,6,"fairbanks,ak"
2018-01-01 09:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-16,-18,-14,-18,12,12,86,0.0,1009,-14,10,59,6,"fairbanks,ak"
2018-01-01 10:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-16,-19,-14,-19,14,10,85,0.0,1009,-14,10,58,6,"fairbanks,ak"
2018-01-01 11:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-16,-19,-14,-19,15,8,85,0.0,1009,-14,10,57,7,"fairbanks,ak"
2018-01-01 12:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-16,-19,-14,-19,17,6,84,0.0,1008,-14,10,56,8,"fairbanks,ak"
2018-01-01 13:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-16,-19,-14,-19,17,6,84,0.0,1008,-14,10,54,8,"fairbanks,ak"
2018-01-01 14:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-16,-19,-14,-19,17,7,83,0.0,1007,-14,10,51,8,"fairbanks,ak"
2018-01-01 15:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-16,-19,-14,-19,17,7,82,0.0,1007,-14,10,49,8,"fairbanks,ak"
2018-01-01 16:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-16,-19,-14,-19,18,10,82,0.0,1006,-14,10,53,9,"fairbanks,ak"
2018-01-01 17:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-15,-18,-13,-18,18,13,81,0.0,1005,-13,10,57,9,"fairbanks,ak"
2018-01-01 18:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-15,-18,-12,-18,19,16,81,0.0,1004,-12,10,62,9,"fairbanks,ak"
2018-01-01 19:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-15,-17,-12,-17,20,40,80,0.0,1002,-12,10,67,10,"fairbanks,ak"
2018-01-01 20:00:00,-10,-14,0.0,4.0,1,97,04:26 PM,10:56 AM,11:54 AM,03:56 PM,-14,-17,-11,-17,21,63,79,0.0,1000,-11,10,73,11,"fairbanks,ak"
