date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-10,-18,0.0,9.8,2,97,06:22 PM,08:06 AM,08:49 AM,06:24 PM,-23,-26,-16,-26,27,7,55,0.0,1049,-16,10,23,21,"gardencity,ks"
2018-01-01 01:00:00,-10,-18,0.0,9.8,2,97,06:22 PM,08:06 AM,08:49 AM,06:24 PM,-23,-26,-17,-26,25,8,56,0.0,1050,-16,10,21,19,"gardencity,ks"
2018-01-01 02:00:00,-10,-18,0.0,9.8,2,97,06:22 PM,08:06 AM,08:49 AM,06:24 PM,-23,-26,-17,-26,23,8,57,0.0,1050,-17,10,20,18,"gardencity,ks"
2018-01-01 03:00:00,-10,-18,0.0,9.8,2,97,06:22 PM,08:06 AM,08:49 AM,06:24 PM,-23,-26,-17,-26,21,9,58,0.0,1050,-17,10,19,16,"gardencity,ks"
2018-01-01 04:00:00,-10,-18,0.0,9.8,2,97,06:22 PM,08:06 AM,08:49 AM,06:24 PM,-23,-26,-17,-26,19,8,58,0.0,1050,-17,10,19,15,"gardencity,ks"
2018-01-01 05:00:00,-10,-18,0.0,9.8,2,97,06:22 PM,08:06 AM,08:49 AM,06:24 PM,-23,-26,-18,-26,18,8,59,0.0,1050,-18,10,19,14,"gardencity,ks"
2018-01-01 06:00:00,-10,-18,0.0,9.8,2,97,06:22 PM,08:06 AM,08:49 AM,06:24 PM,-24,-26,-18,-26,17,7,60,0.0,1051,-18,10,19,13,"gardencity,ks"
2018-01-01 07:00:00,-10,-18,0.0,9.8,2,97,06:22 PM,08:06 AM,08:49 AM,06:24 PM,-24,-25,-18,-25,15,7,58,0.0,1050,-18,10,21,12,"gardencity,ks"
2018-01-01 08:00:00,-10,-18,0.0,9.8,2,97,06:22 PM,08:06 AM,08:49 AM,06:24 PM,-24,-24,-17,-24,14,7,55,0.0,1050,-17,10,23,11,"gardencity,ks"
2018-01-01 09:00:00,-10,-18,0.0,9.8,2,97,06:22 PM,08:06 AM,08:49 AM,06:24 PM,-24,-24,-17,-24,13,7,53,0.0,1050,-17,10,25,10,"gardencity,ks"
