date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,2,-3,0.0,6.9,1,97,06:02 PM,07:11 AM,07:53 AM,06:07 PM,-7,-7,-1,-7,37,98,61,0.0,1030,-1,10,7,26,"gulfport,ms"
2018-01-01 01:00:00,2,-3,0.0,6.9,1,97,06:02 PM,07:11 AM,07:53 AM,06:07 PM,-9,-7,-1,-7,35,79,57,0.0,1030,-1,10,7,25,"gulfport,ms"
2018-01-01 02:00:00,2,-3,0.0,6.9,1,97,06:02 PM,07:11 AM,07:53 AM,06:07 PM,-10,-8,-2,-8,33,59,53,0.0,1031,-2,10,6,24,"gulfport,ms"
2018-01-01 03:00:00,2,-3,0.0,6.9,1,97,06:02 PM,07:11 AM,07:53 AM,06:07 PM,-11,-8,-2,-8,31,39,49,0.0,1031,-2,10,6,23,"gulfport,ms"
2018-01-01 04:00:00,2,-3,0.0,6.9,1,97,06:02 PM,07:11 AM,07:53 AM,06:07 PM,-12,-9,-3,-9,32,59,48,0.0,1032,-3,10,4,24,"gulfport,ms"
2018-01-01 05:00:00,2,-3,0.0,6.9,1,97,06:02 PM,07:11 AM,07:53 AM,06:07 PM,-13,-10,-3,-10,32,79,47,0.0,1032,-3,10,3,24,"gulfport,ms"
2018-01-01 06:00:00,2,-3,0.0,6.9,1,97,06:02 PM,07:11 AM,07:53 AM,06:07 PM,-13,-10,-3,-10,33,100,46,0.0,1033,-3,10,1,25,"gulfport,ms"
2018-01-01 07:00:00,2,-3,0.0,6.9,1,97,06:02 PM,07:11 AM,07:53 AM,06:07 PM,-14,-10,-3,-10,31,98,43,0.0,1033,-3,10,2,24,"gulfport,ms"
2018-01-01 08:00:00,2,-3,0.0,6.9,1,97,06:02 PM,07:11 AM,07:53 AM,06:07 PM,-14,-9,-3,-9,29,97,41,0.0,1034,-3,10,3,24,"gulfport,ms"
2018-01-01 09:00:00,2,-3,0.0,6.9,1,97,06:02 PM,07:11 AM,07:53 AM,06:07 PM,-14,-9,-2,-9,27,95,39,0.0,1035,-2,10,4,23,"gulfport,ms"
