date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-14,-9,-7,-9,8,12,54,0.0,1033,-7,10,54,4,"hailey,id"
2018-01-01 01:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-15,-9,-7,-9,9,17,53,0.0,1033,-7,10,153,4,"hailey,id"
2018-01-01 02:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-15,-9,-7,-9,9,21,52,0.0,1033,-7,10,252,4,"hailey,id"
2018-01-01 03:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-15,-9,-7,-9,10,26,50,0.0,1033,-7,10,352,5,"hailey,id"
2018-01-01 04:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-16,-8,-7,-8,7,34,50,0.0,1033,-7,10,330,3,"hailey,id"
2018-01-01 05:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-16,-8,-7,-8,4,42,49,0.0,1033,-7,10,309,2,"hailey,id"
2018-01-01 06:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-16,-7,-7,-7,2,50,48,0.0,1034,-7,10,288,1,"hailey,id"
2018-01-01 07:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-16,-8,-7,-8,4,50,48,0.0,1034,-7,10,299,2,"hailey,id"
2018-01-01 08:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-16,-9,-7,-9,6,49,48,0.0,1033,-7,10,310,3,"hailey,id"
2018-01-01 09:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-17,-9,-7,-9,8,49,48,0.0,1033,-7,10,321,4,"hailey,id"
2018-01-01 10:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-16,-8,-6,-8,8,41,44,0.0,1033,-6,10,293,4,"hailey,id"
2018-01-01 11:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-16,-6,-4,-6,8,33,40,0.0,1033,-4,10,264,5,"hailey,id"
2018-01-01 12:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-15,-5,-3,-5,8,26,36,0.0,1032,-3,10,236,5,"hailey,id"
2018-01-01 13:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-14,-4,-2,-4,8,21,37,0.0,1032,-2,10,235,6,"hailey,id"
2018-01-01 14:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-13,-3,-1,-3,8,17,37,0.0,1031,-1,10,234,6,"hailey,id"
2018-01-01 15:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-12,-2,0,-2,8,12,37,0.0,1030,0,10,233,7,"hailey,id"
2018-01-01 16:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-12,-3,-1,-3,7,11,46,0.0,1031,-1,10,227,5,"hailey,id"
2018-01-01 17:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-11,-3,-2,-3,6,9,54,0.0,1031,-2,10,221,4,"hailey,id"
2018-01-01 18:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-10,-4,-4,-4,5,8,63,0.0,1032,-4,10,216,3,"hailey,id"
2018-01-01 19:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-10,-5,-4,-5,6,7,63,0.0,1033,-4,10,150,3,"hailey,id"
2018-01-01 20:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-10,-5,-4,-5,7,6,64,0.0,1033,-4,10,83,3,"hailey,id"
2018-01-01 21:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-10,-6,-5,-6,8,5,64,0.0,1034,-5,10,17,4,"hailey,id"
2018-01-01 22:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-11,-7,-5,-7,9,5,63,0.0,1035,-5,10,25,4,"hailey,id"
2018-01-01 23:00:00,0,-7,0.0,8.7,2,97,06:14 PM,08:29 AM,09:11 AM,06:12 PM,-11,-7,-5,-7,9,5,61,0.0,1035,-5,10,33,4,"hailey,id"
