date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,7,7,10,7,48,100,77,0.0,1030,10,10,350,36,"harlingen,tx"
2018-01-01 01:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,5,5,9,5,49,100,76,0.0,1030,9,10,347,37,"harlingen,tx"
2018-01-01 02:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,4,3,8,3,50,100,75,0.0,1031,8,10,344,37,"harlingen,tx"
2018-01-01 03:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,2,1,6,1,51,100,73,0.1,1031,6,10,341,37,"harlingen,tx"
2018-01-01 04:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,1,0,6,0,52,100,72,0.0,1032,6,10,340,38,"harlingen,tx"
2018-01-01 05:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,0,-1,5,-1,52,100,71,0.0,1033,5,10,339,39,"harlingen,tx"
2018-01-01 06:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,-0,-2,4,-2,52,100,71,0.0,1034,4,10,338,40,"harlingen,tx"
2018-01-01 07:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,-0,-1,5,-1,50,100,71,0.0,1034,5,7,339,39,"harlingen,tx"
2018-01-01 08:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,0,-1,5,-1,49,100,72,0.1,1035,5,5,341,38,"harlingen,tx"
2018-01-01 09:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,1,-0,5,-0,47,100,73,0.1,1036,5,2,342,36,"harlingen,tx"
2018-01-01 10:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,-0,-1,4,-1,45,100,72,0.0,1036,4,5,342,36,"harlingen,tx"
2018-01-01 11:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,-1,-2,4,-2,44,100,71,0.0,1037,4,7,342,36,"harlingen,tx"
2018-01-01 12:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,-2,-3,3,-3,43,100,71,0.0,1037,3,10,342,36,"harlingen,tx"
2018-01-01 13:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,-1,-2,4,-2,42,100,70,0.0,1036,3,7,344,34,"harlingen,tx"
2018-01-01 14:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,-1,-2,4,-2,40,100,70,0.1,1036,4,5,346,33,"harlingen,tx"
2018-01-01 15:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,-0,-1,5,-1,39,100,70,0.1,1035,4,2,348,31,"harlingen,tx"
2018-01-01 16:00:00,10,3,0.0,5.2,2,97,06:46 PM,07:39 AM,08:18 AM,06:51 PM,-0,-1,4,-1,39,100,71,0.1,1035,4,5,347,30,"harlingen,tx"
