date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-1,-0,4,-0,31,100,70,0.0,1034,4,10,17,24,"houston,tx"
2018-01-01 01:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-1,-1,4,-1,32,93,69,0.0,1035,4,10,19,25,"houston,tx"
2018-01-01 02:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-2,-2,3,-2,33,87,68,0.0,1035,3,10,22,26,"houston,tx"
2018-01-01 03:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-3,-3,3,-3,34,80,67,0.0,1035,3,10,24,27,"houston,tx"
2018-01-01 04:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-4,-4,2,-4,33,61,65,0.0,1036,2,10,22,26,"houston,tx"
2018-01-01 05:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-5,-4,1,-4,32,43,63,0.0,1037,1,10,19,25,"houston,tx"
2018-01-01 06:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-6,-5,0,-5,31,24,61,0.0,1038,0,10,17,23,"houston,tx"
2018-01-01 07:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-8,-6,0,-6,32,26,56,0.0,1038,0,10,17,25,"houston,tx"
2018-01-01 08:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-9,-6,-0,-6,32,29,50,0.0,1039,-0,10,17,26,"houston,tx"
2018-01-01 09:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-11,-7,-0,-7,33,31,45,0.0,1039,-0,10,17,27,"houston,tx"
2018-01-01 10:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-11,-5,0,-5,30,45,43,0.0,1039,0,10,16,25,"houston,tx"
2018-01-01 11:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-10,-4,1,-4,27,60,42,0.0,1039,1,10,15,23,"houston,tx"
2018-01-01 12:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-10,-3,2,-3,24,75,40,0.0,1039,2,10,15,21,"houston,tx"
2018-01-01 13:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-10,-2,3,-2,24,67,40,0.0,1038,3,10,17,21,"houston,tx"
2018-01-01 14:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-9,-1,3,-1,23,58,39,0.0,1038,3,10,20,20,"houston,tx"
2018-01-01 15:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-9,-1,4,-1,23,50,39,0.0,1037,4,10,22,20,"houston,tx"
2018-01-01 16:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-9,-1,3,-1,23,43,39,0.0,1037,3,10,19,19,"houston,tx"
2018-01-01 17:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-9,-1,3,-1,22,37,39,0.0,1037,3,10,16,17,"houston,tx"
2018-01-01 18:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-10,-1,3,-1,22,30,40,0.0,1036,3,10,13,16,"houston,tx"
2018-01-01 19:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-10,-2,2,-2,23,26,41,0.0,1037,2,10,19,17,"houston,tx"
2018-01-01 20:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-10,-3,2,-3,24,23,42,0.0,1037,2,10,26,17,"houston,tx"
2018-01-01 21:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-10,-4,1,-4,26,20,43,0.0,1037,1,10,32,18,"houston,tx"
2018-01-01 22:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-10,-4,1,-4,25,20,43,0.0,1037,1,10,34,18,"houston,tx"
2018-01-01 23:00:00,4,-0,0.0,10.0,1,97,06:29 PM,07:36 AM,08:17 AM,06:33 PM,-11,-5,-0,-5,24,21,44,0.0,1037,-0,10,35,18,"houston,tx"
2018-01-02 00:00:00,1,-1,0.0,8.3,2,100,07:35 PM,08:39 AM,08:17 AM,06:34 PM,-11,-6,-1,-6,23,22,44,0.0,1037,-1,10,37,17,"houston,tx"
2018-01-02 01:00:00,1,-1,0.0,8.3,2,100,07:35 PM,08:39 AM,08:17 AM,06:34 PM,-12,-6,-1,-6,24,20,43,0.0,1037,-1,10,41,18,"houston,tx"
2018-01-02 02:00:00,1,-1,0.0,8.3,2,100,07:35 PM,08:39 AM,08:17 AM,06:34 PM,-12,-6,-1,-6,24,18,43,0.0,1037,-1,10,45,18,"houston,tx"
