date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-7,-13,0.0,8.2,1,97,06:15 PM,08:02 AM,08:47 AM,06:20 PM,-13,-17,-12,-17,13,100,86,0.0,1036,-12,10,354,9,"huntington,wv"
2018-01-01 01:00:00,-7,-13,0.0,8.2,1,97,06:15 PM,08:02 AM,08:47 AM,06:20 PM,-14,-17,-12,-17,12,88,86,0.0,1037,-12,10,348,8,"huntington,wv"
2018-01-01 02:00:00,-7,-13,0.0,8.2,1,97,06:15 PM,08:02 AM,08:47 AM,06:20 PM,-14,-16,-12,-16,10,76,87,0.0,1037,-12,10,342,7,"huntington,wv"
2018-01-01 03:00:00,-7,-13,0.0,8.2,1,97,06:15 PM,08:02 AM,08:47 AM,06:20 PM,-14,-16,-13,-16,9,64,88,0.0,1037,-13,10,337,6,"huntington,wv"
2018-01-01 04:00:00,-7,-13,0.0,8.2,1,97,06:15 PM,08:02 AM,08:47 AM,06:20 PM,-14,-16,-13,-16,9,61,89,0.0,1038,-13,10,327,6,"huntington,wv"
2018-01-01 05:00:00,-7,-13,0.0,8.2,1,97,06:15 PM,08:02 AM,08:47 AM,06:20 PM,-14,-16,-13,-16,8,58,90,0.0,1038,-13,10,318,5,"huntington,wv"
2018-01-01 06:00:00,-7,-13,0.0,8.2,1,97,06:15 PM,08:02 AM,08:47 AM,06:20 PM,-14,-16,-13,-16,8,55,91,0.0,1038,-13,10,309,5,"huntington,wv"
2018-01-01 07:00:00,-7,-13,0.0,8.2,1,97,06:15 PM,08:02 AM,08:47 AM,06:20 PM,-15,-16,-12,-16,9,57,84,0.0,1039,-13,10,300,6,"huntington,wv"
2018-01-01 08:00:00,-7,-13,0.0,8.2,1,97,06:15 PM,08:02 AM,08:47 AM,06:20 PM,-15,-16,-12,-16,10,59,78,0.0,1039,-12,10,292,8,"huntington,wv"
2018-01-01 09:00:00,-7,-13,0.0,8.2,1,97,06:15 PM,08:02 AM,08:47 AM,06:20 PM,-15,-16,-11,-16,11,61,71,0.0,1039,-11,10,284,9,"huntington,wv"
