date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-24,-16,-24,20,97,80,0.0,1031,-16,10,307,14,"ithaca,ny"
2018-01-01 01:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-24,-16,-24,20,96,80,0.0,1031,-16,10,307,14,"ithaca,ny"
2018-01-01 02:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-24,-16,-24,20,95,80,0.0,1031,-16,10,308,14,"ithaca,ny"
2018-01-01 03:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-24,-16,-24,20,94,80,0.0,1031,-16,10,308,14,"ithaca,ny"
2018-01-01 04:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-24,-16,-24,20,93,80,0.0,1031,-16,10,305,14,"ithaca,ny"
2018-01-01 05:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-24,-16,-24,21,92,81,0.0,1032,-16,10,303,15,"ithaca,ny"
2018-01-01 06:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-25,-17,-25,21,91,81,0.0,1032,-17,10,300,15,"ithaca,ny"
2018-01-01 07:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-23,-16,-23,18,73,76,0.0,1032,-16,10,302,13,"ithaca,ny"
2018-01-01 08:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-22,-15,-22,16,56,71,0.0,1032,-15,10,305,12,"ithaca,ny"
2018-01-01 09:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-21,-14,-21,13,38,66,0.0,1032,-14,10,307,11,"ithaca,ny"
2018-01-01 10:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-20,-13,-20,14,59,62,0.0,1031,-13,10,297,12,"ithaca,ny"
2018-01-01 11:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-19,-12,-19,15,79,58,0.0,1030,-12,10,288,13,"ithaca,ny"
2018-01-01 12:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-19,-18,-11,-18,17,100,54,0.0,1029,-11,10,278,14,"ithaca,ny"
2018-01-01 13:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-18,-18,-11,-18,18,99,56,0.0,1029,-11,10,280,15,"ithaca,ny"
2018-01-01 14:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-17,-18,-11,-18,19,98,59,0.0,1029,-11,10,282,15,"ithaca,ny"
2018-01-01 15:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-17,-18,-11,-18,20,96,61,0.0,1029,-11,10,285,16,"ithaca,ny"
2018-01-01 16:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-17,-19,-11,-19,23,98,64,0.0,1029,-11,10,279,17,"ithaca,ny"
2018-01-01 17:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-17,-20,-12,-20,26,99,66,0.0,1029,-12,10,274,18,"ithaca,ny"
2018-01-01 18:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-17,-21,-13,-21,29,100,69,0.0,1029,-13,10,269,19,"ithaca,ny"
2018-01-01 19:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-17,-21,-13,-21,29,100,71,0.0,1029,-13,10,274,19,"ithaca,ny"
2018-01-01 20:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-17,-21,-13,-21,28,100,72,0.0,1029,-13,10,279,19,"ithaca,ny"
2018-01-01 21:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-16,-21,-12,-21,28,100,73,0.0,1029,-12,10,285,19,"ithaca,ny"
2018-01-01 22:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-16,-21,-12,-21,28,100,73,0.0,1030,-12,10,291,19,"ithaca,ny"
2018-01-01 23:00:00,-11,-17,0.2,5.2,1,97,05:40 PM,07:48 AM,08:35 AM,05:44 PM,-16,-21,-13,-21,27,100,73,0.0,1030,-13,10,297,19,"ithaca,ny"
2018-01-02 00:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-16,-21,-13,-21,26,100,73,0.0,1030,-13,10,303,18,"ithaca,ny"
2018-01-02 01:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-16,-20,-13,-20,24,100,75,0.0,1030,-13,8,302,17,"ithaca,ny"
2018-01-02 02:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-16,-20,-13,-20,22,100,77,0.0,1031,-13,7,302,15,"ithaca,ny"
2018-01-02 03:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-15,-19,-13,-19,19,100,80,0.1,1031,-13,5,301,13,"ithaca,ny"
2018-01-02 04:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-15,-19,-12,-19,18,100,80,0.0,1031,-12,7,291,12,"ithaca,ny"
2018-01-02 05:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-15,-18,-12,-18,17,100,81,0.0,1031,-12,8,281,11,"ithaca,ny"
2018-01-02 06:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-14,-17,-12,-17,15,100,82,0.0,1030,-12,10,271,10,"ithaca,ny"
2018-01-02 07:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-14,-17,-11,-17,17,89,77,0.0,1030,-11,10,269,12,"ithaca,ny"
2018-01-02 08:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-15,-17,-11,-17,19,79,72,0.0,1030,-10,10,267,15,"ithaca,ny"
2018-01-02 09:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-15,-17,-10,-17,21,68,67,0.0,1030,-10,10,266,17,"ithaca,ny"
2018-01-02 10:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-15,-16,-9,-16,21,61,65,0.0,1029,-9,10,260,18,"ithaca,ny"
2018-01-02 11:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-15,-16,-9,-16,21,54,63,0.0,1029,-9,10,254,18,"ithaca,ny"
2018-01-02 12:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-14,-15,-8,-15,22,46,61,0.0,1028,-8,10,248,19,"ithaca,ny"
2018-01-02 13:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-14,-15,-8,-15,23,56,61,0.0,1028,-8,10,247,19,"ithaca,ny"
2018-01-02 14:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-15,-16,-8,-16,25,66,61,0.0,1027,-8,10,247,19,"ithaca,ny"
2018-01-02 15:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-15,-16,-9,-16,26,76,61,0.0,1027,-8,10,247,19,"ithaca,ny"
2018-01-02 16:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-15,-16,-9,-16,23,76,63,0.0,1027,-9,10,248,16,"ithaca,ny"
2018-01-02 17:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-15,-16,-10,-16,19,77,65,0.0,1027,-10,10,250,13,"ithaca,ny"
2018-01-02 18:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-16,-16,-11,-16,16,78,68,0.0,1027,-11,10,251,9,"ithaca,ny"
2018-01-02 19:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-16,-17,-11,-17,16,63,68,0.0,1027,-11,10,247,10,"ithaca,ny"
2018-01-02 20:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-16,-17,-12,-17,17,48,67,0.0,1027,-12,10,242,10,"ithaca,ny"
2018-01-02 21:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-17,-18,-12,-18,17,33,67,0.0,1027,-12,10,238,10,"ithaca,ny"
2018-01-02 22:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-17,-18,-12,-18,16,33,68,0.0,1027,-12,10,230,9,"ithaca,ny"
2018-01-02 23:00:00,-8,-13,0.1,5.2,1,100,06:46 PM,08:51 AM,08:35 AM,05:45 PM,-17,-18,-12,-18,15,32,69,0.0,1027,-12,10,223,9,"ithaca,ny"
2018-01-03 00:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-17,-18,-13,-18,14,32,71,0.0,1027,-13,10,216,8,"ithaca,ny"
2018-01-03 01:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-17,-18,-13,-18,15,36,71,0.0,1027,-13,10,212,8,"ithaca,ny"
2018-01-03 02:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-17,-18,-13,-18,15,39,72,0.0,1027,-13,10,207,9,"ithaca,ny"
2018-01-03 03:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-17,-19,-13,-19,15,43,73,0.0,1027,-13,10,202,9,"ithaca,ny"
2018-01-03 04:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-18,-19,-13,-19,16,30,71,0.0,1027,-13,10,205,9,"ithaca,ny"
2018-01-03 05:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-18,-19,-14,-19,17,18,69,0.0,1027,-14,10,208,10,"ithaca,ny"
2018-01-03 06:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-18,-20,-14,-20,18,5,67,0.0,1026,-14,10,211,11,"ithaca,ny"
2018-01-03 07:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-18,-18,-13,-18,17,3,62,0.0,1026,-12,10,209,11,"ithaca,ny"
2018-01-03 08:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-18,-17,-11,-17,15,2,57,0.0,1026,-11,10,207,11,"ithaca,ny"
2018-01-03 09:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-18,-16,-10,-16,14,0,51,0.0,1025,-10,10,204,10,"ithaca,ny"
2018-01-03 10:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-18,-14,-9,-14,14,0,47,0.0,1024,-9,10,204,11,"ithaca,ny"
2018-01-03 11:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-18,-13,-8,-13,14,0,43,0.0,1023,-8,10,204,12,"ithaca,ny"
2018-01-03 12:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-18,-12,-6,-12,15,0,39,0.0,1022,-6,10,204,13,"ithaca,ny"
2018-01-03 13:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-17,-12,-6,-12,15,10,42,0.0,1021,-6,10,196,12,"ithaca,ny"
2018-01-03 14:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-17,-11,-7,-11,15,20,44,0.0,1020,-6,10,189,11,"ithaca,ny"
2018-01-03 15:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-16,-11,-7,-11,16,30,46,0.0,1020,-7,10,181,10,"ithaca,ny"
2018-01-03 16:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-16,-12,-7,-12,16,32,51,0.0,1019,-7,10,182,10,"ithaca,ny"
2018-01-03 17:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-16,-13,-8,-13,17,33,55,0.0,1019,-8,10,182,10,"ithaca,ny"
2018-01-03 18:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-15,-14,-9,-14,18,34,60,0.0,1019,-9,10,183,10,"ithaca,ny"
2018-01-03 19:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-15,-13,-9,-13,15,40,63,0.0,1019,-9,10,181,8,"ithaca,ny"
2018-01-03 20:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-14,-13,-9,-13,12,46,67,0.0,1019,-9,10,178,7,"ithaca,ny"
2018-01-03 21:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-14,-12,-9,-12,9,52,71,0.0,1019,-9,10,176,5,"ithaca,ny"
2018-01-03 22:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-13,-11,-9,-11,8,68,72,0.0,1018,-9,10,195,4,"ithaca,ny"
2018-01-03 23:00:00,-6,-14,0.0,8.7,2,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-13,-11,-9,-11,7,84,73,0.0,1018,-9,10,215,4,"ithaca,ny"
2018-01-04 00:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-12,-10,-8,-10,6,100,74,0.0,1017,-8,10,234,3,"ithaca,ny"
2018-01-04 01:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-12,-10,-8,-10,7,94,75,0.0,1016,-8,10,265,4,"ithaca,ny"
2018-01-04 02:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-12,-11,-9,-11,8,88,76,0.0,1014,-9,10,296,5,"ithaca,ny"
2018-01-04 03:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-12,-12,-9,-12,8,82,77,0.0,1013,-9,10,327,5,"ithaca,ny"
2018-01-04 04:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-12,-13,-9,-13,12,88,79,0.0,1013,-9,10,332,8,"ithaca,ny"
2018-01-04 05:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-12,-14,-9,-14,15,94,82,0.0,1012,-9,10,338,10,"ithaca,ny"
2018-01-04 06:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-11,-15,-9,-15,18,100,84,0.0,1011,-9,10,344,13,"ithaca,ny"
2018-01-04 07:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-11,-16,-9,-16,20,100,84,0.0,1010,-9,7,342,15,"ithaca,ny"
2018-01-04 08:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-11,-16,-9,-16,22,100,83,0.2,1009,-9,5,339,17,"ithaca,ny"
2018-01-04 09:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-11,-16,-9,-16,24,100,82,0.2,1008,-9,2,337,18,"ithaca,ny"
2018-01-04 10:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-11,-16,-8,-16,27,100,80,0.1,1007,-8,5,333,21,"ithaca,ny"
2018-01-04 11:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-11,-16,-8,-16,29,100,78,0.0,1006,-8,7,329,23,"ithaca,ny"
2018-01-04 12:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-11,-15,-7,-15,32,100,76,0.0,1005,-7,10,325,26,"ithaca,ny"
2018-01-04 13:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-12,-17,-8,-17,33,100,75,0.0,1005,-8,7,321,26,"ithaca,ny"
2018-01-04 14:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-13,-18,-9,-18,35,100,73,0.1,1005,-9,3,318,27,"ithaca,ny"
2018-01-04 15:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-14,-19,-10,-19,36,100,72,0.1,1004,-10,0,315,28,"ithaca,ny"
2018-01-04 16:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-14,-19,-10,-19,34,100,72,0.1,1005,-10,3,308,26,"ithaca,ny"
2018-01-04 17:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-15,-20,-11,-20,32,100,72,0.0,1006,-11,7,302,24,"ithaca,ny"
2018-01-04 18:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-15,-20,-11,-20,30,100,72,0.0,1006,-11,10,295,22,"ithaca,ny"
2018-01-04 19:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-16,-21,-12,-21,33,100,71,0.0,1007,-12,7,299,24,"ithaca,ny"
2018-01-04 20:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-17,-23,-13,-23,36,100,71,0.0,1007,-13,3,302,26,"ithaca,ny"
2018-01-04 21:00:00,-7,-14,0.5,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-18,-24,-14,-24,40,100,71,0.0,1008,-14,0,305,28,"ithaca,ny"
