date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,8,8,10,8,20,100,90,0.0,1022,10,10,2,15,"jacksonville,fl"
2018-01-01 01:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,8,8,10,8,22,100,90,0.0,1022,10,10,3,16,"jacksonville,fl"
2018-01-01 02:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,8,8,10,8,24,100,91,0.7,1022,10,9,4,17,"jacksonville,fl"
2018-01-01 03:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,9,7,10,7,25,100,91,0.9,1022,10,9,5,19,"jacksonville,fl"
2018-01-01 04:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,8,6,9,6,28,100,90,0.5,1022,9,9,7,22,"jacksonville,fl"
2018-01-01 05:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,7,5,8,5,31,100,89,0.0,1023,8,10,9,25,"jacksonville,fl"
2018-01-01 06:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,6,4,8,4,34,100,88,0.0,1023,8,10,12,28,"jacksonville,fl"
2018-01-01 07:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,5,3,7,3,36,100,88,0.0,1024,7,10,12,29,"jacksonville,fl"
2018-01-01 08:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,5,2,7,2,37,100,89,0.4,1024,7,9,12,30,"jacksonville,fl"
2018-01-01 09:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,5,2,6,2,38,100,90,0.5,1025,6,9,12,30,"jacksonville,fl"
2018-01-01 10:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,4,1,6,1,38,100,88,0.3,1025,6,9,12,31,"jacksonville,fl"
2018-01-01 11:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,3,0,5,0,39,100,86,0.0,1025,5,10,13,31,"jacksonville,fl"
2018-01-01 12:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,2,-0,5,-0,39,100,83,0.0,1026,5,10,13,32,"jacksonville,fl"
2018-01-01 13:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,2,-0,5,-0,39,100,80,0.0,1026,5,7,12,32,"jacksonville,fl"
2018-01-01 14:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,1,-0,5,-0,40,100,77,0.1,1026,5,5,12,32,"jacksonville,fl"
2018-01-01 15:00:00,10,4,0.0,5.1,2,97,06:30 PM,07:40 AM,08:23 AM,06:37 PM,1,0,5,0,40,100,73,0.1,1026,5,2,11,32,"jacksonville,fl"
