date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-15,-9,-3,-9,24,81,39,0.0,1028,-3,10,18,18,"jacksonville,nc"
2018-01-01 01:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-15,-10,-4,-10,26,63,40,0.0,1028,-4,10,16,20,"jacksonville,nc"
2018-01-01 02:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-15,-11,-4,-11,29,45,42,0.0,1028,-4,10,13,22,"jacksonville,nc"
2018-01-01 03:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-16,-12,-5,-12,31,27,43,0.0,1028,-5,10,10,23,"jacksonville,nc"
2018-01-01 04:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-16,-12,-5,-12,30,19,42,0.0,1029,-5,10,12,22,"jacksonville,nc"
2018-01-01 05:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-17,-12,-5,-12,28,11,41,0.0,1029,-5,10,14,21,"jacksonville,nc"
2018-01-01 06:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-17,-13,-6,-13,27,3,39,0.0,1030,-6,10,16,21,"jacksonville,nc"
2018-01-01 07:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-17,-12,-5,-12,28,13,37,0.0,1030,-5,10,14,23,"jacksonville,nc"
2018-01-01 08:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-17,-11,-4,-11,29,24,36,0.0,1031,-4,10,12,25,"jacksonville,nc"
2018-01-01 09:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-17,-11,-4,-11,31,35,34,0.0,1031,-4,10,10,27,"jacksonville,nc"
2018-01-01 10:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-17,-10,-3,-10,28,41,32,0.0,1031,-3,10,10,25,"jacksonville,nc"
2018-01-01 11:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-17,-8,-2,-8,26,47,30,0.0,1031,-2,10,10,23,"jacksonville,nc"
2018-01-01 12:00:00,-1,-6,0.0,9.9,1,97,06:03 PM,07:32 AM,08:17 AM,06:10 PM,-17,-7,-1,-7,24,53,28,0.0,1031,-1,10,10,21,"jacksonville,nc"
