date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-28,-37,-27,-37,27,65,94,0.0,1050,-27,10,292,14,"jamestown,nd"
2018-01-01 01:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-28,-37,-27,-37,27,62,94,0.0,1050,-27,10,292,14,"jamestown,nd"
2018-01-01 02:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-28,-37,-27,-37,27,58,94,0.0,1050,-27,10,292,13,"jamestown,nd"
2018-01-01 03:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-28,-37,-27,-37,26,55,94,0.0,1050,-27,10,291,13,"jamestown,nd"
2018-01-01 04:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-28,-36,-27,-36,24,52,94,0.0,1050,-27,7,294,12,"jamestown,nd"
2018-01-01 05:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-27,-36,-27,-36,22,50,95,0.0,1050,-27,5,298,11,"jamestown,nd"
2018-01-01 06:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-27,-35,-27,-35,20,48,95,0.0,1049,-27,2,301,10,"jamestown,nd"
2018-01-01 07:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-27,-35,-27,-35,20,47,95,0.0,1049,-27,2,295,10,"jamestown,nd"
2018-01-01 08:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-27,-34,-26,-34,20,45,94,0.0,1049,-26,2,289,9,"jamestown,nd"
2018-01-01 09:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-27,-34,-26,-34,20,43,94,0.0,1049,-26,2,283,9,"jamestown,nd"
2018-01-01 10:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-25,-32,-24,-32,17,39,93,0.0,1048,-24,5,277,9,"jamestown,nd"
2018-01-01 11:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-24,-30,-23,-30,15,35,91,0.0,1048,-23,7,272,9,"jamestown,nd"
2018-01-01 12:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-22,-28,-21,-28,12,31,89,0.0,1048,-21,10,267,9,"jamestown,nd"
2018-01-01 13:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-22,-28,-21,-28,13,26,89,0.0,1047,-21,10,261,9,"jamestown,nd"
2018-01-01 14:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-21,-27,-20,-27,13,21,89,0.0,1046,-20,10,255,10,"jamestown,nd"
2018-01-01 15:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-21,-27,-20,-27,14,15,89,0.0,1045,-20,10,248,10,"jamestown,nd"
2018-01-01 16:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-22,-28,-21,-28,17,11,88,0.0,1045,-21,10,250,10,"jamestown,nd"
2018-01-01 17:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-23,-30,-22,-30,20,6,88,0.0,1045,-22,10,252,11,"jamestown,nd"
2018-01-01 18:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-25,-31,-23,-31,23,1,87,0.0,1045,-23,10,254,11,"jamestown,nd"
2018-01-01 19:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-25,-32,-23,-32,25,6,85,0.0,1044,-23,10,250,12,"jamestown,nd"
2018-01-01 20:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-25,-32,-23,-32,27,11,84,0.0,1044,-23,10,246,13,"jamestown,nd"
2018-01-01 21:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-25,-33,-23,-33,29,16,82,0.0,1043,-23,10,242,14,"jamestown,nd"
2018-01-01 22:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-25,-33,-23,-33,33,22,81,0.0,1042,-23,10,241,16,"jamestown,nd"
2018-01-01 23:00:00,-20,-27,0.0,5.8,1,97,05:58 PM,08:35 AM,09:21 AM,05:57 PM,-25,-33,-22,-33,36,27,80,0.0,1041,-22,10,240,18,"jamestown,nd"
2018-01-02 00:00:00,-7,-22,0.0,3.9,2,100,07:05 PM,09:38 AM,09:21 AM,05:58 PM,-25,-33,-22,-33,39,33,78,0.0,1040,-22,10,239,20,"jamestown,nd"
2018-01-02 01:00:00,-7,-22,0.0,3.9,2,100,07:05 PM,09:38 AM,09:21 AM,05:58 PM,-24,-32,-21,-32,40,25,81,0.0,1039,-21,10,239,21,"jamestown,nd"
2018-01-02 02:00:00,-7,-22,0.0,3.9,2,100,07:05 PM,09:38 AM,09:21 AM,05:58 PM,-23,-32,-21,-32,41,16,84,0.0,1037,-21,10,240,22,"jamestown,nd"
2018-01-02 03:00:00,-7,-22,0.0,3.9,2,100,07:05 PM,09:38 AM,09:21 AM,05:58 PM,-22,-31,-20,-31,42,8,86,0.0,1036,-20,10,241,23,"jamestown,nd"
2018-01-02 04:00:00,-7,-22,0.0,3.9,2,100,07:05 PM,09:38 AM,09:21 AM,05:58 PM,-21,-31,-20,-31,44,9,86,0.0,1034,-20,10,244,25,"jamestown,nd"
2018-01-02 05:00:00,-7,-22,0.0,3.9,2,100,07:05 PM,09:38 AM,09:21 AM,05:58 PM,-21,-31,-19,-31,47,9,85,0.0,1032,-19,10,248,26,"jamestown,nd"
2018-01-02 06:00:00,-7,-22,0.0,3.9,2,100,07:05 PM,09:38 AM,09:21 AM,05:58 PM,-21,-31,-19,-31,50,9,85,0.0,1030,-19,10,251,28,"jamestown,nd"
2018-01-02 07:00:00,-7,-22,0.0,3.9,2,100,07:05 PM,09:38 AM,09:21 AM,05:58 PM,-20,-29,-18,-29,50,10,82,0.0,1029,-18,10,251,28,"jamestown,nd"
2018-01-02 08:00:00,-7,-22,0.0,3.9,2,100,07:05 PM,09:38 AM,09:21 AM,05:58 PM,-19,-28,-16,-28,50,10,79,0.0,1027,-16,10,252,28,"jamestown,nd"
2018-01-02 09:00:00,-7,-22,0.0,3.9,2,100,07:05 PM,09:38 AM,09:21 AM,05:58 PM,-18,-26,-15,-26,49,10,76,0.0,1025,-15,10,252,29,"jamestown,nd"
2018-01-02 10:00:00,-7,-22,0.0,3.9,2,100,07:05 PM,09:38 AM,09:21 AM,05:58 PM,-17,-23,-13,-23,51,9,74,0.0,1023,-13,10,262,31,"jamestown,nd"
2018-01-02 11:00:00,-7,-22,0.0,3.9,2,100,07:05 PM,09:38 AM,09:21 AM,05:58 PM,-15,-21,-11,-21,53,7,71,0.0,1021,-11,10,273,34,"jamestown,nd"
