date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,7,4,0.0,2.0,2,97,05:30 PM,08:31 AM,09:38 AM,05:46 PM,4,2,7,2,43,71,82,0.0,1003,7,10,233,28,"johnsoncity,ny"
2018-01-01 01:00:00,7,4,0.0,2.0,2,97,05:30 PM,08:31 AM,09:38 AM,05:46 PM,3,2,6,2,46,81,82,0.0,1003,6,10,234,30,"johnsoncity,ny"
2018-01-01 02:00:00,7,4,0.0,2.0,2,97,05:30 PM,08:31 AM,09:38 AM,05:46 PM,3,1,6,1,48,90,81,0.1,1004,6,10,234,32,"johnsoncity,ny"
2018-01-01 03:00:00,7,4,0.0,2.0,2,97,05:30 PM,08:31 AM,09:38 AM,05:46 PM,3,1,6,1,50,100,81,0.1,1004,6,10,235,34,"johnsoncity,ny"
2018-01-01 04:00:00,7,4,0.0,2.0,2,97,05:30 PM,08:31 AM,09:38 AM,05:46 PM,3,0,5,0,46,96,82,0.1,1005,5,10,235,31,"johnsoncity,ny"
2018-01-01 05:00:00,7,4,0.0,2.0,2,97,05:30 PM,08:31 AM,09:38 AM,05:46 PM,2,0,5,0,42,92,82,0.0,1005,5,10,234,29,"johnsoncity,ny"
2018-01-01 06:00:00,7,4,0.0,2.0,2,97,05:30 PM,08:31 AM,09:38 AM,05:46 PM,2,0,5,0,38,88,83,0.0,1006,5,10,234,26,"johnsoncity,ny"
2018-01-01 07:00:00,7,4,0.0,2.0,2,97,05:30 PM,08:31 AM,09:38 AM,05:46 PM,2,-0,5,-0,40,88,83,0.0,1006,5,10,229,27,"johnsoncity,ny"
2018-01-01 08:00:00,7,4,0.0,2.0,2,97,05:30 PM,08:31 AM,09:38 AM,05:46 PM,2,-0,5,-0,41,88,84,0.0,1006,5,10,223,27,"johnsoncity,ny"
2018-01-01 09:00:00,7,4,0.0,2.0,2,97,05:30 PM,08:31 AM,09:38 AM,05:46 PM,2,-1,4,-1,42,87,84,0.0,1006,4,10,218,28,"johnsoncity,ny"
2018-01-01 10:00:00,7,4,0.0,2.0,2,97,05:30 PM,08:31 AM,09:38 AM,05:46 PM,2,-0,5,-0,40,92,84,0.0,1004,5,10,209,27,"johnsoncity,ny"
