date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-21,-24,-14,-24,30,3,55,0.0,1046,-14,10,25,22,"joplin,mo"
2018-01-01 01:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-21,-24,-15,-24,29,4,57,0.0,1047,-15,10,22,21,"joplin,mo"
2018-01-01 02:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-21,-24,-15,-24,27,5,59,0.0,1047,-15,10,20,20,"joplin,mo"
2018-01-01 03:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-21,-24,-15,-24,26,6,60,0.0,1047,-15,10,17,19,"joplin,mo"
2018-01-01 04:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-22,-25,-16,-25,25,5,60,0.0,1048,-16,10,17,19,"joplin,mo"
2018-01-01 05:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-23,-26,-17,-26,25,4,59,0.0,1048,-17,10,16,18,"joplin,mo"
2018-01-01 06:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-23,-27,-17,-27,24,2,59,0.0,1049,-17,10,16,18,"joplin,mo"
2018-01-01 07:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-24,-26,-17,-26,23,2,56,0.0,1049,-17,10,19,17,"joplin,mo"
2018-01-01 08:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-24,-26,-17,-26,22,2,54,0.0,1049,-17,10,22,16,"joplin,mo"
2018-01-01 09:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-25,-25,-17,-25,21,1,51,0.0,1049,-17,10,25,15,"joplin,mo"
2018-01-01 10:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-25,-23,-16,-23,19,3,46,0.0,1049,-16,10,25,15,"joplin,mo"
2018-01-01 11:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-25,-22,-14,-22,17,5,41,0.0,1049,-14,10,25,14,"joplin,mo"
2018-01-01 12:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-25,-20,-13,-20,15,7,36,0.0,1048,-13,10,25,13,"joplin,mo"
2018-01-01 13:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-25,-18,-12,-18,14,8,33,0.0,1047,-12,10,24,12,"joplin,mo"
2018-01-01 14:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-25,-17,-11,-17,13,10,31,0.0,1046,-11,10,24,11,"joplin,mo"
2018-01-01 15:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-25,-16,-10,-16,12,11,28,0.0,1045,-10,10,23,10,"joplin,mo"
2018-01-01 16:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-25,-17,-11,-17,14,12,30,0.0,1045,-11,10,30,11,"joplin,mo"
2018-01-01 17:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-25,-18,-12,-18,17,13,33,0.0,1045,-12,10,38,12,"joplin,mo"
2018-01-01 18:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-24,-19,-12,-19,19,14,35,0.0,1045,-12,10,46,13,"joplin,mo"
2018-01-01 19:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-25,-19,-12,-19,18,17,35,0.0,1045,-12,10,52,12,"joplin,mo"
2018-01-01 20:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-25,-19,-13,-19,17,20,35,0.0,1045,-13,10,58,11,"joplin,mo"
2018-01-01 21:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-25,-19,-13,-19,15,22,35,0.0,1045,-13,10,65,10,"joplin,mo"
2018-01-01 22:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-26,-19,-13,-19,15,31,34,0.0,1045,-13,10,61,10,"joplin,mo"
2018-01-01 23:00:00,-10,-17,0.0,9.8,2,97,06:09 PM,07:49 AM,08:31 AM,06:12 PM,-26,-19,-13,-19,14,39,33,0.0,1045,-13,10,58,10,"joplin,mo"
2018-01-02 00:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-19,-13,-19,14,47,31,0.0,1045,-13,10,55,9,"joplin,mo"
2018-01-02 01:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-19,-13,-19,14,47,31,0.0,1044,-13,10,59,9,"joplin,mo"
2018-01-02 02:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-19,-13,-19,14,46,30,0.0,1044,-13,10,64,10,"joplin,mo"
2018-01-02 03:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-19,-13,-19,14,46,30,0.0,1044,-13,10,69,10,"joplin,mo"
2018-01-02 04:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-19,-13,-19,13,62,30,0.0,1044,-13,10,68,9,"joplin,mo"
2018-01-02 05:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-19,-14,-19,12,78,31,0.0,1044,-14,10,68,8,"joplin,mo"
2018-01-02 06:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-19,-14,-19,11,94,32,0.0,1044,-14,10,67,8,"joplin,mo"
2018-01-02 07:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-18,-13,-18,11,79,30,0.0,1043,-13,10,83,7,"joplin,mo"
2018-01-02 08:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-17,-13,-17,10,64,29,0.0,1043,-13,10,99,7,"joplin,mo"
2018-01-02 09:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-16,-12,-16,9,48,28,0.0,1043,-12,10,115,6,"joplin,mo"
2018-01-02 10:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-15,-11,-15,10,49,25,0.0,1042,-11,10,156,7,"joplin,mo"
2018-01-02 11:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-13,-9,-13,10,50,22,0.0,1041,-9,10,198,8,"joplin,mo"
2018-01-02 12:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-27,-12,-8,-12,11,50,20,0.0,1040,-8,10,239,9,"joplin,mo"
2018-01-02 13:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-26,-12,-7,-12,12,48,20,0.0,1039,-7,10,242,10,"joplin,mo"
2018-01-02 14:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-26,-11,-6,-11,13,46,19,0.0,1037,-6,10,245,11,"joplin,mo"
2018-01-02 15:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-25,-10,-6,-10,14,44,19,0.0,1036,-6,10,248,12,"joplin,mo"
2018-01-02 16:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-23,-11,-6,-11,15,44,26,0.0,1035,-6,10,246,11,"joplin,mo"
2018-01-02 17:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-21,-12,-7,-12,15,44,33,0.0,1035,-7,10,245,10,"joplin,mo"
2018-01-02 18:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-19,-13,-8,-13,16,44,40,0.0,1034,-8,10,243,10,"joplin,mo"
2018-01-02 19:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-18,-13,-8,-13,19,34,43,0.0,1033,-8,10,235,12,"joplin,mo"
2018-01-02 20:00:00,-6,-14,0.0,9.8,2,100,07:16 PM,08:52 AM,08:32 AM,06:13 PM,-18,-14,-8,-14,22,24,47,0.0,1033,-8,10,228,13,"joplin,mo"
