date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-22,-18,-10,-18,30,70,37,0.0,1045,-10,10,22,22,"lawton,ok"
2018-01-01 01:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-22,-19,-10,-19,31,58,39,0.0,1045,-10,10,22,22,"lawton,ok"
2018-01-01 02:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-22,-19,-11,-19,31,45,40,0.0,1046,-11,10,21,22,"lawton,ok"
2018-01-01 03:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-22,-20,-11,-20,31,33,41,0.0,1046,-11,10,21,22,"lawton,ok"
2018-01-01 04:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-21,-20,-12,-20,30,27,44,0.0,1046,-12,10,22,21,"lawton,ok"
2018-01-01 05:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-21,-21,-12,-21,30,22,46,0.0,1047,-12,10,22,21,"lawton,ok"
2018-01-01 06:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-21,-21,-12,-21,29,16,49,0.0,1048,-12,10,23,21,"lawton,ok"
2018-01-01 07:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-21,-21,-12,-21,28,12,48,0.0,1048,-12,10,25,20,"lawton,ok"
2018-01-01 08:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-21,-21,-12,-21,27,7,47,0.0,1048,-12,10,28,19,"lawton,ok"
2018-01-01 09:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-22,-21,-12,-21,25,3,46,0.0,1047,-12,10,30,19,"lawton,ok"
2018-01-01 10:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-21,-18,-11,-18,23,3,42,0.0,1047,-11,10,38,18,"lawton,ok"
2018-01-01 11:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-21,-16,-9,-16,20,3,37,0.0,1047,-9,10,46,16,"lawton,ok"
2018-01-01 12:00:00,-5,-12,0.0,9.9,1,97,06:31 PM,07:59 AM,08:40 AM,06:34 PM,-21,-14,-8,-14,17,2,33,0.0,1047,-8,10,54,15,"lawton,ok"
