date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-14,-18,-11,-18,22,100,78,0.0,1037,-11,10,360,17,"lexington,ky"
2018-01-01 01:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-14,-19,-11,-19,21,100,78,0.0,1038,-11,10,356,15,"lexington,ky"
2018-01-01 02:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-15,-19,-12,-19,19,100,78,0.0,1038,-12,10,352,14,"lexington,ky"
2018-01-01 03:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-15,-19,-12,-19,18,100,78,0.0,1038,-12,10,348,13,"lexington,ky"
2018-01-01 04:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-16,-19,-13,-19,17,93,79,0.0,1039,-13,10,343,12,"lexington,ky"
2018-01-01 05:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-16,-20,-13,-20,16,86,80,0.0,1039,-13,10,338,11,"lexington,ky"
2018-01-01 06:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-16,-20,-14,-20,14,78,81,0.0,1040,-14,10,333,10,"lexington,ky"
2018-01-01 07:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-17,-20,-14,-20,14,66,76,0.0,1040,-14,10,328,11,"lexington,ky"
2018-01-01 08:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-17,-19,-13,-19,14,54,71,0.0,1040,-13,10,323,11,"lexington,ky"
2018-01-01 09:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-18,-19,-13,-19,14,42,66,0.0,1041,-13,10,317,11,"lexington,ky"
2018-01-01 10:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-18,-17,-11,-17,14,31,58,0.0,1041,-11,10,314,12,"lexington,ky"
2018-01-01 11:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-19,-16,-10,-16,15,19,50,0.0,1041,-10,10,311,12,"lexington,ky"
2018-01-01 12:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-19,-14,-8,-14,15,8,41,0.0,1040,-8,10,307,13,"lexington,ky"
2018-01-01 13:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-20,-15,-9,-15,17,5,39,0.0,1040,-8,10,307,14,"lexington,ky"
2018-01-01 14:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-21,-15,-9,-15,18,3,36,0.0,1040,-9,10,307,15,"lexington,ky"
2018-01-01 15:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-22,-15,-9,-15,19,0,33,0.0,1040,-9,10,307,16,"lexington,ky"
2018-01-01 16:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-22,-16,-10,-16,18,0,34,0.0,1040,-10,10,309,14,"lexington,ky"
2018-01-01 17:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-23,-17,-11,-17,17,0,35,0.0,1041,-11,10,312,12,"lexington,ky"
2018-01-01 18:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-24,-17,-11,-17,16,0,36,0.0,1042,-11,10,314,11,"lexington,ky"
2018-01-01 19:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-23,-18,-12,-18,16,0,38,0.0,1042,-12,10,321,11,"lexington,ky"
2018-01-01 20:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-23,-18,-12,-18,16,0,41,0.0,1042,-12,10,329,11,"lexington,ky"
2018-01-01 21:00:00,-8,-14,0.1,9.8,1,97,06:25 PM,08:09 AM,08:54 AM,06:29 PM,-23,-19,-13,-19,16,0,43,0.0,1042,-13,10,336,11,"lexington,ky"
