date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-23,-30,-20,-30,26,4,79,0.0,1024,-20,10,302,16,"manchester,nh"
2018-01-01 01:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-23,-30,-20,-30,27,3,79,0.0,1024,-20,10,302,16,"manchester,nh"
2018-01-01 02:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-23,-30,-21,-30,27,1,79,0.0,1024,-21,10,302,17,"manchester,nh"
2018-01-01 03:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-23,-30,-21,-30,28,0,79,0.0,1024,-21,10,303,17,"manchester,nh"
2018-01-01 04:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-24,-30,-21,-30,28,1,78,0.0,1024,-21,10,303,17,"manchester,nh"
2018-01-01 05:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-24,-31,-21,-31,27,2,77,0.0,1025,-21,10,303,16,"manchester,nh"
2018-01-01 06:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-24,-31,-21,-31,27,3,76,0.0,1025,-21,10,303,16,"manchester,nh"
2018-01-01 07:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-23,-29,-20,-29,26,4,75,0.0,1025,-20,10,304,17,"manchester,nh"
2018-01-01 08:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-22,-27,-18,-27,25,4,74,0.0,1025,-18,10,305,18,"manchester,nh"
2018-01-01 09:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-20,-26,-17,-26,24,5,72,0.0,1025,-17,10,306,19,"manchester,nh"
2018-01-01 10:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-19,-24,-15,-24,24,6,71,0.0,1024,-15,10,305,19,"manchester,nh"
2018-01-01 11:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-19,-23,-14,-23,24,6,70,0.0,1023,-14,10,303,19,"manchester,nh"
2018-01-01 12:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-18,-22,-13,-22,24,7,68,0.0,1023,-13,10,302,19,"manchester,nh"
2018-01-01 13:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-18,-23,-14,-23,26,5,69,0.0,1023,-14,10,301,20,"manchester,nh"
2018-01-01 14:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-19,-23,-14,-23,28,3,70,0.0,1024,-14,10,299,20,"manchester,nh"
2018-01-01 15:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-19,-24,-15,-24,31,2,71,0.0,1024,-15,10,298,20,"manchester,nh"
2018-01-01 16:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-20,-25,-16,-25,29,3,72,0.0,1025,-16,10,296,18,"manchester,nh"
2018-01-01 17:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-20,-25,-16,-25,28,4,72,0.0,1025,-16,10,295,17,"manchester,nh"
2018-01-01 18:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-21,-26,-17,-26,26,5,73,0.0,1025,-17,10,293,15,"manchester,nh"
2018-01-01 19:00:00,-13,-21,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-21,-26,-17,-26,26,7,74,0.0,1026,-17,10,290,15,"manchester,nh"
