date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-18,-24,-15,-24,25,100,79,0.0,1034,-15,10,302,18,"marquette,mi"
2018-01-01 01:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-18,-24,-15,-24,26,98,80,0.0,1034,-15,8,305,18,"marquette,mi"
2018-01-01 02:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-18,-24,-16,-24,26,97,81,0.0,1034,-16,7,309,18,"marquette,mi"
2018-01-01 03:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-18,-25,-16,-25,26,95,82,0.1,1034,-16,5,312,18,"marquette,mi"
2018-01-01 04:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-18,-25,-16,-25,26,96,82,0.0,1034,-16,7,312,18,"marquette,mi"
2018-01-01 05:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-19,-25,-16,-25,25,96,82,0.0,1034,-16,8,312,17,"marquette,mi"
2018-01-01 06:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-19,-25,-17,-25,25,96,82,0.0,1035,-17,10,312,17,"marquette,mi"
2018-01-01 07:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-18,-25,-16,-25,25,96,81,0.0,1035,-16,10,311,17,"marquette,mi"
2018-01-01 08:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-18,-24,-15,-24,25,95,80,0.0,1035,-15,10,310,18,"marquette,mi"
2018-01-01 09:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-18,-24,-15,-24,26,95,78,0.0,1035,-15,10,309,18,"marquette,mi"
2018-01-01 10:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-17,-22,-14,-22,25,97,75,0.0,1034,-14,10,305,18,"marquette,mi"
2018-01-01 11:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-16,-21,-12,-21,23,98,73,0.0,1034,-12,10,302,18,"marquette,mi"
2018-01-01 12:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-16,-19,-11,-19,22,100,70,0.0,1034,-11,10,298,18,"marquette,mi"
2018-01-01 13:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-15,-19,-11,-19,23,78,71,0.0,1034,-11,10,296,18,"marquette,mi"
2018-01-01 14:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-15,-19,-11,-19,24,56,72,0.0,1034,-11,10,294,19,"marquette,mi"
2018-01-01 15:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-15,-19,-11,-19,24,34,73,0.0,1034,-11,10,292,19,"marquette,mi"
2018-01-01 16:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-15,-19,-12,-19,23,33,77,0.0,1034,-12,10,289,17,"marquette,mi"
2018-01-01 17:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-15,-20,-12,-20,22,32,80,0.0,1033,-12,10,286,15,"marquette,mi"
2018-01-01 18:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-15,-20,-13,-20,21,32,84,0.0,1033,-13,10,284,13,"marquette,mi"
2018-01-01 19:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-15,-20,-13,-20,23,39,83,0.0,1033,-13,10,281,15,"marquette,mi"
2018-01-01 20:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-16,-21,-13,-21,25,46,82,0.0,1033,-13,10,278,16,"marquette,mi"
2018-01-01 21:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-16,-21,-13,-21,27,53,80,0.0,1032,-13,10,275,18,"marquette,mi"
2018-01-01 22:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-16,-22,-13,-22,27,53,77,0.0,1032,-13,10,275,18,"marquette,mi"
2018-01-01 23:00:00,-11,-17,0.1,6.9,1,97,06:12 PM,08:46 AM,09:34 AM,06:13 PM,-17,-22,-13,-22,28,54,74,0.0,1031,-13,10,274,18,"marquette,mi"
2018-01-02 00:00:00,-9,-13,0.4,5.1,2,100,07:19 PM,09:50 AM,09:34 AM,06:14 PM,-18,-22,-14,-22,28,55,71,0.0,1030,-13,10,274,19,"marquette,mi"
2018-01-02 01:00:00,-9,-13,0.4,5.1,2,100,07:19 PM,09:50 AM,09:34 AM,06:14 PM,-18,-22,-13,-22,30,43,67,0.0,1030,-13,10,273,20,"marquette,mi"
