date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,28,26,0.0,8.7,7,97,04:46 PM,04:43 AM,05:59 AM,05:33 PM,23,30,30,27,14,27,82,0.0,1008,26,10,4,10,"maui,hi"
2018-01-01 01:00:00,28,26,0.0,8.7,7,97,04:46 PM,04:43 AM,05:59 AM,05:33 PM,23,30,30,27,13,29,82,0.0,1007,26,10,8,10,"maui,hi"
2018-01-01 02:00:00,28,26,0.0,8.7,7,97,04:46 PM,04:43 AM,05:59 AM,05:33 PM,23,30,30,27,12,31,83,0.0,1007,26,10,13,9,"maui,hi"
2018-01-01 03:00:00,28,26,0.0,8.7,7,97,04:46 PM,04:43 AM,05:59 AM,05:33 PM,23,30,30,27,11,33,83,0.0,1007,26,10,17,8,"maui,hi"
2018-01-01 04:00:00,28,26,0.0,8.7,7,97,04:46 PM,04:43 AM,05:59 AM,05:33 PM,23,30,30,27,14,33,83,0.0,1008,26,10,16,11,"maui,hi"
2018-01-01 05:00:00,28,26,0.0,8.7,7,97,04:46 PM,04:43 AM,05:59 AM,05:33 PM,23,30,30,27,17,34,83,0.0,1008,26,10,15,13,"maui,hi"
2018-01-01 06:00:00,28,26,0.0,8.7,7,97,04:46 PM,04:43 AM,05:59 AM,05:33 PM,23,30,30,27,20,35,83,0.0,1008,27,10,14,15,"maui,hi"
2018-01-01 07:00:00,28,26,0.0,8.7,7,97,04:46 PM,04:43 AM,05:59 AM,05:33 PM,23,30,30,27,20,40,80,0.0,1008,27,10,24,15,"maui,hi"
2018-01-01 08:00:00,28,26,0.0,8.7,7,97,04:46 PM,04:43 AM,05:59 AM,05:33 PM,23,31,31,28,20,45,78,0.0,1008,28,10,34,15,"maui,hi"
2018-01-01 09:00:00,28,26,0.0,8.7,7,97,04:46 PM,04:43 AM,05:59 AM,05:33 PM,23,32,32,28,20,50,76,0.0,1008,28,10,44,15,"maui,hi"
2018-01-01 10:00:00,28,26,0.0,8.7,7,97,04:46 PM,04:43 AM,05:59 AM,05:33 PM,23,32,32,28,21,54,77,0.0,1008,28,10,42,16,"maui,hi"
2018-01-01 11:00:00,28,26,0.0,8.7,7,97,04:46 PM,04:43 AM,05:59 AM,05:33 PM,24,31,31,28,22,58,78,0.0,1007,28,10,41,16,"maui,hi"
