date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-2,3,4,3,9,22,63,0.0,1023,4,10,103,4,"medford,or"
2018-01-01 01:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,2,3,2,9,20,65,0.0,1024,3,10,84,4,"medford,or"
2018-01-01 02:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,2,3,2,9,18,66,0.0,1025,3,10,65,4,"medford,or"
2018-01-01 03:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,1,2,1,8,16,68,0.0,1025,2,10,45,4,"medford,or"
2018-01-01 04:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-4,1,2,1,9,13,65,0.0,1025,2,10,59,4,"medford,or"
2018-01-01 05:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-4,1,2,1,10,11,63,0.0,1025,2,10,72,5,"medford,or"
2018-01-01 06:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-5,1,2,1,11,9,61,0.0,1025,2,10,85,5,"medford,or"
2018-01-01 07:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-4,3,4,3,9,9,56,0.0,1026,4,10,91,5,"medford,or"
2018-01-01 08:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,5,6,5,8,9,51,0.0,1026,6,10,96,5,"medford,or"
2018-01-01 09:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,8,8,8,7,9,47,0.0,1026,8,10,101,5,"medford,or"
2018-01-01 10:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,10,10,10,6,8,42,0.0,1025,10,10,104,5,"medford,or"
2018-01-01 11:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,12,12,12,5,7,37,0.0,1024,12,10,107,4,"medford,or"
2018-01-01 12:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,14,13,14,4,7,32,0.0,1024,13,10,110,4,"medford,or"
2018-01-01 13:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-2,12,12,12,6,6,37,0.0,1024,12,10,95,4,"medford,or"
2018-01-01 14:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-2,11,11,11,8,5,42,0.0,1024,11,10,80,5,"medford,or"
2018-01-01 15:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-1,9,10,9,11,4,46,0.0,1024,10,10,65,5,"medford,or"
2018-01-01 16:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-2,8,8,8,11,3,50,0.0,1024,8,10,74,5,"medford,or"
2018-01-01 17:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-2,6,7,6,12,3,53,0.0,1024,7,10,82,6,"medford,or"
2018-01-01 18:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,4,5,4,12,2,57,0.0,1025,5,10,91,6,"medford,or"
2018-01-01 19:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,4,5,4,12,5,57,0.0,1025,5,10,94,6,"medford,or"
2018-01-01 20:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,3,4,3,12,7,58,0.0,1025,4,10,98,6,"medford,or"
2018-01-01 21:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,3,4,3,11,9,58,0.0,1026,4,10,101,5,"medford,or"
2018-01-01 22:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,3,4,3,12,8,60,0.0,1026,4,10,99,6,"medford,or"
2018-01-01 23:00:00,13,2,0.0,8.7,3,97,05:53 PM,08:01 AM,08:41 AM,05:50 PM,-3,2,4,2,13,7,61,0.0,1026,4,10,97,6,"medford,or"
2018-01-02 00:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,-3,2,4,2,14,6,62,0.0,1026,4,10,94,6,"medford,or"
2018-01-02 01:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,-3,2,3,2,10,12,65,0.0,1026,3,10,79,5,"medford,or"
2018-01-02 02:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,-3,1,2,1,7,19,68,0.0,1027,2,10,64,3,"medford,or"
2018-01-02 03:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,-3,1,1,1,4,25,71,0.0,1027,1,10,49,2,"medford,or"
2018-01-02 04:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,-3,1,2,1,8,22,70,0.0,1027,2,10,64,4,"medford,or"
2018-01-02 05:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,-3,1,2,1,11,20,69,0.0,1026,2,10,80,5,"medford,or"
2018-01-02 06:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,-3,0,3,0,15,18,68,0.0,1026,2,10,96,7,"medford,or"
2018-01-02 07:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,-2,2,4,2,14,19,64,0.0,1026,4,10,103,8,"medford,or"
2018-01-02 08:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,-1,5,6,5,13,20,59,0.0,1025,6,10,109,8,"medford,or"
2018-01-02 09:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,-0,7,8,7,13,21,55,0.0,1025,8,10,116,8,"medford,or"
2018-01-02 10:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,0,9,10,9,11,22,52,0.0,1024,10,10,113,8,"medford,or"
2018-01-02 11:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,1,11,11,11,9,23,48,0.0,1023,11,10,111,7,"medford,or"
2018-01-02 12:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,1,13,13,13,7,23,45,0.0,1022,13,10,109,6,"medford,or"
2018-01-02 13:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,2,12,12,12,8,25,50,0.0,1022,12,10,103,6,"medford,or"
2018-01-02 14:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,2,10,11,10,8,27,55,0.0,1021,11,10,98,5,"medford,or"
2018-01-02 15:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,2,9,9,9,9,29,60,0.0,1021,9,10,93,4,"medford,or"
2018-01-02 16:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,2,8,8,8,10,31,63,0.0,1022,8,10,95,5,"medford,or"
2018-01-02 17:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,1,6,7,6,11,33,66,0.0,1022,7,10,97,5,"medford,or"
2018-01-02 18:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,1,5,6,5,12,35,69,0.0,1022,6,10,99,6,"medford,or"
2018-01-02 19:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,1,5,6,5,13,39,69,0.0,1022,6,10,106,6,"medford,or"
2018-01-02 20:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,1,5,6,5,14,43,70,0.0,1022,6,10,113,6,"medford,or"
2018-01-02 21:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,1,5,6,5,14,48,71,0.0,1022,6,10,120,7,"medford,or"
2018-01-02 22:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,1,5,6,5,14,49,72,0.0,1022,6,10,111,7,"medford,or"
2018-01-02 23:00:00,13,1,0.0,8.7,3,100,07:01 PM,09:04 AM,08:41 AM,05:51 PM,1,5,6,5,14,49,73,0.0,1021,6,10,102,7,"medford,or"
2018-01-03 00:00:00,14,4,0.0,8.7,3,89,08:12 PM,09:59 AM,08:41 AM,05:52 PM,2,5,6,5,14,50,74,0.0,1021,6,10,93,6,"medford,or"
2018-01-03 01:00:00,14,4,0.0,8.7,3,89,08:12 PM,09:59 AM,08:41 AM,05:52 PM,1,5,5,5,11,39,76,0.0,1021,5,10,87,5,"medford,or"
2018-01-03 02:00:00,14,4,0.0,8.7,3,89,08:12 PM,09:59 AM,08:41 AM,05:52 PM,1,4,5,4,8,27,78,0.0,1021,5,10,80,4,"medford,or"
2018-01-03 03:00:00,14,4,0.0,8.7,3,89,08:12 PM,09:59 AM,08:41 AM,05:52 PM,1,4,4,4,5,16,80,0.0,1022,4,10,74,3,"medford,or"
2018-01-03 04:00:00,14,4,0.0,8.7,3,89,08:12 PM,09:59 AM,08:41 AM,05:52 PM,1,4,4,4,8,12,79,0.0,1021,4,10,82,4,"medford,or"
2018-01-03 05:00:00,14,4,0.0,8.7,3,89,08:12 PM,09:59 AM,08:41 AM,05:52 PM,1,3,4,3,11,8,77,0.0,1021,4,10,90,5,"medford,or"
2018-01-03 06:00:00,14,4,0.0,8.7,3,89,08:12 PM,09:59 AM,08:41 AM,05:52 PM,1,3,5,3,14,4,76,0.0,1020,5,10,98,7,"medford,or"
2018-01-03 07:00:00,14,4,0.0,8.7,3,89,08:12 PM,09:59 AM,08:41 AM,05:52 PM,0,4,6,4,14,5,68,0.0,1020,6,10,105,7,"medford,or"
2018-01-03 08:00:00,14,4,0.0,8.7,3,89,08:12 PM,09:59 AM,08:41 AM,05:52 PM,0,6,7,6,13,6,61,0.0,1019,7,10,112,8,"medford,or"
2018-01-03 09:00:00,14,4,0.0,8.7,3,89,08:12 PM,09:59 AM,08:41 AM,05:52 PM,0,8,9,8,13,6,54,0.0,1019,9,10,118,8,"medford,or"
