date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,13,17,17,17,13,47,79,0.0,1020,17,10,203,8,"melbourne,fl"
2018-01-01 01:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,13,17,17,17,11,55,79,0.0,1020,17,10,217,7,"melbourne,fl"
2018-01-01 02:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,13,17,17,17,10,63,78,0.0,1019,17,10,230,6,"melbourne,fl"
2018-01-01 03:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,13,17,17,17,8,71,77,0.0,1019,17,10,244,5,"melbourne,fl"
2018-01-01 04:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,13,17,17,17,10,62,79,0.0,1019,17,10,246,6,"melbourne,fl"
2018-01-01 05:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,14,17,17,17,11,54,81,0.0,1019,17,10,248,7,"melbourne,fl"
2018-01-01 06:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,14,17,17,17,12,46,82,0.0,1019,17,10,250,8,"melbourne,fl"
2018-01-01 07:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,14,17,17,17,11,48,80,0.0,1020,17,10,270,7,"melbourne,fl"
2018-01-01 08:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,14,18,18,18,9,51,78,0.0,1020,18,10,291,7,"melbourne,fl"
2018-01-01 09:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,14,18,18,18,8,54,76,0.0,1020,18,10,312,6,"melbourne,fl"
2018-01-01 10:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,14,18,18,18,13,67,80,0.0,1020,18,10,317,10,"melbourne,fl"
2018-01-01 11:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,15,17,17,17,19,81,84,0.0,1020,17,10,322,14,"melbourne,fl"
2018-01-01 12:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,15,17,17,17,24,94,88,0.0,1020,17,10,328,18,"melbourne,fl"
2018-01-01 13:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,15,17,17,17,30,96,88,0.0,1020,17,10,337,23,"melbourne,fl"
2018-01-01 14:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,15,17,17,17,36,98,88,0.1,1020,17,10,347,27,"melbourne,fl"
2018-01-01 15:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,14,16,16,16,43,100,88,0.1,1019,16,10,357,32,"melbourne,fl"
2018-01-01 16:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,14,16,16,16,45,100,88,0.0,1020,16,10,357,33,"melbourne,fl"
2018-01-01 17:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,14,16,16,16,48,100,88,0.0,1020,16,10,356,35,"melbourne,fl"
2018-01-01 18:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,14,16,16,16,50,100,88,0.0,1021,16,10,355,37,"melbourne,fl"
2018-01-01 19:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,13,15,16,15,51,100,88,0.0,1021,16,7,237,38,"melbourne,fl"
2018-01-01 20:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,13,13,15,13,52,100,87,0.1,1022,15,5,119,39,"melbourne,fl"
2018-01-01 21:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,12,12,15,12,52,100,87,0.1,1022,15,2,1,40,"melbourne,fl"
2018-01-01 22:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,13,13,15,13,54,100,87,0.1,1022,15,5,4,41,"melbourne,fl"
2018-01-01 23:00:00,18,15,0.0,6.7,5,97,06:31 PM,07:31 AM,08:14 AM,06:38 PM,13,14,15,14,55,100,87,0.0,1022,15,7,8,41,"melbourne,fl"
2018-01-02 00:00:00,16,15,0.0,5.1,4,100,07:37 PM,08:35 AM,08:14 AM,06:39 PM,13,15,15,15,56,100,86,0.0,1022,15,10,11,41,"melbourne,fl"
2018-01-02 01:00:00,16,15,0.0,5.1,4,100,07:37 PM,08:35 AM,08:14 AM,06:39 PM,13,15,15,15,54,100,86,0.0,1022,15,10,12,40,"melbourne,fl"
2018-01-02 02:00:00,16,15,0.0,5.1,4,100,07:37 PM,08:35 AM,08:14 AM,06:39 PM,13,15,15,15,52,100,85,0.0,1022,15,10,14,39,"melbourne,fl"
2018-01-02 03:00:00,16,15,0.0,5.1,4,100,07:37 PM,08:35 AM,08:14 AM,06:39 PM,13,15,15,15,50,100,84,0.0,1022,15,10,15,38,"melbourne,fl"
2018-01-02 04:00:00,16,15,0.0,5.1,4,100,07:37 PM,08:35 AM,08:14 AM,06:39 PM,13,15,15,15,48,100,84,0.0,1022,15,10,15,36,"melbourne,fl"
2018-01-02 05:00:00,16,15,0.0,5.1,4,100,07:37 PM,08:35 AM,08:14 AM,06:39 PM,13,15,15,15,46,100,85,0.0,1022,15,10,16,33,"melbourne,fl"
2018-01-02 06:00:00,16,15,0.0,5.1,4,100,07:37 PM,08:35 AM,08:14 AM,06:39 PM,13,15,15,15,44,100,85,0.0,1023,15,10,17,31,"melbourne,fl"
2018-01-02 07:00:00,16,15,0.0,5.1,4,100,07:37 PM,08:35 AM,08:14 AM,06:39 PM,13,16,16,16,45,100,84,0.0,1023,16,10,17,32,"melbourne,fl"
2018-01-02 08:00:00,16,15,0.0,5.1,4,100,07:37 PM,08:35 AM,08:14 AM,06:39 PM,13,16,16,16,46,100,84,0.0,1023,16,10,17,33,"melbourne,fl"
2018-01-02 09:00:00,16,15,0.0,5.1,4,100,07:37 PM,08:35 AM,08:14 AM,06:39 PM,13,16,16,16,47,100,83,0.0,1024,16,10,18,35,"melbourne,fl"
2018-01-02 10:00:00,16,15,0.0,5.1,4,100,07:37 PM,08:35 AM,08:14 AM,06:39 PM,13,16,16,16,43,100,83,0.0,1023,16,10,19,31,"melbourne,fl"
