date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-12,-9,-9,-9,5,18,80,0.0,1030,-9,10,210,2,"missoula,mt"
2018-01-01 01:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-12,-9,-9,-9,4,13,80,0.0,1031,-10,10,197,2,"missoula,mt"
2018-01-01 02:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-12,-9,-9,-9,4,9,79,0.0,1031,-10,10,185,2,"missoula,mt"
2018-01-01 03:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-12,-9,-9,-9,4,4,79,0.0,1031,-10,10,172,2,"missoula,mt"
2018-01-01 04:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-12,-9,-9,-9,4,3,79,0.0,1032,-10,10,194,2,"missoula,mt"
2018-01-01 05:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-12,-9,-9,-9,5,3,79,0.0,1032,-10,10,215,2,"missoula,mt"
2018-01-01 06:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-12,-9,-9,-9,5,2,79,0.0,1033,-11,10,236,3,"missoula,mt"
2018-01-01 07:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-13,-10,-10,-10,5,2,79,0.0,1033,-11,10,271,2,"missoula,mt"
2018-01-01 08:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-13,-10,-10,-10,4,3,80,0.0,1034,-11,10,307,2,"missoula,mt"
2018-01-01 09:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-14,-11,-11,-11,4,3,80,0.0,1034,-12,10,343,2,"missoula,mt"
2018-01-01 10:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-12,-11,-10,-11,5,4,80,0.0,1034,-10,10,339,3,"missoula,mt"
2018-01-01 11:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-11,-10,-8,-10,7,5,79,0.0,1034,-8,10,336,5,"missoula,mt"
2018-01-01 12:00:00,-4,-12,0.0,5.8,2,97,06:02 PM,08:39 AM,09:22 AM,05:58 PM,-9,-9,-6,-9,8,6,79,0.0,1033,-6,10,332,6,"missoula,mt"
