date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-18,-11,-18,21,44,55,0.0,1038,-11,10,354,15,"nashville,tn"
2018-01-01 01:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-18,-11,-18,22,54,56,0.0,1038,-11,10,356,16,"nashville,tn"
2018-01-01 02:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-19,-11,-19,23,65,58,0.0,1038,-11,10,357,16,"nashville,tn"
2018-01-01 03:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-19,-12,-19,23,75,59,0.0,1039,-11,10,359,17,"nashville,tn"
2018-01-01 04:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-20,-12,-20,22,79,62,0.0,1040,-12,10,357,16,"nashville,tn"
2018-01-01 05:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-20,-13,-20,21,83,65,0.0,1040,-13,10,355,15,"nashville,tn"
2018-01-01 06:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-21,-14,-21,20,88,68,0.0,1041,-14,10,353,14,"nashville,tn"
2018-01-01 07:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-20,-13,-20,20,70,65,0.0,1041,-13,10,236,15,"nashville,tn"
2018-01-01 08:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-20,-12,-20,20,52,62,0.0,1042,-12,10,118,16,"nashville,tn"
2018-01-01 09:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-19,-12,-19,20,34,59,0.0,1042,-12,10,1,16,"nashville,tn"
2018-01-01 10:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-17,-10,-17,18,36,53,0.0,1042,-10,10,1,15,"nashville,tn"
2018-01-01 11:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-15,-9,-15,15,38,48,0.0,1042,-9,10,0,13,"nashville,tn"
2018-01-01 12:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-18,-13,-8,-13,13,40,43,0.0,1042,-8,10,0,11,"nashville,tn"
2018-01-01 13:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-19,-13,-8,-13,14,26,41,0.0,1041,-7,10,118,12,"nashville,tn"
2018-01-01 14:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-19,-13,-7,-13,15,13,38,0.0,1041,-7,10,237,13,"nashville,tn"
2018-01-01 15:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-19,-13,-7,-13,17,0,36,0.0,1040,-7,10,355,14,"nashville,tn"
2018-01-01 16:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-20,-13,-8,-13,16,0,37,0.0,1041,-8,10,352,13,"nashville,tn"
2018-01-01 17:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-20,-14,-9,-14,16,0,39,0.0,1041,-9,10,349,12,"nashville,tn"
2018-01-01 18:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-21,-15,-10,-15,16,0,40,0.0,1042,-10,10,346,10,"nashville,tn"
2018-01-01 19:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-22,-16,-10,-16,16,0,38,0.0,1042,-10,10,232,11,"nashville,tn"
2018-01-01 20:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-23,-16,-10,-16,17,0,36,0.0,1042,-10,10,117,11,"nashville,tn"
2018-01-01 21:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-23,-17,-11,-17,18,0,34,0.0,1042,-11,10,3,12,"nashville,tn"
2018-01-01 22:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-24,-17,-11,-17,18,0,35,0.0,1042,-11,10,6,12,"nashville,tn"
2018-01-01 23:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:44 PM,-24,-18,-12,-18,18,0,36,0.0,1042,-12,10,9,12,"nashville,tn"
2018-01-02 00:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-24,-19,-13,-19,17,0,37,0.0,1043,-12,10,12,12,"nashville,tn"
2018-01-02 01:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-24,-19,-13,-19,16,0,38,0.0,1042,-13,10,14,11,"nashville,tn"
2018-01-02 02:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-24,-19,-13,-19,15,0,39,0.0,1042,-13,10,17,11,"nashville,tn"
2018-01-02 03:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-23,-19,-13,-19,14,0,40,0.0,1042,-13,10,19,10,"nashville,tn"
2018-01-02 04:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-23,-19,-13,-19,13,1,43,0.0,1042,-13,10,23,9,"nashville,tn"
2018-01-02 05:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-23,-19,-14,-19,13,2,46,0.0,1042,-14,10,28,9,"nashville,tn"
2018-01-02 06:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-22,-20,-14,-20,12,2,49,0.0,1042,-14,10,33,9,"nashville,tn"
2018-01-02 07:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-22,-19,-13,-19,12,2,46,0.0,1042,-13,10,35,9,"nashville,tn"
2018-01-02 08:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-22,-18,-12,-18,11,1,43,0.0,1042,-13,10,37,9,"nashville,tn"
2018-01-02 09:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-22,-16,-11,-16,10,0,40,0.0,1042,-12,10,39,9,"nashville,tn"
2018-01-02 10:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-22,-13,-9,-13,9,0,36,0.0,1041,-10,10,28,7,"nashville,tn"
2018-01-02 11:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-21,-10,-7,-10,7,0,31,0.0,1040,-8,10,17,6,"nashville,tn"
2018-01-02 12:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-20,-6,-4,-6,6,0,27,0.0,1039,-6,10,6,5,"nashville,tn"
2018-01-02 13:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-21,-7,-4,-7,7,2,26,0.0,1038,-5,10,5,6,"nashville,tn"
2018-01-02 14:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-21,-7,-4,-7,7,4,25,0.0,1036,-5,10,4,6,"nashville,tn"
2018-01-02 15:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-22,-7,-4,-7,8,5,24,0.0,1035,-5,10,4,7,"nashville,tn"
2018-01-02 16:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-21,-8,-5,-8,8,20,28,0.0,1035,-6,10,6,6,"nashville,tn"
2018-01-02 17:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:18 AM,07:58 AM,05:45 PM,-20,-9,-6,-9,9,34,33,0.0,1034,-7,10,8,6,"nashville,tn"
