date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-29,-36,-28,-36,20,3,91,0.0,1052,-28,10,327,10,"omaha,ne"
2018-01-01 01:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-29,-36,-28,-36,20,2,90,0.0,1052,-28,10,323,10,"omaha,ne"
2018-01-01 02:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-29,-37,-28,-37,20,2,90,0.0,1052,-28,10,320,10,"omaha,ne"
2018-01-01 03:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-29,-37,-28,-37,20,1,90,0.0,1052,-28,10,317,10,"omaha,ne"
2018-01-01 04:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-30,-37,-28,-37,19,1,89,0.0,1052,-28,10,321,9,"omaha,ne"
2018-01-01 05:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-30,-37,-29,-37,17,0,89,0.0,1053,-29,10,325,8,"omaha,ne"
2018-01-01 06:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-30,-36,-29,-36,16,0,89,0.0,1053,-29,10,329,8,"omaha,ne"
2018-01-01 07:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-30,-36,-28,-36,15,0,88,0.0,1053,-28,10,324,8,"omaha,ne"
2018-01-01 08:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-29,-35,-28,-35,15,0,87,0.0,1052,-28,10,320,8,"omaha,ne"
2018-01-01 09:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-29,-35,-28,-35,14,0,87,0.0,1052,-28,10,315,8,"omaha,ne"
2018-01-01 10:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-28,-32,-26,-32,12,0,83,0.0,1052,-25,10,310,7,"omaha,ne"
2018-01-01 11:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-26,-29,-23,-29,10,0,79,0.0,1051,-23,10,305,6,"omaha,ne"
2018-01-01 12:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-24,-26,-21,-26,8,0,75,0.0,1051,-21,10,300,6,"omaha,ne"
2018-01-01 13:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-24,-25,-21,-25,7,0,75,0.0,1050,-21,10,304,5,"omaha,ne"
2018-01-01 14:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-23,-24,-20,-24,7,0,74,0.0,1049,-20,10,308,5,"omaha,ne"
2018-01-01 15:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-23,-23,-19,-23,6,0,74,0.0,1048,-19,10,312,5,"omaha,ne"
2018-01-01 16:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-24,-23,-21,-23,5,0,78,0.0,1048,-21,10,247,4,"omaha,ne"
2018-01-01 17:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-25,-24,-22,-24,4,0,82,0.0,1048,-22,10,182,3,"omaha,ne"
2018-01-01 18:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-25,-24,-24,-24,3,0,86,0.0,1048,-24,10,117,1,"omaha,ne"
2018-01-01 19:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-26,-24,-24,-24,4,0,86,0.0,1048,-24,10,136,2,"omaha,ne"
2018-01-01 20:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-26,-24,-24,-24,5,0,86,0.0,1047,-24,10,154,2,"omaha,ne"
2018-01-01 21:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-26,-24,-24,-24,5,0,86,0.0,1047,-24,10,173,3,"omaha,ne"
2018-01-01 22:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-26,-24,-24,-24,5,0,86,0.0,1047,-24,10,195,2,"omaha,ne"
2018-01-01 23:00:00,-19,-29,0.0,9.6,2,97,06:04 PM,08:06 AM,08:49 AM,06:05 PM,-26,-25,-25,-25,5,0,86,0.0,1047,-25,10,217,2,"omaha,ne"
2018-01-02 00:00:00,-9,-25,0.0,9.6,2,100,07:11 PM,09:09 AM,08:50 AM,06:06 PM,-26,-25,-25,-25,5,0,86,0.0,1047,-25,10,240,2,"omaha,ne"
2018-01-02 01:00:00,-9,-25,0.0,9.6,2,100,07:11 PM,09:09 AM,08:50 AM,06:06 PM,-26,-26,-24,-26,8,1,87,0.0,1047,-24,10,234,4,"omaha,ne"
2018-01-02 02:00:00,-9,-25,0.0,9.6,2,100,07:11 PM,09:09 AM,08:50 AM,06:06 PM,-26,-28,-24,-28,11,2,87,0.0,1046,-24,10,227,5,"omaha,ne"
2018-01-02 03:00:00,-9,-25,0.0,9.6,2,100,07:11 PM,09:09 AM,08:50 AM,06:06 PM,-25,-30,-24,-30,14,3,88,0.0,1046,-24,10,221,7,"omaha,ne"
2018-01-02 04:00:00,-9,-25,0.0,9.6,2,100,07:11 PM,09:09 AM,08:50 AM,06:06 PM,-25,-30,-23,-30,17,9,88,0.0,1045,-23,10,220,8,"omaha,ne"
2018-01-02 05:00:00,-9,-25,0.0,9.6,2,100,07:11 PM,09:09 AM,08:50 AM,06:06 PM,-24,-30,-23,-30,19,15,89,0.0,1044,-23,10,219,9,"omaha,ne"
2018-01-02 06:00:00,-9,-25,0.0,9.6,2,100,07:11 PM,09:09 AM,08:50 AM,06:06 PM,-24,-30,-23,-30,21,22,90,0.0,1044,-23,10,218,10,"omaha,ne"
2018-01-02 07:00:00,-9,-25,0.0,9.6,2,100,07:11 PM,09:09 AM,08:50 AM,06:06 PM,-23,-30,-22,-30,23,16,89,0.0,1043,-22,10,218,11,"omaha,ne"
2018-01-02 08:00:00,-9,-25,0.0,9.6,2,100,07:11 PM,09:09 AM,08:50 AM,06:06 PM,-22,-29,-21,-29,24,11,89,0.0,1042,-21,10,217,12,"omaha,ne"
2018-01-02 09:00:00,-9,-25,0.0,9.6,2,100,07:11 PM,09:09 AM,08:50 AM,06:06 PM,-22,-29,-20,-29,26,6,88,0.0,1041,-20,10,216,13,"omaha,ne"
2018-01-02 10:00:00,-9,-25,0.0,9.6,2,100,07:11 PM,09:09 AM,08:50 AM,06:06 PM,-20,-26,-18,-26,25,4,84,0.0,1039,-18,10,218,15,"omaha,ne"
2018-01-02 11:00:00,-9,-25,0.0,9.6,2,100,07:11 PM,09:09 AM,08:50 AM,06:06 PM,-18,-24,-15,-24,25,3,79,0.0,1038,-15,10,221,17,"omaha,ne"
