date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-12,15,15,15,4,2,15,0.0,1021,13,10,34,2,"phoenix,az"
2018-01-01 01:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-11,15,15,15,5,2,15,0.0,1021,13,10,36,2,"phoenix,az"
2018-01-01 02:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-11,15,15,15,5,2,15,0.0,1021,12,10,37,3,"phoenix,az"
2018-01-01 03:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-11,15,15,15,6,2,15,0.0,1021,12,10,39,3,"phoenix,az"
2018-01-01 04:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-11,14,14,14,11,3,16,0.0,1021,12,10,44,5,"phoenix,az"
2018-01-01 05:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-12,13,13,13,15,3,16,0.0,1021,11,10,49,7,"phoenix,az"
2018-01-01 06:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-12,11,12,11,20,3,17,0.0,1022,11,10,55,9,"phoenix,az"
2018-01-01 07:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-11,12,13,12,17,2,17,0.0,1022,11,10,55,8,"phoenix,az"
2018-01-01 08:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-11,13,13,13,14,1,18,0.0,1022,11,10,55,7,"phoenix,az"
2018-01-01 09:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-10,14,14,14,11,0,19,0.0,1022,10,10,56,6,"phoenix,az"
2018-01-01 10:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-10,16,16,16,10,0,16,0.0,1022,13,10,59,6,"phoenix,az"
2018-01-01 11:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-10,18,18,18,8,0,14,0.0,1022,15,10,62,6,"phoenix,az"
2018-01-01 12:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-10,21,21,21,6,0,12,0.0,1022,17,10,65,5,"phoenix,az"
2018-01-01 13:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-10,22,22,22,5,0,11,0.0,1021,19,10,146,5,"phoenix,az"
2018-01-01 14:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-9,24,23,24,5,0,10,0.0,1020,20,10,226,4,"phoenix,az"
2018-01-01 15:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-9,25,24,25,4,0,9,0.0,1019,22,10,307,3,"phoenix,az"
2018-01-01 16:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-9,24,23,24,5,0,10,0.0,1019,21,10,311,4,"phoenix,az"
2018-01-01 17:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-9,23,23,23,6,1,11,0.0,1019,20,10,314,4,"phoenix,az"
2018-01-01 18:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-8,22,22,22,7,1,12,0.0,1019,19,10,317,5,"phoenix,az"
2018-01-01 19:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-9,20,20,20,8,6,13,0.0,1019,18,10,316,5,"phoenix,az"
2018-01-01 20:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-10,18,18,18,9,11,14,0.0,1019,16,10,316,5,"phoenix,az"
2018-01-01 21:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-11,16,16,16,10,16,15,0.0,1019,15,10,315,5,"phoenix,az"
2018-01-01 22:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-11,15,15,15,8,14,15,0.0,1020,14,10,306,4,"phoenix,az"
2018-01-01 23:00:00,22,10,0.0,8.7,4,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-11,15,15,15,6,13,16,0.0,1020,14,10,297,3,"phoenix,az"
2018-01-02 00:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-11,14,14,14,5,11,16,0.0,1021,13,10,288,2,"phoenix,az"
2018-01-02 01:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-11,14,14,14,4,18,16,0.0,1021,13,10,194,2,"phoenix,az"
2018-01-02 02:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-11,14,14,14,3,25,17,0.0,1020,13,10,100,1,"phoenix,az"
2018-01-02 03:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-11,13,13,13,2,33,17,0.0,1020,13,10,6,1,"phoenix,az"
2018-01-02 04:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-12,13,13,13,7,55,17,0.0,1021,12,10,29,3,"phoenix,az"
2018-01-02 05:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-12,12,12,12,12,77,16,0.0,1021,12,10,52,6,"phoenix,az"
2018-01-02 06:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-13,11,12,11,17,100,16,0.0,1021,12,10,75,8,"phoenix,az"
2018-01-02 07:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-13,11,12,11,15,100,16,0.0,1021,12,10,70,7,"phoenix,az"
2018-01-02 08:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-12,12,12,12,13,100,17,0.0,1021,12,10,65,6,"phoenix,az"
2018-01-02 09:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-12,12,12,12,11,100,17,0.0,1021,11,10,60,5,"phoenix,az"
2018-01-02 10:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-12,14,14,14,10,75,15,0.0,1021,13,10,63,6,"phoenix,az"
2018-01-02 11:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-13,16,16,16,9,51,13,0.0,1021,16,10,66,6,"phoenix,az"
2018-01-02 12:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-13,18,18,18,8,26,11,0.0,1021,18,10,69,7,"phoenix,az"
2018-01-02 13:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-12,20,20,20,6,24,10,0.0,1020,19,10,66,6,"phoenix,az"
2018-01-02 14:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-12,21,21,21,4,22,9,0.0,1019,21,10,64,4,"phoenix,az"
2018-01-02 15:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-12,23,23,23,2,20,9,0.0,1018,22,10,61,2,"phoenix,az"
2018-01-02 16:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-11,22,22,22,4,19,10,0.0,1019,21,10,146,3,"phoenix,az"
2018-01-02 17:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-10,21,21,21,6,17,12,0.0,1019,20,10,230,3,"phoenix,az"
2018-01-02 18:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-9,20,20,20,8,16,13,0.0,1019,19,10,315,4,"phoenix,az"
2018-01-02 19:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-9,19,19,19,11,14,14,0.0,1019,18,10,215,5,"phoenix,az"
2018-01-02 20:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-10,18,18,18,14,12,14,0.0,1019,17,10,115,7,"phoenix,az"
2018-01-02 21:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-10,17,17,17,17,11,15,0.0,1020,17,10,15,8,"phoenix,az"
2018-01-02 22:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-10,17,17,17,19,13,15,0.0,1020,16,10,26,9,"phoenix,az"
2018-01-02 23:00:00,22,11,0.0,7.1,5,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-10,16,16,16,21,15,16,0.0,1020,16,10,36,10,"phoenix,az"
2018-01-03 00:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-10,15,15,15,23,17,17,0.0,1021,15,10,47,11,"phoenix,az"
2018-01-03 01:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-10,14,15,14,23,18,17,0.0,1021,14,10,48,11,"phoenix,az"
2018-01-03 02:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,13,14,13,23,18,17,0.0,1021,14,10,50,11,"phoenix,az"
2018-01-03 03:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,13,13,13,23,19,17,0.0,1021,13,10,52,11,"phoenix,az"
2018-01-03 04:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-12,13,14,13,26,14,16,0.0,1021,13,10,55,12,"phoenix,az"
2018-01-03 05:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-12,13,14,13,29,8,16,0.0,1021,13,10,58,14,"phoenix,az"
2018-01-03 06:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-12,12,14,12,32,2,16,0.0,1021,14,10,61,15,"phoenix,az"
2018-01-03 07:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,12,14,12,29,3,17,0.0,1021,13,10,62,14,"phoenix,az"
2018-01-03 08:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-10,12,13,12,26,3,18,0.0,1021,13,10,63,12,"phoenix,az"
2018-01-03 09:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-10,12,13,12,23,4,19,0.0,1021,12,10,64,11,"phoenix,az"
2018-01-03 10:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-10,15,16,15,23,5,17,0.0,1020,15,10,69,14,"phoenix,az"
2018-01-03 11:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-10,18,18,18,24,7,14,0.0,1020,18,10,73,18,"phoenix,az"
2018-01-03 12:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-10,21,21,21,25,8,12,0.0,1020,21,10,78,22,"phoenix,az"
2018-01-03 13:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-10,22,22,22,24,11,11,0.0,1019,22,10,85,21,"phoenix,az"
2018-01-03 14:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,22,22,23,22,15,10,0.0,1018,23,10,91,19,"phoenix,az"
2018-01-03 15:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,23,23,24,21,18,9,0.0,1017,24,10,98,18,"phoenix,az"
2018-01-03 16:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,23,23,23,22,24,9,0.0,1017,23,10,86,17,"phoenix,az"
2018-01-03 17:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,22,22,23,23,30,10,0.0,1017,23,10,73,16,"phoenix,az"
2018-01-03 18:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,22,22,22,24,35,10,0.0,1017,22,10,61,14,"phoenix,az"
2018-01-03 19:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,21,21,21,22,42,11,0.0,1017,21,10,67,13,"phoenix,az"
2018-01-03 20:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,20,20,20,20,48,11,0.0,1018,20,10,73,11,"phoenix,az"
2018-01-03 21:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,20,20,20,18,54,11,0.0,1018,19,10,79,9,"phoenix,az"
2018-01-03 22:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-12,19,19,19,19,64,11,0.0,1018,19,10,73,10,"phoenix,az"
2018-01-03 23:00:00,24,12,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-12,19,19,19,21,73,11,0.0,1018,19,10,67,10,"phoenix,az"
2018-01-04 00:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-13,19,19,19,22,83,11,0.0,1019,18,10,61,11,"phoenix,az"
2018-01-04 01:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-13,18,18,18,19,83,11,0.0,1019,18,10,59,10,"phoenix,az"
2018-01-04 02:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-13,18,18,18,17,84,11,0.0,1019,18,10,57,9,"phoenix,az"
2018-01-04 03:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-13,18,18,18,14,84,11,0.0,1019,17,10,56,7,"phoenix,az"
2018-01-04 04:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-14,18,18,18,18,73,10,0.0,1019,17,10,64,9,"phoenix,az"
2018-01-04 05:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-15,17,17,17,23,61,10,0.0,1019,17,10,73,11,"phoenix,az"
2018-01-04 06:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-15,17,17,17,27,50,9,0.0,1019,17,10,82,13,"phoenix,az"
2018-01-04 07:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-14,17,17,17,23,37,12,0.0,1019,16,10,78,11,"phoenix,az"
2018-01-04 08:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-12,16,16,16,19,25,14,0.0,1019,15,10,74,9,"phoenix,az"
2018-01-04 09:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-11,15,15,15,14,12,16,0.0,1020,15,10,70,7,"phoenix,az"
2018-01-04 10:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-8,18,18,18,13,10,16,0.0,1020,17,10,79,8,"phoenix,az"
2018-01-04 11:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-6,20,20,20,12,8,17,0.0,1020,19,10,87,9,"phoenix,az"
2018-01-04 12:00:00,24,15,0.0,8.7,4,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-4,22,22,22,11,6,17,0.0,1020,21,10,95,10,"phoenix,az"
