date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-16,-20,-14,-20,13,31,91,0.0,1034,-15,10,285,8,"pittsburgh,pa"
2018-01-01 01:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-16,-20,-15,-20,13,38,91,0.0,1034,-15,10,284,8,"pittsburgh,pa"
2018-01-01 02:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-16,-20,-15,-20,13,44,92,0.0,1034,-15,10,283,8,"pittsburgh,pa"
2018-01-01 03:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-16,-20,-15,-20,13,51,92,0.0,1035,-15,10,282,8,"pittsburgh,pa"
2018-01-01 04:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-16,-21,-15,-21,13,65,93,0.0,1035,-16,10,275,7,"pittsburgh,pa"
2018-01-01 05:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-17,-21,-16,-21,12,78,93,0.0,1035,-16,10,269,7,"pittsburgh,pa"
2018-01-01 06:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-17,-21,-16,-21,12,91,94,0.0,1035,-16,10,262,7,"pittsburgh,pa"
2018-01-01 07:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-16,-21,-15,-21,13,80,91,0.0,1035,-15,10,262,9,"pittsburgh,pa"
2018-01-01 08:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-16,-20,-14,-20,13,68,88,0.0,1035,-14,10,262,10,"pittsburgh,pa"
2018-01-01 09:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-15,-20,-13,-20,14,56,85,0.0,1035,-13,10,262,11,"pittsburgh,pa"
2018-01-01 10:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-15,-19,-12,-19,16,70,81,0.0,1035,-13,10,265,13,"pittsburgh,pa"
2018-01-01 11:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-15,-18,-12,-18,17,83,78,0.0,1035,-12,10,269,14,"pittsburgh,pa"
2018-01-01 12:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-14,-18,-11,-18,18,97,74,0.0,1034,-11,10,273,16,"pittsburgh,pa"
2018-01-01 13:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-15,-18,-11,-18,20,96,74,0.0,1035,-11,10,276,16,"pittsburgh,pa"
2018-01-01 14:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-15,-19,-11,-19,21,95,73,0.0,1035,-11,10,279,17,"pittsburgh,pa"
2018-01-01 15:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-15,-19,-12,-19,23,93,73,0.0,1035,-11,10,282,17,"pittsburgh,pa"
2018-01-01 16:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-16,-20,-12,-20,21,90,76,0.0,1036,-12,10,280,15,"pittsburgh,pa"
2018-01-01 17:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-16,-20,-13,-20,20,87,80,0.0,1036,-13,10,277,14,"pittsburgh,pa"
2018-01-01 18:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-16,-20,-14,-20,19,84,83,0.0,1037,-14,10,275,12,"pittsburgh,pa"
2018-01-01 19:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-16,-21,-14,-21,20,70,85,0.0,1037,-14,10,274,12,"pittsburgh,pa"
2018-01-01 20:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-16,-22,-15,-22,20,55,86,0.0,1038,-15,10,272,13,"pittsburgh,pa"
2018-01-01 21:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-17,-23,-15,-23,21,41,88,0.0,1038,-15,10,271,13,"pittsburgh,pa"
2018-01-01 22:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-17,-23,-15,-23,20,54,89,0.0,1038,-15,10,265,13,"pittsburgh,pa"
2018-01-01 23:00:00,-11,-16,0.1,6.5,2,97,06:00 PM,07:57 AM,08:43 AM,06:04 PM,-17,-23,-16,-23,19,67,90,0.0,1038,-16,10,258,12,"pittsburgh,pa"
2018-01-02 00:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-17,-23,-16,-23,17,80,91,0.0,1038,-16,10,252,11,"pittsburgh,pa"
2018-01-02 01:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-17,-23,-16,-23,17,82,92,0.0,1038,-16,10,251,11,"pittsburgh,pa"
2018-01-02 02:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-17,-23,-16,-23,18,83,92,0.0,1039,-16,10,250,12,"pittsburgh,pa"
2018-01-02 03:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-17,-24,-17,-24,18,84,93,0.0,1039,-17,10,249,12,"pittsburgh,pa"
2018-01-02 04:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-17,-23,-16,-23,16,89,93,0.0,1039,-16,10,243,10,"pittsburgh,pa"
2018-01-02 05:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-17,-22,-16,-22,14,94,94,0.0,1039,-16,10,236,9,"pittsburgh,pa"
2018-01-02 06:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-17,-21,-16,-21,12,99,94,0.0,1039,-16,10,230,8,"pittsburgh,pa"
2018-01-02 07:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-17,-22,-15,-22,15,99,90,0.0,1039,-15,10,228,10,"pittsburgh,pa"
2018-01-02 08:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-17,-22,-15,-22,18,100,87,0.0,1038,-15,10,227,13,"pittsburgh,pa"
2018-01-02 09:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-17,-22,-14,-22,21,100,83,0.0,1038,-14,10,225,16,"pittsburgh,pa"
2018-01-02 10:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-16,-21,-13,-21,19,93,79,0.0,1037,-13,10,226,15,"pittsburgh,pa"
2018-01-02 11:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-15,-19,-12,-19,17,87,76,0.0,1037,-12,10,228,14,"pittsburgh,pa"
2018-01-02 12:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-15,-17,-11,-17,15,80,72,0.0,1036,-11,10,229,13,"pittsburgh,pa"
2018-01-02 13:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-14,-17,-10,-17,16,59,72,0.0,1035,-10,10,231,14,"pittsburgh,pa"
2018-01-02 14:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-14,-17,-10,-17,17,37,73,0.0,1034,-10,10,233,14,"pittsburgh,pa"
2018-01-02 15:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-14,-17,-10,-17,18,15,73,0.0,1033,-10,10,235,14,"pittsburgh,pa"
2018-01-02 16:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-14,-17,-11,-17,17,13,76,0.0,1033,-11,10,226,12,"pittsburgh,pa"
2018-01-02 17:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-14,-17,-12,-17,15,11,80,0.0,1033,-12,10,217,10,"pittsburgh,pa"
2018-01-02 18:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-15,-17,-13,-17,13,9,84,0.0,1033,-13,10,207,8,"pittsburgh,pa"
2018-01-02 19:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-15,-18,-13,-18,16,13,84,0.0,1032,-13,10,211,9,"pittsburgh,pa"
2018-01-02 20:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-15,-19,-13,-19,18,17,84,0.0,1032,-14,10,215,10,"pittsburgh,pa"
2018-01-02 21:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-16,-20,-14,-20,20,22,84,0.0,1031,-14,10,219,11,"pittsburgh,pa"
2018-01-02 22:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-16,-20,-14,-20,18,17,84,0.0,1031,-14,10,214,10,"pittsburgh,pa"
2018-01-02 23:00:00,-10,-17,0.0,8.2,1,100,07:06 PM,09:00 AM,08:43 AM,06:05 PM,-16,-19,-14,-19,15,12,84,0.0,1031,-14,10,209,9,"pittsburgh,pa"
2018-01-03 00:00:00,-5,-16,0.0,9.6,2,89,08:16 PM,09:57 AM,08:43 AM,06:06 PM,-16,-19,-14,-19,13,7,85,0.0,1030,-15,10,204,8,"pittsburgh,pa"
2018-01-03 01:00:00,-5,-16,0.0,9.6,2,89,08:16 PM,09:57 AM,08:43 AM,06:06 PM,-16,-18,-13,-18,12,4,84,0.0,1030,-15,10,201,8,"pittsburgh,pa"
2018-01-03 02:00:00,-5,-16,0.0,9.6,2,89,08:16 PM,09:57 AM,08:43 AM,06:06 PM,-15,-18,-13,-18,12,2,84,0.0,1029,-15,10,198,8,"pittsburgh,pa"
2018-01-03 03:00:00,-5,-16,0.0,9.6,2,89,08:16 PM,09:57 AM,08:43 AM,06:06 PM,-15,-18,-13,-18,11,0,83,0.0,1029,-15,10,194,8,"pittsburgh,pa"
2018-01-03 04:00:00,-5,-16,0.0,9.6,2,89,08:16 PM,09:57 AM,08:43 AM,06:06 PM,-15,-18,-13,-18,10,1,83,0.0,1028,-15,10,188,7,"pittsburgh,pa"
2018-01-03 05:00:00,-5,-16,0.0,9.6,2,89,08:16 PM,09:57 AM,08:43 AM,06:06 PM,-16,-18,-13,-18,10,2,82,0.0,1028,-15,10,182,7,"pittsburgh,pa"
2018-01-03 06:00:00,-5,-16,0.0,9.6,2,89,08:16 PM,09:57 AM,08:43 AM,06:06 PM,-16,-18,-14,-18,9,3,82,0.0,1027,-16,10,176,6,"pittsburgh,pa"
2018-01-03 07:00:00,-5,-16,0.0,9.6,2,89,08:16 PM,09:57 AM,08:43 AM,06:06 PM,-16,-17,-12,-17,10,3,77,0.0,1026,-14,10,185,7,"pittsburgh,pa"
2018-01-03 08:00:00,-5,-16,0.0,9.6,2,89,08:16 PM,09:57 AM,08:43 AM,06:06 PM,-15,-16,-11,-16,10,3,72,0.0,1026,-13,10,193,8,"pittsburgh,pa"
2018-01-03 09:00:00,-5,-16,0.0,9.6,2,89,08:16 PM,09:57 AM,08:43 AM,06:06 PM,-15,-15,-10,-15,11,3,66,0.0,1025,-11,10,202,9,"pittsburgh,pa"
2018-01-03 10:00:00,-5,-16,0.0,9.6,2,89,08:16 PM,09:57 AM,08:43 AM,06:06 PM,-14,-13,-8,-13,10,8,62,0.0,1024,-9,10,197,9,"pittsburgh,pa"
