date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,21,22,25,22,15,14,90,0.0,1016,22,10,54,8,"ponce,pr"
2018-01-01 01:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,22,25,22,16,15,90,0.0,1016,22,10,51,8,"ponce,pr"
2018-01-01 02:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,22,25,22,17,15,89,0.0,1016,22,10,49,9,"ponce,pr"
2018-01-01 03:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,22,25,22,18,15,89,0.0,1016,22,10,46,9,"ponce,pr"
2018-01-01 04:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,25,25,23,16,13,86,0.0,1016,22,10,47,9,"ponce,pr"
2018-01-01 05:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,21,26,26,24,14,12,83,0.0,1017,23,10,48,9,"ponce,pr"
2018-01-01 06:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,21,26,26,24,12,10,80,0.0,1017,24,10,49,9,"ponce,pr"
2018-01-01 07:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,21,28,28,26,15,13,75,0.0,1017,25,10,66,12,"ponce,pr"
2018-01-01 08:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,29,29,27,18,16,69,0.0,1018,27,10,83,15,"ponce,pr"
2018-01-01 09:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,30,30,28,21,19,63,0.0,1018,28,10,99,18,"ponce,pr"
2018-01-01 10:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,30,30,28,21,20,62,0.0,1017,28,10,102,18,"ponce,pr"
2018-01-01 11:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,31,31,28,22,22,62,0.0,1017,28,10,104,19,"ponce,pr"
2018-01-01 12:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,31,31,29,22,23,62,0.0,1016,29,10,106,19,"ponce,pr"
2018-01-01 13:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,21,30,30,28,21,20,65,0.0,1016,28,10,103,18,"ponce,pr"
2018-01-01 14:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,21,29,29,27,21,16,68,0.1,1015,27,10,100,16,"ponce,pr"
2018-01-01 15:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,21,28,28,26,20,12,71,0.1,1015,26,10,97,15,"ponce,pr"
2018-01-01 16:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,27,27,25,20,13,76,0.0,1015,25,10,87,14,"ponce,pr"
2018-01-01 17:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,26,26,24,20,14,80,0.0,1016,24,10,77,12,"ponce,pr"
2018-01-01 18:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,25,25,23,20,15,85,0.0,1016,23,10,67,11,"ponce,pr"
2018-01-01 19:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,25,25,23,20,15,86,0.0,1017,22,10,60,10,"ponce,pr"
2018-01-01 20:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,25,25,22,19,14,86,0.0,1017,22,10,54,10,"ponce,pr"
2018-01-01 21:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,22,25,22,18,14,87,0.0,1017,22,10,48,9,"ponce,pr"
2018-01-01 22:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,22,25,22,16,11,88,0.0,1016,22,10,44,9,"ponce,pr"
2018-01-01 23:00:00,29,22,0.0,11.4,6,97,05:51 PM,06:14 AM,06:58 AM,06:02 PM,20,22,25,22,15,7,90,0.0,1016,21,10,40,8,"ponce,pr"
2018-01-02 00:00:00,29,20,0.0,11.5,6,100,06:55 PM,07:18 AM,06:58 AM,06:03 PM,21,22,25,22,13,4,91,0.0,1016,21,10,37,8,"ponce,pr"
