date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-2,1,3,1,12,24,72,0.0,1026,3,10,69,6,"portland,or"
2018-01-01 01:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-2,1,2,1,11,21,73,0.0,1027,2,10,61,6,"portland,or"
2018-01-01 02:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-2,0,2,0,10,17,74,0.0,1027,2,10,54,6,"portland,or"
2018-01-01 03:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-2,0,2,0,9,14,76,0.0,1028,2,10,47,5,"portland,or"
2018-01-01 04:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-2,0,2,0,9,12,75,0.0,1028,2,10,51,5,"portland,or"
2018-01-01 05:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-2,0,2,0,9,10,74,0.0,1028,2,10,54,5,"portland,or"
2018-01-01 06:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-2,1,2,1,9,8,74,0.0,1028,2,10,58,5,"portland,or"
2018-01-01 07:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-2,1,2,1,8,7,71,0.0,1029,2,10,53,5,"portland,or"
2018-01-01 08:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-3,2,3,2,7,6,67,0.0,1030,2,10,48,5,"portland,or"
2018-01-01 09:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-3,2,3,2,6,5,64,0.0,1031,3,10,44,5,"portland,or"
2018-01-01 10:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-2,4,5,4,6,3,61,0.0,1030,5,10,42,5,"portland,or"
2018-01-01 11:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-1,6,7,6,7,2,58,0.0,1029,6,10,40,6,"portland,or"
2018-01-01 12:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-0,8,8,8,7,0,55,0.0,1029,8,10,38,6,"portland,or"
2018-01-01 13:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-1,6,8,6,12,0,55,0.0,1029,7,10,50,8,"portland,or"
2018-01-01 14:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-1,4,7,4,16,0,56,0.0,1030,7,10,62,11,"portland,or"
2018-01-01 15:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-2,3,6,3,20,0,57,0.0,1030,6,10,73,13,"portland,or"
2018-01-01 16:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-2,2,5,2,19,1,58,0.0,1030,5,10,71,12,"portland,or"
2018-01-01 17:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-3,2,4,2,18,2,60,0.0,1031,4,10,68,11,"portland,or"
2018-01-01 18:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-3,1,4,1,17,3,62,0.0,1031,4,10,66,10,"portland,or"
2018-01-01 19:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-3,1,3,1,18,4,62,0.0,1031,3,10,69,11,"portland,or"
2018-01-01 20:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-3,0,3,0,20,4,62,0.0,1031,3,10,71,12,"portland,or"
2018-01-01 21:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-4,-1,3,-1,21,5,62,0.0,1032,3,10,74,13,"portland,or"
2018-01-01 22:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-4,-0,3,-0,19,5,62,0.0,1031,3,10,72,12,"portland,or"
2018-01-01 23:00:00,8,2,0.0,8.7,2,97,05:43 PM,08:10 AM,08:51 AM,05:38 PM,-4,-0,3,-0,17,6,62,0.0,1031,3,10,69,10,"portland,or"
2018-01-02 00:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-4,-0,2,-0,15,6,61,0.0,1031,2,10,67,9,"portland,or"
2018-01-02 01:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-4,-0,2,-0,15,11,64,0.0,1031,2,10,60,9,"portland,or"
2018-01-02 02:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-4,-1,2,-1,15,17,66,0.0,1031,2,10,54,9,"portland,or"
2018-01-02 03:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-3,-1,2,-1,15,22,68,0.0,1031,2,10,47,10,"portland,or"
2018-01-02 04:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-3,-0,2,-0,14,30,66,0.0,1031,2,10,56,9,"portland,or"
2018-01-02 05:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-4,0,2,0,13,39,65,0.0,1031,2,10,64,8,"portland,or"
2018-01-02 06:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-4,1,3,1,12,47,63,0.0,1030,3,10,72,6,"portland,or"
2018-01-02 07:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-5,0,3,0,19,54,57,0.0,1030,3,10,76,12,"portland,or"
2018-01-02 08:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-5,0,4,0,26,61,51,0.0,1030,4,10,81,17,"portland,or"
2018-01-02 09:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-6,0,4,0,33,68,46,0.0,1030,4,10,85,22,"portland,or"
2018-01-02 10:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-6,2,5,2,27,71,46,0.0,1030,5,10,80,18,"portland,or"
2018-01-02 11:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-5,3,6,3,21,73,46,0.0,1029,6,10,75,15,"portland,or"
2018-01-02 12:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-4,5,7,5,15,75,45,0.0,1028,7,10,70,11,"portland,or"
2018-01-02 13:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-5,3,6,3,21,61,44,0.0,1028,6,10,75,15,"portland,or"
2018-01-02 14:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-6,2,6,2,26,48,43,0.0,1028,6,10,80,18,"portland,or"
2018-01-02 15:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-7,1,5,1,32,34,42,0.0,1028,5,10,84,22,"portland,or"
2018-01-02 16:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-7,1,5,1,27,31,44,0.0,1028,5,10,80,18,"portland,or"
2018-01-02 17:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-7,1,4,1,22,29,46,0.0,1027,4,10,76,15,"portland,or"
2018-01-02 18:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-6,1,4,1,18,26,48,0.0,1027,4,10,71,11,"portland,or"
2018-01-02 19:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-7,0,3,0,19,35,48,0.0,1027,3,10,75,12,"portland,or"
2018-01-02 20:00:00,7,2,0.0,5.1,2,100,06:50 PM,09:13 AM,08:51 AM,05:39 PM,-7,-0,3,-0,20,44,48,0.0,1027,3,10,78,13,"portland,or"
