date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-16,-19,-14,-19,10,90,88,0.0,1036,-14,10,142,8,"pueblo,co"
2018-01-01 01:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-16,-20,-15,-20,10,84,88,0.0,1036,-15,10,134,8,"pueblo,co"
2018-01-01 02:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-16,-20,-15,-20,11,79,88,0.0,1035,-15,10,126,8,"pueblo,co"
2018-01-01 03:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-17,-21,-15,-21,12,73,88,0.0,1035,-15,10,118,9,"pueblo,co"
2018-01-01 04:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-17,-21,-16,-21,11,71,89,0.0,1035,-16,10,119,8,"pueblo,co"
2018-01-01 05:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-17,-20,-16,-20,10,69,91,0.0,1035,-16,10,121,6,"pueblo,co"
2018-01-01 06:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-17,-20,-16,-20,8,67,92,0.0,1035,-16,10,122,5,"pueblo,co"
2018-01-01 07:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-17,-20,-16,-20,9,50,89,0.0,1035,-16,10,124,6,"pueblo,co"
2018-01-01 08:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-17,-19,-15,-19,11,33,86,0.0,1034,-15,10,126,6,"pueblo,co"
2018-01-01 09:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-17,-19,-14,-19,12,16,83,0.0,1033,-14,10,128,7,"pueblo,co"
2018-01-01 10:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-17,-17,-13,-17,11,14,72,0.0,1031,-13,10,125,7,"pueblo,co"
2018-01-01 11:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-17,-15,-11,-15,10,13,62,0.0,1029,-11,10,122,7,"pueblo,co"
2018-01-01 12:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-17,-13,-9,-13,8,11,52,0.0,1027,-9,10,119,7,"pueblo,co"
2018-01-01 13:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-16,-12,-7,-12,11,13,49,0.0,1026,-7,10,119,9,"pueblo,co"
2018-01-01 14:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-16,-11,-6,-11,13,15,45,0.0,1024,-6,10,119,12,"pueblo,co"
2018-01-01 15:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-16,-10,-5,-10,16,16,41,0.0,1022,-5,10,119,14,"pueblo,co"
2018-01-01 16:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-16,-9,-6,-9,11,20,47,0.0,1023,-6,10,149,9,"pueblo,co"
2018-01-01 17:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-15,-9,-7,-9,7,24,53,0.0,1024,-7,10,179,5,"pueblo,co"
2018-01-01 18:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-15,-9,-9,-9,2,27,58,0.0,1025,-9,10,209,1,"pueblo,co"
2018-01-01 19:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-15,-10,-8,-10,7,33,58,0.0,1025,-8,10,169,4,"pueblo,co"
2018-01-01 20:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-15,-12,-8,-12,12,39,58,0.0,1026,-8,10,130,7,"pueblo,co"
2018-01-01 21:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-15,-13,-8,-13,17,45,58,0.0,1026,-8,10,90,10,"pueblo,co"
2018-01-01 22:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-14,-13,-9,-13,14,32,65,0.0,1027,-9,10,76,9,"pueblo,co"
2018-01-01 23:00:00,-5,-16,0.0,8.7,1,97,05:48 PM,07:34 AM,08:15 AM,05:49 PM,-14,-14,-10,-14,11,20,73,0.0,1028,-10,10,61,7,"pueblo,co"
2018-01-02 00:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-14,-14,-11,-14,8,8,80,0.0,1029,-11,10,47,5,"pueblo,co"
2018-01-02 01:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-14,-14,-11,-14,9,8,78,0.0,1030,-11,10,66,6,"pueblo,co"
2018-01-02 02:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-14,-15,-11,-15,9,9,77,0.0,1031,-11,10,86,6,"pueblo,co"
2018-01-02 03:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-15,-15,-11,-15,9,9,75,0.0,1031,-11,10,105,6,"pueblo,co"
2018-01-02 04:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-15,-14,-11,-14,7,8,76,0.0,1032,-11,10,174,4,"pueblo,co"
2018-01-02 05:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-15,-13,-11,-13,4,7,77,0.0,1033,-11,10,243,2,"pueblo,co"
2018-01-02 06:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-15,-12,-12,-12,1,5,78,0.0,1033,-12,10,312,0,"pueblo,co"
2018-01-02 07:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-14,-11,-11,-11,2,5,75,0.0,1034,-11,10,296,1,"pueblo,co"
2018-01-02 08:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-14,-10,-10,-10,4,4,71,0.0,1034,-10,10,279,2,"pueblo,co"
2018-01-02 09:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-14,-9,-9,-9,5,4,67,0.0,1034,-9,10,263,3,"pueblo,co"
2018-01-02 10:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-15,-8,-7,-8,5,2,57,0.0,1032,-7,10,232,3,"pueblo,co"
2018-01-02 11:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-15,-6,-5,-6,6,1,47,0.0,1030,-5,10,201,4,"pueblo,co"
2018-01-02 12:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-15,-4,-3,-4,6,0,37,0.0,1029,-2,10,170,5,"pueblo,co"
2018-01-02 13:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-15,-3,-1,-3,7,0,35,0.0,1027,-1,10,163,6,"pueblo,co"
2018-01-02 14:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-15,-3,-0,-3,8,0,33,0.0,1026,-0,10,156,7,"pueblo,co"
2018-01-02 15:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-14,-2,1,-2,10,0,31,0.0,1024,1,10,148,8,"pueblo,co"
2018-01-02 16:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-14,-3,-1,-3,9,0,39,0.0,1025,-1,10,144,7,"pueblo,co"
2018-01-02 17:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-13,-5,-3,-5,9,0,48,0.0,1026,-3,10,139,6,"pueblo,co"
2018-01-02 18:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-12,-7,-5,-7,9,0,56,0.0,1026,-5,10,134,4,"pueblo,co"
2018-01-02 19:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-13,-6,-5,-6,8,0,54,0.0,1027,-5,10,104,4,"pueblo,co"
2018-01-02 20:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-13,-5,-5,-5,7,0,52,0.0,1028,-5,10,75,3,"pueblo,co"
2018-01-02 21:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-13,-5,-5,-5,5,0,51,0.0,1029,-5,10,45,3,"pueblo,co"
2018-01-02 22:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-14,-6,-4,-6,11,0,46,0.0,1030,-4,10,101,5,"pueblo,co"
2018-01-02 23:00:00,1,-12,0.0,8.7,2,100,06:55 PM,08:37 AM,08:15 AM,05:50 PM,-15,-7,-4,-7,17,0,42,0.0,1030,-4,10,157,8,"pueblo,co"
2018-01-03 00:00:00,8,-5,0.0,8.7,2,89,08:05 PM,09:34 AM,08:15 AM,05:51 PM,-16,-7,-3,-7,23,0,37,0.0,1031,-3,10,214,11,"pueblo,co"
