date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-14,-16,-13,-16,11,24,90,0.0,1035,-13,10,49,6,"riverton,wy"
2018-01-01 01:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-14,-16,-13,-16,11,26,89,0.0,1034,-13,10,49,6,"riverton,wy"
2018-01-01 02:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-15,-16,-13,-16,11,28,87,0.0,1034,-13,10,50,5,"riverton,wy"
2018-01-01 03:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-15,-16,-13,-16,11,29,86,0.0,1034,-13,10,51,5,"riverton,wy"
2018-01-01 04:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-15,-17,-13,-17,10,26,84,0.0,1033,-13,10,38,5,"riverton,wy"
2018-01-01 05:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-16,-17,-14,-17,10,22,83,0.0,1033,-14,10,24,5,"riverton,wy"
2018-01-01 06:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-16,-17,-14,-17,10,18,81,0.0,1033,-14,10,11,5,"riverton,wy"
2018-01-01 07:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-17,-17,-14,-17,10,17,79,0.0,1033,-14,10,27,5,"riverton,wy"
2018-01-01 08:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-17,-17,-13,-17,10,16,76,0.0,1032,-13,10,42,5,"riverton,wy"
2018-01-01 09:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-17,-17,-13,-17,11,15,74,0.0,1032,-13,10,58,5,"riverton,wy"
2018-01-01 10:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-15,-15,-11,-15,11,11,73,0.0,1031,-11,10,49,6,"riverton,wy"
2018-01-01 11:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-14,-13,-10,-13,11,8,71,0.0,1029,-10,10,41,6,"riverton,wy"
2018-01-01 12:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-12,-11,-8,-11,11,4,70,0.0,1028,-8,10,32,6,"riverton,wy"
2018-01-01 13:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-11,-11,-7,-11,11,3,72,0.0,1028,-7,10,40,7,"riverton,wy"
2018-01-01 14:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-10,-10,-6,-10,12,1,74,0.0,1027,-6,10,47,7,"riverton,wy"
2018-01-01 15:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-9,-10,-6,-10,12,0,75,0.0,1026,-6,10,55,8,"riverton,wy"
2018-01-01 16:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-11,-11,-8,-11,13,0,76,0.0,1028,-8,10,39,8,"riverton,wy"
2018-01-01 17:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-13,-13,-9,-13,14,0,76,0.0,1030,-9,10,24,7,"riverton,wy"
2018-01-01 18:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-15,-15,-11,-15,15,0,76,0.0,1032,-11,10,8,7,"riverton,wy"
2018-01-01 19:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-15,-15,-12,-15,12,0,75,0.0,1033,-12,10,26,6,"riverton,wy"
2018-01-01 20:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-16,-14,-12,-14,8,0,75,0.0,1034,-12,10,45,4,"riverton,wy"
2018-01-01 21:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-16,-13,-13,-13,5,0,74,0.0,1035,-13,10,64,2,"riverton,wy"
2018-01-01 22:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-17,-13,-13,-13,5,0,73,0.0,1036,-13,10,118,2,"riverton,wy"
2018-01-01 23:00:00,-6,-14,0.0,8.7,2,97,05:51 PM,08:03 AM,08:45 AM,05:50 PM,-17,-13,-13,-13,6,0,72,0.0,1037,-13,10,171,3,"riverton,wy"
2018-01-02 00:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-18,-14,-14,-14,6,0,71,0.0,1039,-14,10,225,3,"riverton,wy"
2018-01-02 01:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-18,-15,-13,-15,9,0,70,0.0,1039,-13,10,203,4,"riverton,wy"
2018-01-02 02:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-18,-16,-13,-16,12,0,68,0.0,1040,-13,10,181,6,"riverton,wy"
2018-01-02 03:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-18,-18,-13,-18,15,0,67,0.0,1040,-13,10,158,7,"riverton,wy"
2018-01-02 04:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-18,-17,-13,-17,13,1,64,0.0,1040,-13,10,149,6,"riverton,wy"
2018-01-02 05:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-19,-16,-13,-16,11,2,61,0.0,1040,-13,10,139,5,"riverton,wy"
2018-01-02 06:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-20,-16,-13,-16,8,3,58,0.0,1040,-13,10,129,4,"riverton,wy"
2018-01-02 07:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-20,-16,-13,-16,9,2,56,0.0,1040,-13,10,124,4,"riverton,wy"
2018-01-02 08:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-20,-16,-13,-16,9,2,54,0.0,1040,-13,10,120,4,"riverton,wy"
2018-01-02 09:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-21,-16,-13,-16,10,1,52,0.0,1040,-13,10,115,5,"riverton,wy"
2018-01-02 10:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-18,-15,-11,-15,12,1,56,0.0,1039,-11,10,98,6,"riverton,wy"
2018-01-02 11:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-16,-13,-9,-13,14,1,59,0.0,1037,-9,10,80,8,"riverton,wy"
2018-01-02 12:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-14,-12,-8,-12,16,0,63,0.0,1036,-8,10,63,9,"riverton,wy"
2018-01-02 13:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-13,-11,-7,-11,14,1,65,0.0,1036,-7,10,59,8,"riverton,wy"
2018-01-02 14:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-12,-10,-7,-10,12,2,68,0.0,1035,-7,10,55,7,"riverton,wy"
2018-01-02 15:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-11,-9,-6,-9,10,2,70,0.0,1034,-6,10,52,6,"riverton,wy"
2018-01-02 16:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-13,-11,-7,-11,12,2,65,0.0,1034,-7,10,54,6,"riverton,wy"
2018-01-02 17:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-15,-12,-8,-12,13,2,61,0.0,1035,-8,10,56,6,"riverton,wy"
2018-01-02 18:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-17,-13,-9,-13,14,1,56,0.0,1035,-9,10,59,7,"riverton,wy"
2018-01-02 19:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-17,-12,-10,-12,11,1,56,0.0,1036,-10,10,79,5,"riverton,wy"
2018-01-02 20:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-17,-11,-10,-11,7,0,56,0.0,1036,-10,10,100,3,"riverton,wy"
2018-01-02 21:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-17,-10,-10,-10,4,0,56,0.0,1036,-10,10,120,2,"riverton,wy"
2018-01-02 22:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-17,-11,-10,-11,6,0,56,0.0,1036,-10,10,120,3,"riverton,wy"
2018-01-02 23:00:00,-6,-14,0.0,8.7,2,100,06:58 PM,09:06 AM,08:45 AM,05:51 PM,-17,-12,-10,-12,8,0,55,0.0,1037,-10,10,119,4,"riverton,wy"
2018-01-03 00:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-17,-12,-10,-12,10,0,54,0.0,1037,-10,10,119,5,"riverton,wy"
2018-01-03 01:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-17,-12,-10,-12,10,2,54,0.0,1036,-10,10,115,5,"riverton,wy"
2018-01-03 02:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-17,-12,-10,-12,9,3,54,0.0,1036,-10,10,112,4,"riverton,wy"
2018-01-03 03:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-17,-12,-10,-12,9,5,54,0.0,1036,-10,10,109,4,"riverton,wy"
2018-01-03 04:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-17,-12,-10,-12,8,36,55,0.0,1036,-10,10,120,4,"riverton,wy"
2018-01-03 05:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-17,-11,-10,-11,6,68,56,0.0,1036,-10,10,130,3,"riverton,wy"
2018-01-03 06:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-17,-11,-11,-11,5,100,57,0.0,1036,-10,10,141,2,"riverton,wy"
2018-01-03 07:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-17,-11,-10,-11,7,68,58,0.0,1035,-10,10,126,3,"riverton,wy"
2018-01-03 08:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-16,-12,-10,-12,9,37,59,0.0,1034,-10,10,111,4,"riverton,wy"
2018-01-03 09:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-16,-13,-10,-13,11,5,60,0.0,1033,-10,10,96,5,"riverton,wy"
2018-01-03 10:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-14,-12,-9,-12,11,15,64,0.0,1032,-9,10,87,6,"riverton,wy"
2018-01-03 11:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-12,-11,-7,-11,12,24,68,0.0,1031,-7,10,77,7,"riverton,wy"
2018-01-03 12:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-10,-10,-6,-10,13,33,72,0.0,1030,-6,10,67,8,"riverton,wy"
2018-01-03 13:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-9,-9,-6,-9,13,43,74,0.0,1028,-6,10,62,8,"riverton,wy"
2018-01-03 14:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-8,-9,-5,-9,13,53,76,0.0,1027,-5,10,57,8,"riverton,wy"
2018-01-03 15:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-7,-8,-4,-8,13,63,78,0.0,1025,-4,10,51,8,"riverton,wy"
2018-01-03 16:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-8,-8,-5,-8,13,73,76,0.0,1026,-5,10,37,7,"riverton,wy"
2018-01-03 17:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-9,-8,-5,-8,12,84,74,0.0,1026,-5,10,22,6,"riverton,wy"
2018-01-03 18:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-9,-8,-5,-8,11,95,72,0.0,1026,-5,10,8,5,"riverton,wy"
2018-01-03 19:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-10,-8,-6,-8,11,67,70,0.0,1026,-6,10,26,5,"riverton,wy"
2018-01-03 20:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-11,-9,-6,-9,11,38,69,0.0,1027,-6,10,44,5,"riverton,wy"
2018-01-03 21:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-12,-9,-7,-9,11,10,67,0.0,1027,-7,10,62,5,"riverton,wy"
2018-01-03 22:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-12,-8,-7,-8,8,8,65,0.0,1028,-7,10,134,4,"riverton,wy"
2018-01-03 23:00:00,-4,-10,0.0,6.9,2,89,08:10 PM,10:01 AM,08:45 AM,05:52 PM,-13,-8,-7,-8,5,5,63,0.0,1028,-7,10,205,2,"riverton,wy"
2018-01-04 00:00:00,-2,-8,0.0,8.7,2,81,09:23 PM,10:47 AM,08:45 AM,05:53 PM,-13,-7,-7,-7,2,3,61,0.0,1028,-7,10,277,1,"riverton,wy"
2018-01-04 01:00:00,-2,-8,0.0,8.7,2,81,09:23 PM,10:47 AM,08:45 AM,05:53 PM,-14,-8,-7,-8,4,3,60,0.0,1028,-7,10,228,2,"riverton,wy"
