date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,3,9,9,9,5,19,64,0.0,1023,8,10,179,2,"sacramento,ca"
2018-01-01 01:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,3,9,9,9,5,14,65,0.0,1023,8,10,181,3,"sacramento,ca"
2018-01-01 02:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,3,9,9,9,6,10,66,0.0,1023,8,10,183,3,"sacramento,ca"
2018-01-01 03:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,3,9,9,9,7,6,67,0.0,1024,7,10,185,3,"sacramento,ca"
2018-01-01 04:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,3,9,9,9,5,6,68,0.0,1024,7,10,190,3,"sacramento,ca"
2018-01-01 05:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,3,9,9,9,4,6,69,0.0,1024,7,10,194,2,"sacramento,ca"
2018-01-01 06:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,3,9,9,9,2,5,71,0.0,1024,7,10,199,1,"sacramento,ca"
2018-01-01 07:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,4,11,11,11,2,4,64,0.0,1024,9,10,228,1,"sacramento,ca"
2018-01-01 08:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,5,13,13,13,2,2,58,0.0,1025,10,10,258,2,"sacramento,ca"
2018-01-01 09:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,6,16,16,16,2,1,52,0.0,1025,12,10,287,2,"sacramento,ca"
2018-01-01 10:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,6,17,17,17,4,1,48,0.0,1024,14,10,293,3,"sacramento,ca"
2018-01-01 11:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,6,18,18,18,5,1,44,0.0,1023,15,10,299,5,"sacramento,ca"
2018-01-01 12:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,6,20,20,20,7,2,41,0.0,1022,17,10,305,6,"sacramento,ca"
2018-01-01 13:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,6,18,18,18,5,2,45,0.0,1022,16,10,302,5,"sacramento,ca"
2018-01-01 14:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,7,17,17,17,4,3,50,0.0,1022,15,10,299,3,"sacramento,ca"
2018-01-01 15:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,7,16,16,16,3,3,55,0.0,1022,14,10,296,2,"sacramento,ca"
2018-01-01 16:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,7,15,15,15,3,4,58,0.0,1022,13,10,208,2,"sacramento,ca"
2018-01-01 17:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,7,14,14,14,3,4,60,0.0,1022,13,10,119,1,"sacramento,ca"
2018-01-01 18:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,6,13,13,13,2,4,63,0.0,1022,12,10,31,1,"sacramento,ca"
2018-01-01 19:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,6,12,12,12,6,32,64,0.0,1023,11,10,76,3,"sacramento,ca"
2018-01-01 20:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,5,11,12,11,9,60,65,0.0,1023,11,10,121,4,"sacramento,ca"
2018-01-01 21:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,5,10,11,10,12,88,67,0.0,1024,11,10,165,6,"sacramento,ca"
2018-01-01 22:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,5,10,11,10,10,90,66,0.0,1024,10,10,149,5,"sacramento,ca"
2018-01-01 23:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,5,10,11,10,8,91,66,0.0,1024,10,10,133,4,"sacramento,ca"
2018-01-02 00:00:00,17,9,0.0,7.0,3,100,07:05 PM,08:48 AM,08:24 AM,05:57 PM,4,10,10,10,6,92,66,0.0,1024,10,10,117,3,"sacramento,ca"
2018-01-02 01:00:00,17,9,0.0,7.0,3,100,07:05 PM,08:48 AM,08:24 AM,05:57 PM,4,10,10,10,7,93,67,0.0,1024,10,10,141,3,"sacramento,ca"
2018-01-02 02:00:00,17,9,0.0,7.0,3,100,07:05 PM,08:48 AM,08:24 AM,05:57 PM,4,10,10,10,9,94,67,0.0,1024,9,10,165,4,"sacramento,ca"
2018-01-02 03:00:00,17,9,0.0,7.0,3,100,07:05 PM,08:48 AM,08:24 AM,05:57 PM,4,9,9,9,10,95,68,0.0,1025,9,10,189,5,"sacramento,ca"
2018-01-02 04:00:00,17,9,0.0,7.0,3,100,07:05 PM,08:48 AM,08:24 AM,05:57 PM,4,10,10,10,8,65,68,0.0,1024,9,10,244,4,"sacramento,ca"
2018-01-02 05:00:00,17,9,0.0,7.0,3,100,07:05 PM,08:48 AM,08:24 AM,05:57 PM,4,10,10,10,6,36,68,0.0,1024,9,10,299,3,"sacramento,ca"
2018-01-02 06:00:00,17,9,0.0,7.0,3,100,07:05 PM,08:48 AM,08:24 AM,05:57 PM,5,10,10,10,4,6,67,0.0,1024,9,10,354,2,"sacramento,ca"
2018-01-02 07:00:00,17,9,0.0,7.0,3,100,07:05 PM,08:48 AM,08:24 AM,05:57 PM,5,12,12,12,4,8,64,0.0,1024,10,10,324,3,"sacramento,ca"
2018-01-02 08:00:00,17,9,0.0,7.0,3,100,07:05 PM,08:48 AM,08:24 AM,05:57 PM,5,13,13,13,4,10,60,0.0,1024,11,10,294,3,"sacramento,ca"
2018-01-02 09:00:00,17,9,0.0,7.0,3,100,07:05 PM,08:48 AM,08:24 AM,05:57 PM,6,15,14,15,4,12,57,0.0,1025,13,10,263,4,"sacramento,ca"
2018-01-02 10:00:00,17,9,0.0,7.0,3,100,07:05 PM,08:48 AM,08:24 AM,05:57 PM,5,15,15,15,5,18,53,0.0,1024,14,10,285,4,"sacramento,ca"
