date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-11,-19,0.0,9.7,2,97,06:17 PM,08:06 AM,08:49 AM,06:19 PM,-23,-27,-19,-27,18,14,68,0.0,1051,-18,10,9,13,"salina,ks"
2018-01-01 01:00:00,-11,-19,0.0,9.7,2,97,06:17 PM,08:06 AM,08:49 AM,06:19 PM,-23,-26,-19,-26,17,16,68,0.0,1051,-19,10,7,12,"salina,ks"
2018-01-01 02:00:00,-11,-19,0.0,9.7,2,97,06:17 PM,08:06 AM,08:49 AM,06:19 PM,-23,-26,-19,-26,15,18,68,0.0,1051,-19,10,5,11,"salina,ks"
2018-01-01 03:00:00,-11,-19,0.0,9.7,2,97,06:17 PM,08:06 AM,08:49 AM,06:19 PM,-23,-26,-19,-26,14,20,68,0.0,1051,-19,10,2,10,"salina,ks"
2018-01-01 04:00:00,-11,-19,0.0,9.7,2,97,06:17 PM,08:06 AM,08:49 AM,06:19 PM,-23,-26,-19,-26,13,18,68,0.0,1051,-19,10,6,9,"salina,ks"
2018-01-01 05:00:00,-11,-19,0.0,9.7,2,97,06:17 PM,08:06 AM,08:49 AM,06:19 PM,-24,-26,-19,-26,13,15,68,0.0,1051,-19,10,10,9,"salina,ks"
2018-01-01 06:00:00,-11,-19,0.0,9.7,2,97,06:17 PM,08:06 AM,08:49 AM,06:19 PM,-24,-26,-19,-26,12,13,67,0.0,1051,-19,10,15,9,"salina,ks"
2018-01-01 07:00:00,-11,-19,0.0,9.7,2,97,06:17 PM,08:06 AM,08:49 AM,06:19 PM,-24,-25,-19,-25,11,12,65,0.0,1051,-19,10,13,8,"salina,ks"
2018-01-01 08:00:00,-11,-19,0.0,9.7,2,97,06:17 PM,08:06 AM,08:49 AM,06:19 PM,-24,-24,-19,-24,10,11,64,0.0,1051,-19,10,12,7,"salina,ks"
2018-01-01 09:00:00,-11,-19,0.0,9.7,2,97,06:17 PM,08:06 AM,08:49 AM,06:19 PM,-24,-24,-19,-24,9,9,62,0.0,1050,-19,10,11,6,"salina,ks"
