date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,22,26,26,24,9,23,92,0.0,1012,23,10,250,5,"santafe,nm"
2018-01-01 01:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,22,26,26,23,10,29,93,0.0,1012,23,7,241,6,"santafe,nm"
2018-01-01 02:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,22,26,26,23,11,36,94,0.0,1011,23,5,232,6,"santafe,nm"
2018-01-01 03:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,22,25,25,23,11,42,95,0.0,1011,23,2,223,6,"santafe,nm"
2018-01-01 04:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,22,26,26,23,12,44,94,0.0,1012,23,5,225,7,"santafe,nm"
2018-01-01 05:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,26,26,24,12,47,93,0.0,1012,23,7,226,8,"santafe,nm"
2018-01-01 06:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,26,26,24,13,50,93,0.0,1012,24,10,228,8,"santafe,nm"
2018-01-01 07:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,28,28,26,13,42,85,0.0,1013,25,10,231,8,"santafe,nm"
2018-01-01 08:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,30,30,27,13,35,78,0.7,1013,27,9,234,9,"santafe,nm"
2018-01-01 09:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,32,32,29,13,28,70,1.0,1013,28,9,236,9,"santafe,nm"
2018-01-01 10:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,33,33,29,13,26,68,0.5,1012,29,9,249,9,"santafe,nm"
2018-01-01 11:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,33,33,30,13,25,65,0.0,1012,30,10,261,10,"santafe,nm"
2018-01-01 12:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,22,34,34,30,12,24,63,0.0,1011,30,10,273,11,"santafe,nm"
2018-01-01 13:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,33,33,30,15,23,67,0.0,1010,30,10,282,12,"santafe,nm"
2018-01-01 14:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,33,33,29,18,22,71,0.6,1010,29,9,291,13,"santafe,nm"
2018-01-01 15:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,32,32,28,20,21,74,0.8,1009,28,9,299,14,"santafe,nm"
2018-01-01 16:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,31,31,27,19,21,78,0.4,1009,27,9,297,12,"santafe,nm"
2018-01-01 17:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,29,29,26,17,21,83,0.0,1010,26,10,295,11,"santafe,nm"
2018-01-01 18:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,28,28,25,16,20,87,0.0,1011,25,10,293,9,"santafe,nm"
2018-01-01 19:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,28,28,25,14,23,88,0.0,1011,25,10,284,8,"santafe,nm"
2018-01-01 20:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,27,27,25,13,26,89,0.3,1011,25,9,276,7,"santafe,nm"
2018-01-01 21:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,27,27,25,11,29,90,0.5,1012,24,9,268,6,"santafe,nm"
2018-01-01 22:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,23,27,27,24,14,35,90,0.2,1012,24,9,255,8,"santafe,nm"
2018-01-01 23:00:00,30,23,0.0,8.7,7,97,05:45 PM,05:39 AM,06:19 AM,05:57 PM,22,26,26,24,17,42,91,0.0,1011,24,10,243,9,"santafe,nm"
2018-01-02 00:00:00,31,23,0.0,8.7,7,100,06:49 PM,06:43 AM,06:20 AM,05:57 PM,22,26,26,24,19,48,92,0.0,1011,23,10,231,10,"santafe,nm"
2018-01-02 01:00:00,31,23,0.0,8.7,7,100,06:49 PM,06:43 AM,06:20 AM,05:57 PM,22,26,26,23,20,44,92,0.0,1011,23,10,235,11,"santafe,nm"
2018-01-02 02:00:00,31,23,0.0,8.7,7,100,06:49 PM,06:43 AM,06:20 AM,05:57 PM,22,25,25,23,21,40,92,0.0,1011,23,10,240,12,"santafe,nm"
2018-01-02 03:00:00,31,23,0.0,8.7,7,100,06:49 PM,06:43 AM,06:20 AM,05:57 PM,22,25,25,23,21,35,92,0.0,1010,23,10,244,12,"santafe,nm"
2018-01-02 04:00:00,31,23,0.0,8.7,7,100,06:49 PM,06:43 AM,06:20 AM,05:57 PM,22,26,26,23,19,35,92,0.0,1011,23,10,241,11,"santafe,nm"
