date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-20,-25,-17,-25,22,67,76,0.0,1030,-16,10,319,15,"scranton,pa"
2018-01-01 01:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-20,-25,-16,-25,22,69,76,0.0,1030,-16,10,318,16,"scranton,pa"
2018-01-01 02:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-20,-25,-16,-25,22,71,76,0.0,1030,-16,10,317,16,"scranton,pa"
2018-01-01 03:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-19,-25,-16,-25,23,72,76,0.0,1030,-16,10,316,16,"scranton,pa"
2018-01-01 04:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-20,-25,-17,-25,23,65,77,0.0,1030,-17,10,313,16,"scranton,pa"
2018-01-01 05:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-20,-26,-17,-26,24,57,77,0.0,1031,-17,10,309,17,"scranton,pa"
2018-01-01 06:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-20,-26,-17,-26,25,49,78,0.0,1031,-17,10,306,17,"scranton,pa"
2018-01-01 07:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-20,-25,-16,-25,24,35,73,0.0,1031,-16,10,310,18,"scranton,pa"
2018-01-01 08:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-20,-24,-15,-24,23,21,67,0.0,1031,-15,10,314,18,"scranton,pa"
2018-01-01 09:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-20,-23,-14,-23,21,7,62,0.0,1031,-14,10,317,18,"scranton,pa"
2018-01-01 10:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-20,-22,-13,-22,21,17,58,0.0,1030,-13,10,312,18,"scranton,pa"
2018-01-01 11:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-20,-20,-12,-20,21,27,54,0.0,1030,-12,10,307,18,"scranton,pa"
2018-01-01 12:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-20,-19,-11,-19,20,37,49,0.0,1029,-11,10,302,18,"scranton,pa"
2018-01-01 13:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-19,-19,-11,-19,19,56,52,0.0,1029,-11,10,298,16,"scranton,pa"
2018-01-01 14:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-19,-18,-11,-18,18,75,54,0.0,1029,-11,10,293,15,"scranton,pa"
2018-01-01 15:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-18,-18,-11,-18,17,94,56,0.0,1029,-11,10,288,13,"scranton,pa"
2018-01-01 16:00:00,-11,-17,0.0,6.9,1,97,05:39 PM,07:42 AM,08:29 AM,05:44 PM,-18,-19,-12,-19,19,96,62,0.0,1029,-12,10,283,14,"scranton,pa"
