date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,-3,-7,-1,-7,35,100,85,2.0,1012,-1,2,85,23,"sitka,ak"
2018-01-01 01:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,-3,-6,-0,-6,34,100,85,1.0,1012,-0,5,87,23,"sitka,ak"
2018-01-01 02:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,-2,-6,-0,-6,34,100,85,0.0,1012,-0,7,89,22,"sitka,ak"
2018-01-01 03:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,-2,-6,0,-6,34,100,86,0.0,1012,-0,10,91,22,"sitka,ak"
2018-01-01 04:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,-2,-5,0,-5,34,100,86,0.0,1013,0,10,97,21,"sitka,ak"
2018-01-01 05:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,-1,-4,1,-4,35,100,87,0.4,1013,1,9,102,21,"sitka,ak"
2018-01-01 06:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,-0,-4,1,-4,35,100,88,0.6,1014,1,9,108,20,"sitka,ak"
2018-01-01 07:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,0,-3,2,-3,35,100,89,0.3,1014,2,9,115,20,"sitka,ak"
2018-01-01 08:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,1,-2,3,-2,35,100,90,0.0,1015,3,10,122,20,"sitka,ak"
2018-01-01 09:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,2,-1,3,-1,36,100,92,0.0,1016,3,10,128,20,"sitka,ak"
2018-01-01 10:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,2,-1,3,-1,33,100,93,0.0,1016,3,9,127,19,"sitka,ak"
2018-01-01 11:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,3,-1,3,-1,31,100,94,0.9,1016,3,8,126,18,"sitka,ak"
2018-01-01 12:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,3,-0,4,-0,29,100,94,1.2,1017,4,7,124,17,"sitka,ak"
2018-01-01 13:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,3,-1,4,-1,32,100,94,0.6,1017,4,8,121,18,"sitka,ak"
2018-01-01 14:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,3,-1,4,-1,35,100,93,0.0,1017,4,9,119,20,"sitka,ak"
2018-01-01 15:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,2,-1,4,-1,38,100,93,0.0,1017,4,10,116,21,"sitka,ak"
2018-01-01 16:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,3,-1,4,-1,37,100,93,0.0,1017,4,7,117,20,"sitka,ak"
2018-01-01 17:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,3,-0,4,-0,36,100,92,0.1,1017,4,5,119,20,"sitka,ak"
2018-01-01 18:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,3,-0,4,-0,34,100,92,0.2,1017,4,2,121,19,"sitka,ak"
2018-01-01 19:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,3,0,4,0,35,100,93,0.1,1018,4,5,129,19,"sitka,ak"
2018-01-01 20:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,3,0,4,0,35,100,94,0.0,1019,4,7,136,20,"sitka,ak"
2018-01-01 21:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,4,0,4,0,36,100,94,0.0,1020,4,10,144,20,"sitka,ak"
2018-01-01 22:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,3,0,4,0,34,100,94,0.0,1020,4,9,143,19,"sitka,ak"
2018-01-01 23:00:00,4,-1,2.5,1.7,1,97,04:44 PM,08:55 AM,09:40 AM,04:30 PM,3,0,4,0,33,100,94,1.7,1021,4,8,142,18,"sitka,ak"
2018-01-02 00:00:00,4,4,0.0,1.7,1,100,05:55 PM,09:56 AM,09:40 AM,04:32 PM,3,0,4,0,31,100,94,2.2,1021,4,7,141,18,"sitka,ak"
2018-01-02 01:00:00,4,4,0.0,1.7,1,100,05:55 PM,09:56 AM,09:40 AM,04:32 PM,3,0,4,0,30,100,93,1.1,1021,4,8,134,17,"sitka,ak"
2018-01-02 02:00:00,4,4,0.0,1.7,1,100,05:55 PM,09:56 AM,09:40 AM,04:32 PM,3,0,4,0,28,100,93,0.0,1021,4,9,126,16,"sitka,ak"
2018-01-02 03:00:00,4,4,0.0,1.7,1,100,05:55 PM,09:56 AM,09:40 AM,04:32 PM,3,1,4,1,26,100,93,0.0,1022,4,10,118,15,"sitka,ak"
