date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-22,-29,-20,-29,22,21,88,0.0,1045,-20,10,308,14,"springfield,il"
2018-01-01 01:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-23,-30,-21,-30,23,21,87,0.0,1045,-21,10,310,15,"springfield,il"
2018-01-01 02:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-23,-31,-22,-31,24,21,87,0.0,1045,-22,10,312,15,"springfield,il"
2018-01-01 03:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-24,-32,-22,-32,25,21,87,0.0,1046,-22,10,315,16,"springfield,il"
2018-01-01 04:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-24,-33,-23,-33,24,21,87,0.0,1046,-23,10,311,16,"springfield,il"
2018-01-01 05:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-25,-34,-23,-34,24,21,87,0.0,1047,-23,10,307,16,"springfield,il"
2018-01-01 06:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-26,-34,-24,-34,23,21,87,0.0,1047,-24,10,303,15,"springfield,il"
2018-01-01 07:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-25,-34,-24,-34,23,17,86,0.0,1047,-24,10,303,15,"springfield,il"
2018-01-01 08:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-25,-33,-23,-33,22,12,84,0.0,1047,-23,10,304,15,"springfield,il"
2018-01-01 09:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-25,-33,-23,-33,22,8,83,0.0,1048,-23,10,305,15,"springfield,il"
2018-01-01 10:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-24,-31,-22,-31,21,5,80,0.0,1047,-22,10,300,15,"springfield,il"
2018-01-01 11:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-23,-30,-21,-30,19,3,78,0.0,1047,-21,10,295,15,"springfield,il"
2018-01-01 12:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-23,-28,-19,-28,18,0,76,0.0,1047,-19,10,291,15,"springfield,il"
2018-01-01 13:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-22,-27,-19,-27,18,0,76,0.0,1047,-19,10,293,15,"springfield,il"
2018-01-01 14:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-21,-26,-18,-26,18,0,76,0.0,1046,-18,10,295,15,"springfield,il"
2018-01-01 15:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-20,-26,-17,-26,18,0,76,0.0,1046,-17,10,297,14,"springfield,il"
2018-01-01 16:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-20,-26,-18,-26,19,1,79,0.0,1046,-18,10,295,14,"springfield,il"
2018-01-01 17:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-20,-26,-18,-26,20,1,82,0.0,1046,-18,10,292,13,"springfield,il"
2018-01-01 18:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-20,-26,-18,-26,21,2,85,0.0,1046,-18,10,290,12,"springfield,il"
2018-01-01 19:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-20,-26,-19,-26,20,6,87,0.0,1046,-19,10,296,12,"springfield,il"
2018-01-01 20:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-21,-27,-19,-27,18,10,88,0.0,1046,-19,10,302,11,"springfield,il"
2018-01-01 21:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-21,-27,-20,-27,17,14,89,0.0,1046,-20,10,308,10,"springfield,il"
2018-01-01 22:00:00,-17,-24,0.0,8.7,2,97,05:42 PM,07:36 AM,08:20 AM,05:45 PM,-21,-27,-20,-27,18,15,89,0.0,1046,-20,10,306,10,"springfield,il"
