date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,3,2,5,2,17,100,88,0.0,1024,5,10,8,12,"tallahassee,fl"
2018-01-01 01:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,2,1,4,1,20,97,86,0.0,1024,4,10,124,14,"tallahassee,fl"
2018-01-01 02:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,1,0,4,0,23,94,83,0.0,1025,4,10,241,16,"tallahassee,fl"
2018-01-01 03:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,1,-1,3,-1,25,92,81,0.0,1025,3,10,357,18,"tallahassee,fl"
2018-01-01 04:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-0,-1,3,-1,23,82,80,0.0,1025,3,10,239,16,"tallahassee,fl"
2018-01-01 05:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-1,-1,2,-1,21,73,78,0.0,1026,2,10,122,15,"tallahassee,fl"
2018-01-01 06:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-2,-2,2,-2,19,64,76,0.0,1027,2,10,5,14,"tallahassee,fl"
2018-01-01 07:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-2,-2,2,-2,21,68,73,0.0,1027,2,10,7,16,"tallahassee,fl"
2018-01-01 08:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-3,-2,2,-2,23,72,69,0.0,1028,2,10,9,18,"tallahassee,fl"
2018-01-01 09:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-4,-3,2,-3,25,76,65,0.0,1029,2,10,11,20,"tallahassee,fl"
2018-01-01 10:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-5,-1,3,-1,24,84,58,0.0,1029,3,10,12,19,"tallahassee,fl"
2018-01-01 11:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-6,-0,4,-0,22,92,50,0.0,1029,4,10,14,18,"tallahassee,fl"
2018-01-01 12:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-7,1,5,1,20,100,43,0.0,1029,5,10,15,18,"tallahassee,fl"
2018-01-01 13:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-7,1,5,1,21,80,43,0.0,1029,5,10,15,18,"tallahassee,fl"
2018-01-01 14:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-7,1,5,1,22,60,43,0.0,1029,5,10,15,19,"tallahassee,fl"
2018-01-01 15:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-7,1,5,1,23,40,43,0.0,1029,5,10,15,20,"tallahassee,fl"
2018-01-01 16:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-7,-0,4,-0,21,30,45,0.0,1029,4,10,16,17,"tallahassee,fl"
2018-01-01 17:00:00,5,0,0.0,8.3,1,97,06:41 PM,07:51 AM,08:34 AM,06:48 PM,-7,-1,3,-1,20,19,48,0.0,1030,3,10,18,14,"tallahassee,fl"
