date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-19,-12,-19,18,0,59,0.0,1028,-12,10,319,14,"trenton,nj"
2018-01-01 01:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-19,-12,-19,20,0,59,0.0,1029,-12,10,319,14,"trenton,nj"
2018-01-01 02:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-20,-12,-20,21,0,59,0.0,1029,-13,10,318,15,"trenton,nj"
2018-01-01 03:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-20,-13,-20,22,0,59,0.0,1029,-13,10,318,15,"trenton,nj"
2018-01-01 04:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-20,-13,-20,20,0,60,0.0,1029,-13,10,312,14,"trenton,nj"
2018-01-01 05:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-20,-13,-20,17,0,60,0.0,1030,-13,10,305,13,"trenton,nj"
2018-01-01 06:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-19,-13,-19,15,0,61,0.0,1030,-13,10,298,12,"trenton,nj"
2018-01-01 07:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-19,-12,-19,17,1,57,0.0,1030,-13,10,304,14,"trenton,nj"
2018-01-01 08:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-19,-12,-19,18,1,54,0.0,1031,-12,10,309,15,"trenton,nj"
2018-01-01 09:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-18,-11,-18,20,2,50,0.0,1031,-11,10,314,16,"trenton,nj"
2018-01-01 10:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-17,-10,-17,19,1,47,0.0,1030,-10,10,312,16,"trenton,nj"
2018-01-01 11:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-16,-9,-16,19,1,44,0.0,1030,-9,10,309,16,"trenton,nj"
2018-01-01 12:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-15,-8,-15,18,0,40,0.0,1029,-8,10,307,16,"trenton,nj"
2018-01-01 13:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-15,-8,-15,19,8,40,0.0,1030,-8,10,304,16,"trenton,nj"
2018-01-01 14:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-14,-8,-14,20,15,40,0.0,1030,-8,10,300,16,"trenton,nj"
2018-01-01 15:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-19,-14,-8,-14,21,23,40,0.0,1030,-8,10,297,15,"trenton,nj"
2018-01-01 16:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-18,-14,-8,-14,19,22,45,0.0,1030,-8,10,285,14,"trenton,nj"
2018-01-01 17:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-17,-14,-9,-14,18,22,51,0.0,1030,-9,10,273,12,"trenton,nj"
2018-01-01 18:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-16,-14,-9,-14,16,21,56,0.0,1030,-9,10,261,11,"trenton,nj"
2018-01-01 19:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-16,-15,-9,-15,18,22,58,0.0,1030,-9,10,265,12,"trenton,nj"
2018-01-01 20:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-15,-15,-9,-15,21,22,60,0.0,1031,-9,10,269,14,"trenton,nj"
2018-01-01 21:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-15,-16,-9,-16,23,23,62,0.0,1031,-9,10,273,15,"trenton,nj"
2018-01-01 22:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-15,-16,-9,-16,24,17,61,0.0,1031,-9,10,274,16,"trenton,nj"
2018-01-01 23:00:00,-8,-13,0.0,8.7,2,97,05:39 PM,07:34 AM,08:21 AM,05:44 PM,-16,-17,-10,-17,25,12,61,0.0,1031,-10,10,275,17,"trenton,nj"
2018-01-02 00:00:00,-5,-11,0.0,8.7,2,100,06:45 PM,08:38 AM,08:21 AM,05:45 PM,-16,-18,-10,-18,26,7,60,0.0,1030,-10,10,276,17,"trenton,nj"
2018-01-02 01:00:00,-5,-11,0.0,8.7,2,100,06:45 PM,08:38 AM,08:21 AM,05:45 PM,-16,-17,-10,-17,26,7,61,0.0,1031,-10,10,279,17,"trenton,nj"
