date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-15,-13,-9,-13,11,6,61,0.0,1032,-10,10,317,9,"washington,dc"
2018-01-01 01:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-15,-14,-9,-14,13,9,63,0.0,1032,-10,10,320,10,"washington,dc"
2018-01-01 02:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-15,-15,-9,-15,14,13,64,0.0,1032,-10,10,322,11,"washington,dc"
2018-01-01 03:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-15,-15,-10,-15,16,16,66,0.0,1032,-10,10,325,12,"washington,dc"
2018-01-01 04:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-14,-14,-9,-14,13,12,67,0.0,1033,-10,10,314,9,"washington,dc"
2018-01-01 05:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-14,-13,-9,-13,9,8,68,0.0,1033,-11,10,302,7,"washington,dc"
2018-01-01 06:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-13,-12,-9,-12,6,4,69,0.0,1033,-11,10,291,5,"washington,dc"
2018-01-01 07:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-14,-12,-8,-12,9,10,64,0.0,1033,-10,10,299,8,"washington,dc"
2018-01-01 08:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-15,-13,-8,-13,12,16,59,0.0,1034,-9,10,306,10,"washington,dc"
2018-01-01 09:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-15,-13,-8,-13,15,21,54,0.0,1034,-8,10,314,13,"washington,dc"
2018-01-01 10:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-16,-13,-7,-13,15,48,50,0.0,1033,-7,10,314,13,"washington,dc"
2018-01-01 11:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-16,-12,-7,-12,15,74,46,0.0,1033,-7,10,314,13,"washington,dc"
2018-01-01 12:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:27 AM,05:57 PM,-17,-11,-6,-11,16,100,42,0.0,1032,-6,10,314,14,"washington,dc"
