date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-22,-25,-16,-25,32,7,55,0.0,1049,-16,10,20,22,"wichita,ks"
2018-01-01 01:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-23,-25,-16,-25,30,8,57,0.0,1049,-16,10,18,21,"wichita,ks"
2018-01-01 02:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-23,-26,-16,-26,28,9,58,0.0,1049,-16,10,17,19,"wichita,ks"
2018-01-01 03:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-23,-26,-17,-26,25,10,59,0.0,1049,-17,10,16,18,"wichita,ks"
2018-01-01 04:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-23,-26,-17,-26,23,9,58,0.0,1050,-17,10,15,16,"wichita,ks"
2018-01-01 05:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-24,-26,-17,-26,21,9,58,0.0,1050,-17,10,15,15,"wichita,ks"
2018-01-01 06:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-24,-26,-18,-26,19,8,57,0.0,1050,-18,10,14,14,"wichita,ks"
2018-01-01 07:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-24,-25,-18,-25,18,7,55,0.0,1050,-18,10,16,13,"wichita,ks"
2018-01-01 08:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-25,-25,-17,-25,16,7,52,0.0,1050,-17,10,18,12,"wichita,ks"
2018-01-01 09:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-25,-24,-17,-24,15,7,50,0.0,1050,-17,10,20,11,"wichita,ks"
2018-01-01 10:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-25,-22,-16,-22,14,9,45,0.0,1050,-16,10,33,10,"wichita,ks"
2018-01-01 11:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-25,-21,-15,-21,12,12,40,0.0,1049,-15,10,46,10,"wichita,ks"
2018-01-01 12:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-26,-19,-13,-19,11,14,34,0.0,1049,-13,10,60,9,"wichita,ks"
2018-01-01 13:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-25,-17,-12,-17,10,16,32,0.0,1048,-12,10,70,9,"wichita,ks"
2018-01-01 14:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-25,-16,-11,-16,10,17,29,0.0,1047,-11,10,81,8,"wichita,ks"
2018-01-01 15:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-25,-14,-10,-14,9,19,27,0.0,1045,-10,10,92,8,"wichita,ks"
2018-01-01 16:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-25,-15,-11,-15,10,24,30,0.0,1045,-11,10,92,8,"wichita,ks"
2018-01-01 17:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-25,-16,-11,-16,11,29,32,0.0,1045,-11,10,92,7,"wichita,ks"
2018-01-01 18:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-24,-16,-12,-16,12,34,35,0.0,1045,-12,10,93,7,"wichita,ks"
2018-01-01 19:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-24,-17,-12,-17,13,38,36,0.0,1044,-12,10,97,8,"wichita,ks"
2018-01-01 20:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-24,-17,-12,-17,13,43,37,0.0,1044,-12,10,101,8,"wichita,ks"
2018-01-01 21:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-24,-18,-13,-18,14,47,38,0.0,1044,-13,10,105,9,"wichita,ks"
2018-01-01 22:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-24,-18,-13,-18,13,60,39,0.0,1044,-13,10,106,8,"wichita,ks"
2018-01-01 23:00:00,-10,-18,0.0,9.8,2,97,06:19 PM,08:02 AM,08:44 AM,06:21 PM,-24,-18,-13,-18,11,73,39,0.0,1044,-13,10,106,8,"wichita,ks"
2018-01-02 00:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-23,-17,-13,-17,10,86,40,0.0,1044,-13,10,107,7,"wichita,ks"
2018-01-02 01:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-23,-17,-13,-17,10,88,40,0.0,1044,-13,10,105,7,"wichita,ks"
2018-01-02 02:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-23,-17,-13,-17,9,91,39,0.0,1044,-13,10,102,6,"wichita,ks"
2018-01-02 03:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-24,-16,-13,-16,8,93,39,0.0,1043,-13,10,100,6,"wichita,ks"
2018-01-02 04:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-23,-16,-13,-16,7,96,41,0.0,1043,-13,10,103,6,"wichita,ks"
2018-01-02 05:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-23,-16,-13,-16,7,98,42,0.0,1043,-13,10,106,5,"wichita,ks"
2018-01-02 06:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-22,-15,-13,-15,6,100,44,0.0,1043,-13,10,109,4,"wichita,ks"
2018-01-02 07:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-22,-15,-12,-15,6,100,43,0.0,1043,-12,10,127,5,"wichita,ks"
2018-01-02 08:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-22,-15,-12,-15,6,100,42,0.0,1042,-12,10,146,5,"wichita,ks"
2018-01-02 09:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-22,-15,-12,-15,7,100,41,0.0,1042,-12,10,164,5,"wichita,ks"
2018-01-02 10:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-22,-14,-10,-14,7,90,38,0.0,1041,-10,10,189,6,"wichita,ks"
2018-01-02 11:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-22,-12,-9,-12,7,80,35,0.0,1041,-9,10,215,6,"wichita,ks"
2018-01-02 12:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-21,-11,-8,-11,7,70,32,0.0,1040,-8,10,240,6,"wichita,ks"
2018-01-02 13:00:00,-5,-13,0.0,8.2,1,100,07:26 PM,09:06 AM,08:45 AM,06:22 PM,-21,-11,-7,-11,9,52,31,0.0,1039,-7,10,236,8,"wichita,ks"
