date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-22,-26,-18,-26,19,4,72,0.0,1025,-18,10,315,13,"worcester,ma"
2018-01-01 01:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-22,-27,-18,-27,20,3,71,0.0,1025,-18,10,315,14,"worcester,ma"
2018-01-01 02:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-23,-27,-19,-27,22,1,71,0.0,1025,-19,10,315,15,"worcester,ma"
2018-01-01 03:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-23,-28,-19,-28,23,0,70,0.0,1025,-19,10,315,15,"worcester,ma"
2018-01-01 04:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-23,-28,-19,-28,24,1,70,0.0,1026,-19,10,314,16,"worcester,ma"
2018-01-01 05:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-24,-29,-20,-29,24,2,69,0.0,1026,-20,10,313,16,"worcester,ma"
2018-01-01 06:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-24,-30,-20,-30,24,3,69,0.0,1026,-20,10,312,17,"worcester,ma"
2018-01-01 07:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-24,-28,-19,-28,24,3,65,0.0,1026,-19,10,312,17,"worcester,ma"
2018-01-01 08:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-23,-27,-17,-27,23,3,61,0.0,1026,-17,10,312,18,"worcester,ma"
2018-01-01 09:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-23,-25,-16,-25,22,3,58,0.0,1026,-16,10,313,18,"worcester,ma"
2018-01-01 10:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-22,-24,-15,-24,21,2,55,0.0,1026,-15,10,310,18,"worcester,ma"
2018-01-01 11:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-22,-22,-14,-22,20,1,52,0.0,1025,-14,10,307,17,"worcester,ma"
2018-01-01 12:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-21,-20,-13,-20,19,0,49,0.0,1025,-13,10,304,17,"worcester,ma"
2018-01-01 13:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-21,-21,-13,-21,21,0,52,0.0,1025,-13,10,303,17,"worcester,ma"
2018-01-01 14:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-21,-22,-13,-22,23,0,54,0.0,1025,-13,10,302,17,"worcester,ma"
2018-01-01 15:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-20,-22,-14,-22,25,0,57,0.0,1026,-14,10,301,17,"worcester,ma"
2018-01-01 16:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-20,-22,-14,-22,21,2,62,0.0,1026,-14,10,292,15,"worcester,ma"
2018-01-01 17:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-20,-22,-15,-22,18,4,67,0.0,1026,-15,10,283,12,"worcester,ma"
2018-01-01 18:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-19,-21,-15,-21,15,6,71,0.0,1027,-16,10,274,10,"worcester,ma"
2018-01-01 19:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-19,-21,-16,-21,14,18,74,0.0,1027,-16,10,273,9,"worcester,ma"
2018-01-01 20:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-19,-21,-16,-21,14,30,76,0.0,1027,-16,10,272,8,"worcester,ma"
2018-01-01 21:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-19,-21,-16,-21,13,43,79,0.0,1027,-16,10,271,8,"worcester,ma"
2018-01-01 22:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-19,-22,-16,-22,15,48,80,0.0,1026,-16,10,265,9,"worcester,ma"
2018-01-01 23:00:00,-13,-20,0.0,8.7,2,97,05:20 PM,07:28 AM,08:16 AM,05:26 PM,-18,-22,-16,-22,17,54,80,0.0,1025,-16,10,259,10,"worcester,ma"
2018-01-02 00:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-18,-23,-16,-23,19,59,81,0.0,1025,-16,10,254,11,"worcester,ma"
2018-01-02 01:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-18,-22,-15,-22,20,58,82,0.0,1025,-15,10,262,12,"worcester,ma"
2018-01-02 02:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-17,-22,-15,-22,21,57,82,0.0,1026,-15,10,271,13,"worcester,ma"
2018-01-02 03:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-17,-22,-15,-22,22,55,83,0.0,1026,-15,10,280,14,"worcester,ma"
2018-01-02 04:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-18,-22,-15,-22,19,41,82,0.0,1027,-15,10,282,12,"worcester,ma"
2018-01-02 05:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-18,-22,-16,-22,17,27,81,0.0,1027,-16,10,284,11,"worcester,ma"
2018-01-02 06:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-19,-23,-16,-23,14,13,80,0.0,1028,-17,10,286,10,"worcester,ma"
2018-01-02 07:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-19,-22,-15,-22,16,12,72,0.0,1028,-16,10,285,12,"worcester,ma"
2018-01-02 08:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-20,-22,-15,-22,18,11,65,0.0,1028,-15,10,284,14,"worcester,ma"
2018-01-02 09:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-20,-21,-14,-21,20,10,57,0.0,1028,-14,10,282,16,"worcester,ma"
2018-01-02 10:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-19,-20,-12,-20,18,32,56,0.0,1027,-12,10,282,15,"worcester,ma"
2018-01-02 11:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-18,-18,-11,-18,17,54,55,0.0,1026,-11,10,282,14,"worcester,ma"
2018-01-02 12:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-17,-16,-10,-16,16,76,54,0.0,1025,-10,10,282,13,"worcester,ma"
2018-01-02 13:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-16,-16,-10,-16,16,69,59,0.0,1025,-10,10,270,13,"worcester,ma"
2018-01-02 14:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-15,-15,-9,-15,17,62,64,0.0,1025,-9,10,258,13,"worcester,ma"
2018-01-02 15:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-14,-15,-9,-15,18,56,69,0.0,1024,-9,10,246,12,"worcester,ma"
2018-01-02 16:00:00,-9,-17,0.0,6.9,2,100,06:27 PM,08:31 AM,08:16 AM,05:27 PM,-14,-16,-10,-16,20,39,72,0.0,1024,-10,10,238,12,"worcester,ma"
