date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,7,-1,0.0,9.9,2,26,03:47 AM,03:00 PM,08:22 AM,06:10 PM,-8,-1,0,-1,6,5,56,0.0,1026,0,10,232,3,"adakisland,ak"
2019-01-01 01:00:00,7,-1,0.0,9.9,2,26,03:47 AM,03:00 PM,08:22 AM,06:10 PM,-7,-1,-0,-1,7,5,57,0.0,1027,-0,10,225,3,"adakisland,ak"
2019-01-01 02:00:00,7,-1,0.0,9.9,2,26,03:47 AM,03:00 PM,08:22 AM,06:10 PM,-7,-1,-0,-1,7,5,59,0.0,1027,-0,10,218,3,"adakisland,ak"
2019-01-01 03:00:00,7,-1,0.0,9.9,2,26,03:47 AM,03:00 PM,08:22 AM,06:10 PM,-7,-1,-1,-1,7,5,60,0.0,1027,-1,10,212,3,"adakisland,ak"
2019-01-01 04:00:00,7,-1,0.0,9.9,2,26,03:47 AM,03:00 PM,08:22 AM,06:10 PM,-7,-1,-1,-1,7,6,62,0.0,1028,-1,10,225,3,"adakisland,ak"
2019-01-01 05:00:00,7,-1,0.0,9.9,2,26,03:47 AM,03:00 PM,08:22 AM,06:10 PM,-7,-1,-1,-1,6,6,64,0.0,1028,-1,10,239,3,"adakisland,ak"
2019-01-01 06:00:00,7,-1,0.0,9.9,2,26,03:47 AM,03:00 PM,08:22 AM,06:10 PM,-7,-1,-1,-1,6,7,66,0.0,1028,-1,10,253,3,"adakisland,ak"
2019-01-01 07:00:00,7,-1,0.0,9.9,2,26,03:47 AM,03:00 PM,08:22 AM,06:10 PM,-7,-0,-0,-0,5,8,62,0.0,1028,-0,10,226,3,"adakisland,ak"
2019-01-01 08:00:00,7,-1,0.0,9.9,2,26,03:47 AM,03:00 PM,08:22 AM,06:10 PM,-6,1,1,1,5,9,58,0.0,1028,1,10,199,3,"adakisland,ak"
2019-01-01 09:00:00,7,-1,0.0,9.9,2,26,03:47 AM,03:00 PM,08:22 AM,06:10 PM,-6,2,2,2,4,10,54,0.0,1028,2,10,173,4,"adakisland,ak"
