date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-9,-12,-5,-12,40,28,79,0.0,1025,-6,10,21,30,"amarillo,tx"
2019-01-01 01:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-10,-13,-6,-13,39,43,78,0.0,1026,-7,10,21,29,"amarillo,tx"
2019-01-01 02:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-11,-15,-7,-15,38,57,77,0.0,1027,-8,10,21,28,"amarillo,tx"
2019-01-01 03:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-11,-16,-8,-16,37,72,76,0.0,1027,-9,10,21,27,"amarillo,tx"
2019-01-01 04:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-12,-16,-8,-16,36,80,76,0.0,1028,-9,10,21,26,"amarillo,tx"
2019-01-01 05:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-12,-17,-8,-17,34,89,77,0.0,1029,-9,10,21,25,"amarillo,tx"
2019-01-01 06:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-12,-17,-9,-17,32,97,77,0.0,1030,-10,10,21,24,"amarillo,tx"
2019-01-01 07:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-12,-17,-9,-17,30,97,76,0.0,1031,-10,10,22,24,"amarillo,tx"
2019-01-01 08:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-12,-17,-9,-17,28,97,75,0.0,1032,-10,10,23,24,"amarillo,tx"
2019-01-01 09:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-13,-17,-9,-17,26,98,74,0.0,1032,-10,10,25,23,"amarillo,tx"
2019-01-01 10:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-13,-16,-8,-16,24,84,71,0.0,1032,-9,10,28,22,"amarillo,tx"
2019-01-01 11:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-12,-15,-8,-15,21,71,69,0.0,1032,-8,10,30,21,"amarillo,tx"
2019-01-01 12:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-12,-14,-7,-14,19,57,66,0.0,1032,-8,10,33,20,"amarillo,tx"
2019-01-01 13:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-12,-13,-6,-13,17,52,64,0.0,1031,-7,10,38,18,"amarillo,tx"
2019-01-01 14:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-12,-12,-6,-12,15,46,63,0.0,1029,-7,10,44,16,"amarillo,tx"
2019-01-01 15:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-11,-11,-5,-11,13,40,61,0.0,1028,-6,10,49,15,"amarillo,tx"
2019-01-01 16:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-11,-11,-6,-11,14,37,63,0.0,1028,-6,10,53,14,"amarillo,tx"
2019-01-01 17:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-11,-11,-6,-11,15,33,65,0.0,1028,-7,10,57,14,"amarillo,tx"
2019-01-01 18:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-11,-11,-6,-11,16,29,67,0.0,1028,-7,10,61,13,"amarillo,tx"
2019-01-01 19:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-11,-12,-7,-12,14,24,69,0.0,1029,-8,10,57,12,"amarillo,tx"
2019-01-01 20:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-11,-12,-7,-12,12,19,71,0.0,1029,-8,10,53,11,"amarillo,tx"
2019-01-01 21:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-12,-13,-8,-13,10,14,73,0.0,1030,-9,10,50,10,"amarillo,tx"
2019-01-01 22:00:00,-6,-10,0.0,9.9,2,26,04:47 AM,03:51 PM,08:56 AM,06:46 PM,-12,-12,-8,-12,9,12,73,0.0,1030,-9,10,81,8,"amarillo,tx"
