date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-4,-7,-2,-7,36,100,84,0.7,1014,-3,2,236,21,"appleton,wi"
2019-01-01 01:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-5,-8,-2,-8,35,96,83,0.3,1015,-3,4,274,22,"appleton,wi"
2019-01-01 02:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-6,-9,-3,-9,34,92,83,0.1,1016,-4,6,311,22,"appleton,wi"
2019-01-01 03:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-6,-10,-3,-10,34,88,82,0.2,1017,-4,7,349,23,"appleton,wi"
2019-01-01 04:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-8,-11,-4,-11,31,85,79,0.1,1019,-5,8,349,20,"appleton,wi"
2019-01-01 05:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-9,-12,-6,-12,29,83,76,0.0,1022,-6,9,349,18,"appleton,wi"
2019-01-01 06:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-10,-14,-7,-14,26,81,73,0.0,1024,-8,10,349,16,"appleton,wi"
2019-01-01 07:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-11,-14,-7,-14,25,68,72,0.0,1026,-8,10,347,15,"appleton,wi"
2019-01-01 08:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-11,-14,-8,-14,23,55,71,0.0,1027,-8,10,345,14,"appleton,wi"
2019-01-01 09:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-12,-14,-8,-14,22,42,70,0.0,1029,-9,10,344,13,"appleton,wi"
2019-01-01 10:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-12,-14,-8,-14,20,43,70,0.0,1028,-8,10,347,14,"appleton,wi"
2019-01-01 11:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-12,-13,-7,-13,19,44,69,0.0,1027,-8,10,350,14,"appleton,wi"
2019-01-01 12:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-11,-13,-7,-13,18,45,68,0.0,1027,-8,10,353,15,"appleton,wi"
2019-01-01 13:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-12,-12,-7,-12,16,52,66,0.0,1026,-8,10,352,14,"appleton,wi"
2019-01-01 14:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-12,-12,-7,-12,14,59,64,0.0,1025,-8,10,351,13,"appleton,wi"
2019-01-01 15:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-12,-12,-7,-12,12,67,62,0.0,1024,-8,10,350,13,"appleton,wi"
2019-01-01 16:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-13,-11,-7,-11,10,55,63,0.0,1025,-8,10,335,10,"appleton,wi"
2019-01-01 17:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-13,-11,-8,-11,9,43,65,0.0,1026,-9,10,321,8,"appleton,wi"
2019-01-01 18:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-14,-10,-8,-10,7,31,67,0.0,1027,-9,10,306,6,"appleton,wi"
2019-01-01 19:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-14,-10,-9,-10,7,33,69,0.0,1028,-10,10,287,5,"appleton,wi"
2019-01-01 20:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-14,-10,-9,-10,6,35,70,0.0,1028,-10,10,269,4,"appleton,wi"
2019-01-01 21:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-14,-10,-10,-10,5,37,72,0.0,1028,-11,10,250,3,"appleton,wi"
2019-01-01 22:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-14,-10,-10,-10,6,50,73,0.0,1028,-11,10,238,4,"appleton,wi"
2019-01-01 23:00:00,-7,-9,1.3,6.9,1,26,04:05 AM,02:39 PM,08:29 AM,05:26 PM,-14,-10,-10,-10,7,63,75,0.0,1028,-11,10,227,5,"appleton,wi"
2019-01-02 00:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-14,-11,-11,-11,8,76,77,0.0,1027,-12,10,215,5,"appleton,wi"
2019-01-02 01:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-14,-11,-11,-11,9,79,78,0.0,1027,-12,10,211,6,"appleton,wi"
2019-01-02 02:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-14,-11,-11,-11,9,82,79,0.0,1026,-12,10,208,7,"appleton,wi"
2019-01-02 03:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-14,-11,-11,-11,10,86,80,0.0,1026,-12,10,205,7,"appleton,wi"
2019-01-02 04:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-13,-11,-10,-11,12,89,80,0.0,1025,-11,10,204,7,"appleton,wi"
2019-01-02 05:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-12,-11,-9,-11,14,92,79,0.0,1024,-10,10,204,7,"appleton,wi"
2019-01-02 06:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-11,-11,-8,-11,15,95,79,0.0,1024,-9,10,204,6,"appleton,wi"
2019-01-02 07:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-10,-11,-8,-11,17,97,81,0.0,1023,-9,8,206,8,"appleton,wi"
2019-01-02 08:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-10,-11,-7,-11,18,98,83,0.1,1022,-8,6,209,9,"appleton,wi"
2019-01-02 09:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-9,-12,-7,-12,19,100,85,0.1,1022,-8,5,212,11,"appleton,wi"
2019-01-02 10:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-9,-12,-7,-12,20,100,83,0.0,1021,-8,4,213,12,"appleton,wi"
2019-01-02 11:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-9,-12,-7,-12,21,100,81,0.2,1021,-7,3,214,13,"appleton,wi"
2019-01-02 12:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-9,-12,-6,-12,21,100,79,0.2,1020,-7,2,216,15,"appleton,wi"
2019-01-02 13:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-11,-13,-7,-13,21,100,73,0.1,1020,-8,3,219,16,"appleton,wi"
2019-01-02 14:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-12,-14,-7,-14,22,100,67,0.1,1021,-8,3,223,18,"appleton,wi"
2019-01-02 15:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-14,-15,-8,-15,22,100,61,0.1,1021,-9,4,227,19,"appleton,wi"
2019-01-02 16:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-13,-15,-9,-15,23,100,63,0.1,1020,-10,4,233,20,"appleton,wi"
2019-01-02 17:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-13,-15,-10,-15,24,100,66,0.1,1020,-11,5,239,20,"appleton,wi"
2019-01-02 18:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-12,-15,-11,-15,24,100,68,0.1,1019,-13,5,245,21,"appleton,wi"
2019-01-02 19:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-12,-15,-12,-15,26,87,69,0.0,1019,-14,6,246,19,"appleton,wi"
2019-01-02 20:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-12,-16,-13,-16,28,74,70,0.0,1018,-16,7,247,17,"appleton,wi"
2019-01-02 21:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-12,-17,-15,-17,30,61,71,0.0,1018,-17,8,248,15,"appleton,wi"
2019-01-02 22:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-12,-16,-13,-16,30,50,72,0.0,1017,-15,9,247,15,"appleton,wi"
2019-01-02 23:00:00,-7,-10,0.9,3.4,2,19,05:10 AM,03:13 PM,08:29 AM,05:26 PM,-11,-15,-11,-15,31,40,74,0.0,1017,-13,9,246,14,"appleton,wi"
2019-01-03 00:00:00,-2,-8,0.0,8.7,2,11,06:12 AM,03:50 PM,08:29 AM,05:27 PM,-11,-14,-10,-14,31,29,76,0.0,1016,-12,10,245,13,"appleton,wi"
