date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,15,16,16,16,27,100,99,0.1,1011,15,5,205,10,"atlanta,ga"
2019-01-01 01:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,15,15,15,15,25,100,99,0.1,1011,15,6,212,10,"atlanta,ga"
2019-01-01 02:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,15,15,15,15,23,100,99,0.2,1012,14,8,220,9,"atlanta,ga"
2019-01-01 03:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,15,15,15,15,21,100,98,0.2,1012,14,10,228,9,"atlanta,ga"
2019-01-01 04:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,15,15,15,15,19,100,98,0.1,1014,14,10,246,9,"atlanta,ga"
2019-01-01 05:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,15,15,15,15,17,100,97,0.4,1015,14,10,263,8,"atlanta,ga"
2019-01-01 06:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,15,15,15,15,14,99,96,0.5,1016,14,10,281,8,"atlanta,ga"
2019-01-01 07:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,14,15,15,15,14,99,94,0.2,1017,14,9,295,8,"atlanta,ga"
2019-01-01 08:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,14,15,15,15,14,99,92,0.2,1017,14,8,308,8,"atlanta,ga"
2019-01-01 09:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,13,14,14,14,13,99,91,0.2,1018,14,7,322,9,"atlanta,ga"
2019-01-01 10:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,12,14,14,14,13,99,87,0.1,1018,14,6,313,10,"atlanta,ga"
2019-01-01 11:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,12,14,14,14,12,100,84,0.1,1018,14,6,305,11,"atlanta,ga"
2019-01-01 12:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,11,14,14,14,11,100,80,0.1,1019,14,5,297,12,"atlanta,ga"
2019-01-01 13:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,11,15,15,15,11,100,77,0.0,1019,14,6,291,11,"atlanta,ga"
2019-01-01 14:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,11,16,16,16,11,100,75,0.6,1020,15,8,286,11,"atlanta,ga"
2019-01-01 15:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,11,17,17,17,12,100,72,0.8,1020,16,9,280,11,"atlanta,ga"
2019-01-01 16:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,11,16,16,16,11,96,72,0.4,1021,15,8,273,11,"atlanta,ga"
2019-01-01 17:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,11,16,16,16,10,92,73,1.8,1021,15,8,266,10,"atlanta,ga"
2019-01-01 18:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,10,15,15,15,9,88,74,2.4,1021,14,7,259,10,"atlanta,ga"
2019-01-01 19:00:00,16,12,0.0,5.0,3,26,04:32 AM,03:41 PM,08:42 AM,06:40 PM,11,14,14,14,8,75,78,1.2,1021,14,8,261,9,"atlanta,ga"
