date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,13,12,13,12,17,87,90,1.1,1015,12,9,244,12,"bristol,tn"
2019-01-01 01:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,13,13,13,13,19,88,89,0.5,1015,12,9,251,11,"bristol,tn"
2019-01-01 02:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,12,13,13,13,21,89,89,0.9,1015,12,8,258,11,"bristol,tn"
2019-01-01 03:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,12,14,14,14,22,90,89,1.2,1016,13,8,266,11,"bristol,tn"
2019-01-01 04:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,11,13,13,13,23,92,90,0.6,1016,12,7,267,11,"bristol,tn"
2019-01-01 05:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,10,12,12,12,23,93,90,1.1,1017,11,7,267,12,"bristol,tn"
2019-01-01 06:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,10,11,11,11,23,95,91,1.4,1017,10,7,268,12,"bristol,tn"
2019-01-01 07:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,9,11,11,11,22,97,91,0.7,1018,10,8,270,12,"bristol,tn"
2019-01-01 08:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,9,10,10,10,20,98,90,0.4,1019,10,8,272,12,"bristol,tn"
2019-01-01 09:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,8,10,10,10,18,100,89,0.5,1019,9,9,274,12,"bristol,tn"
2019-01-01 10:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,8,10,10,10,18,89,85,0.3,1020,10,8,275,12,"bristol,tn"
2019-01-01 11:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,8,11,11,11,17,79,82,0.1,1020,10,7,276,12,"bristol,tn"
2019-01-01 12:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,7,11,11,11,17,68,78,0.1,1020,11,7,277,12,"bristol,tn"
2019-01-01 13:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,7,12,12,12,16,53,75,0.0,1020,11,7,280,12,"bristol,tn"
2019-01-01 14:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,7,12,12,12,15,39,72,0.0,1020,11,8,283,12,"bristol,tn"
2019-01-01 15:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,6,12,12,12,14,24,70,0.0,1020,11,8,285,12,"bristol,tn"
2019-01-01 16:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,6,11,11,11,13,30,74,0.0,1020,11,7,281,10,"bristol,tn"
2019-01-01 17:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,7,11,11,11,11,36,77,0.0,1021,10,6,277,8,"bristol,tn"
2019-01-01 18:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,7,10,10,10,10,42,81,0.0,1021,9,5,272,6,"bristol,tn"
2019-01-01 19:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,7,9,9,9,8,46,84,0.0,1021,8,6,273,6,"bristol,tn"
2019-01-01 20:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,6,8,8,8,6,49,87,0.0,1021,8,6,274,5,"bristol,tn"
2019-01-01 21:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,6,6,8,6,4,53,89,0.0,1021,7,7,275,5,"bristol,tn"
2019-01-01 22:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,6,6,7,6,3,46,90,0.0,1021,6,6,252,6,"bristol,tn"
2019-01-01 23:00:00,11,9,0.0,8.3,3,26,04:27 AM,03:28 PM,08:41 AM,06:24 PM,6,5,7,5,2,40,90,0.0,1021,6,6,228,7,"bristol,tn"
2019-01-02 00:00:00,9,4,0.0,6.6,3,19,05:28 AM,04:05 PM,08:41 AM,06:24 PM,5,4,6,4,2,33,90,0.0,1021,6,5,205,9,"bristol,tn"
